"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售额:吉林:辽源市,百万人民币,984.9875,286876.7441,535.6087603,0.191383743,-0.914003889,0.54377214,200,1922,1038.725,16,,,,,,,,,,,,,290.00,200.00,450.00,475.00,387.00,837.00,1074.00,1324.00,1922.00,1166.00,1240.00,1790.00,774.33,1169.09,1657.93,1003.45,
商品房销售额:吉林:通化市,百万人民币,3543.40375,6263676.077,2502.733721,-0.103384743,-1.796128621,0.706307804,210,7153.03,3869.5,16,,,,,,,,,,,,,210.00,340.00,450.00,818.00,1345.00,1538.00,2299.00,3131.00,4608.00,5678.00,6175.00,5960.00,5493.21,5704.27,7153.03,5791.95,
商品房销售额:吉林:白山市,百万人民币,1227.466875,1161672.754,1077.809238,1.30436464,1.656430658,0.878076028,80,4022,1054.205,16,,,,,,,,,,,,,140.00,290.00,80.00,412.00,482.00,532.00,1107.00,1487.00,2671.00,4022.00,1229.00,2430.00,1001.41,501.59,1736.35,1518.12,
商品房销售额:吉林:松原市,百万人民币,1947.520625,3258598.082,1805.158741,0.870639656,-0.218415252,0.926900962,50,5828,1616.29,16,,,,,,,,,,,,,60.00,130.00,50.00,177.00,568.00,917.00,1702.00,1645.00,4724.00,5828.00,2380.00,4050.00,3900.85,2327.94,1587.58,1112.96,
商品房销售额:吉林:白城市,百万人民币,414.849375,107737.3064,328.2336155,0.77101954,-0.319848903,0.791211546,10,1000.43,335.2,16,,,,,,,,,,,,,170.00,200.00,10.00,39.00,34.00,288.00,463.00,337.00,481.00,548.00,503.00,990.00,273.56,333.40,967.20,1000.43,
商品房销售额:黑龙江:哈尔滨市,百万人民币,41494.56263,1026531318,32039.52743,0.583972329,-0.904888289,0.772137972,5809.91,104551.27,29802.69,19,,,,,,,,,,,5809.91,7207.87,8153.80,9194.05,11457.00,15591.57,18228.74,22868.74,22268.60,29802.69,46826.29,53064.34,64176.57,83396.80,63269.25,56471.57,69827.63,104551.27,96230.00
商品房销售额:黑龙江:齐齐哈尔市,百万人民币,5873.533529,12908660.49,3592.862437,-0.04951291,-1.606527652,0.611703742,520,11376.92,6720,17,,,,,,,,,,,,,1300.00,1730.00,520.00,2454.00,2422.00,3019.00,3224.00,5077.00,7089.00,9222.54,9553.92,11376.92,9387.86,9036.72,10075.90,7641.21,6720.00
商品房销售额:黑龙江:鸡西市,百万人民币,1346.265294,1184501.421,1088.348024,0.778405062,-0.003520595,0.808420174,50,3820.89,1025.38,17,,,,,,,,,,,,,80.00,100.00,50.00,438.00,538.00,809.00,685.00,1233.00,2005.00,2929.36,3820.89,2123.79,2620.50,1025.38,1571.95,1896.64,960.00
商品房销售额:黑龙江:鹤岗市,百万人民币,689.463125,206251.056,454.1487157,1.093581673,0.969533721,0.658699065,60,1717,603.735,16,,,,,,,,,,,,,250.00,270.00,60.00,569.00,723.00,793.00,610.00,1106.00,1717.00,1568.05,859.85,597.47,535.75,667.87,299.88,404.54,
商品房销售额:黑龙江:双鸭山市,百万人民币,1011.485625,744115.1085,862.6210689,1.734687629,3.369032457,0.852825831,110,3400.08,859.775,16,,,,,,,,,,,,,110.00,110.00,,348.00,271.00,745.00,698.00,529.00,960.00,2498.00,3400.08,1028.68,1023.63,759.55,1145.82,1237.01,1320.00
商品房销售额:黑龙江:大庆市,百万人民币,10324.4,60620110.38,7785.891752,0.550362723,-0.648591349,0.754125349,620,25147.22,9358.77,17,,,,,,,,,,,,,620.00,1040.00,930.00,2318.00,5154.00,6061.00,7165.00,11257.00,12884.00,19910.05,23692.41,25147.22,17672.07,14487.28,10948.00,9358.77,6870.00
商品房销售额:黑龙江:伊春市,百万人民币,592.9652941,208984.3789,457.1480929,0.910100184,-0.591823349,0.770952529,60,1441.63,443.04,17,,,,,,,,,,,,,280.00,250.00,60.00,352.00,150.00,189.00,257.00,730.00,1332.00,1441.63,1188.49,1355.34,653.63,536.69,443.04,504.32,357.27
商品房销售额:黑龙江:佳木斯市,百万人民币,3138.761875,7126730.602,2669.593715,1.048818519,0.852147424,0.850524449,440,9688,3213.26,16,,,,,,,,,,,,,480.00,570.00,440.00,484.00,773.00,1320.00,1789.00,3585.00,6662.00,9688.00,5110.62,6073.61,3439.66,3284.28,3142.24,3378.78,
商品房销售额:黑龙江:七台河市,百万人民币,721.59375,151086.5913,388.6985867,0.085218897,-0.787154051,0.538666787,40,1423.61,731.22,16,,,,,,,,,,,,,310.00,410.00,40.00,546.00,968.00,938.00,755.00,901.00,1047.00,1423.61,1271.14,1059.49,468.26,415.58,284.98,707.44,
商品房销售额:黑龙江:牡丹江市,百万人民币,4605.903529,11534218.78,3396.206528,0.123343755,-1.284241937,0.737359457,250,10942.78,5552.89,17,,,,,,,,,,,,,660.00,560.00,250.00,883.00,960.00,1896.00,2050.00,4411.00,8068.00,8042.46,7999.71,10942.78,6117.30,5987.48,5552.89,6279.74,7640.00
商品房销售额:黑龙江:黑河市,百万人民币,1522.771176,2040328.389,1428.40064,0.618034726,-0.556290107,0.938027106,40,4539.36,1733.95,17,,,,,,,,,,,,,100.00,50.00,40.00,98.00,218.00,150.00,280.00,1097.00,1890.00,3555.62,4539.36,3471.62,1984.12,2259.61,1733.95,2229.83,2190.00
商品房销售额:黑龙江:绥化市,百万人民币,7064.393333,59947579.77,7742.582242,1.494182748,1.803965468,1.096001012,70,26121.75,5488.48,15,,,,,,,,,,,,,70.00,200.00,,745.00,844.00,1299.00,2067.00,5368.00,9692.00,21236.04,26121.75,9294.84,11786.76,5851.76,5488.48,5901.27,
商品房销售额:上海,百万人民币,237261.8371,32633408672,180647.1939,0.561657704,-0.307110033,0.761383272,14601,669585,229751.415,24,,,,,,14601.00,18349.00,21956.00,40932.00,45464.36,55544.92,69465.67,81503.24,121633.98,241795.02,216130.22,217707.81,308935.42,189545.00,433022.40,295994.00,256888.05,266949.00,391157.00,349953.00,509355.00,669585.00,402667.00,475150.00
商品房销售额:江苏:南京市,百万人民币,81811.95353,6321835955,79509.97393,1.321404019,1.067149766,0.971862552,6200.39,276635,60351.31,17,,,,,,,,,,,6200.39,8185.44,11165.74,13990.41,21373.00,38593.23,45241.30,60351.31,35946.07,85281.19,78737.60,71471.53,96098.00,140470.00,,177289.00,276635.00,223774.00,
商品房销售额:江苏:无锡市,百万人民币,60264.17647,1899301555,43580.97699,0.659787627,0.033822085,0.723165561,4270,158244,65120,17,,,,,,,,,,,,,4270.00,6750.00,10390.00,21955.00,25941.00,35107.00,28885.00,66614.00,81145.00,56997.00,77667.00,71578.00,65120.00,77632.00,110803.00,125393.00,158244.00
商品房销售额:江苏:徐州市,百万人民币,27728.75,740329713.7,27209.0006,0.940356348,-0.117417682,0.981255938,1370,86308,20398.5,16,,,,,,,,,,,,,1380.00,1440.00,1370.00,5061.00,6198.00,8520.00,7869.00,17542.00,23255.00,28601.00,34275.00,45730.00,,43129.00,58782.00,74200.00,86308.00
商品房销售额:江苏:常州市,百万人民币,29464.66667,438008672.1,20928.65672,0.188662246,-1.761170464,0.710296741,4500,59060,22431.5,12,,,,,,,,,,,,,4660.00,4500.00,5860.00,15563.00,19120.00,22852.00,22011.00,44577.00,55319.00,48523.00,51531.00,59060.00,,,,,
商品房销售额:江苏:苏州市,百万人民币,84876.75,3147215199,56100.04633,0.196035261,-1.180933079,0.660958936,11640,180390,81201.5,12,,,,,,,,,,,,,11640.00,15830.00,22650.00,49999.00,63878.00,98525.00,57342.00,150684.00,124806.00,109134.00,133643.00,180390.00,,,,,
商品房销售额:江苏:南通市,百万人民币,22409.91667,311764366.8,17656.85042,0.693808841,-0.425897472,0.78790344,3320,58150,16830.5,12,,,,,,,,,,,,,3320.00,3660.00,4840.00,8430.00,15154.00,18507.00,13617.00,29185.00,35744.00,38114.00,40198.00,58150.00,,,,,
商品房销售额:江苏:连云港市,百万人民币,12167.38462,112938631.9,10627.25891,1.03176742,0.898652801,0.873421795,970,37055,8027,13,,,,,,,,,,,,,970.00,1720.00,2730.00,3345.00,4542.00,6961.00,8027.00,16008.00,16770.00,18870.00,18428.00,22750.00,,,,37055.00,
商品房销售额:江苏:淮安市,百万人民币,16433.61538,271513071.1,16477.65369,1.052898455,0.278292978,1.00267977,1100,52841,8038,13,,,,,,,,,,,,,1100.00,1950.00,2280.00,3293.00,4239.00,8038.00,7045.00,15481.00,23261.00,25425.00,30004.00,38680.00,,,,52841.00,
商品房销售额:江苏:盐城市,百万人民币,21879,345634571.5,18591.24986,0.589093521,-0.73232145,0.849730329,1170,56690,22479,17,,,,,,,,,,,,,1170.00,1610.00,1990.00,3384.00,5489.00,7229.00,7705.00,15502.00,22479.00,24947.00,25138.00,33950.00,31400.00,34140.00,43370.00,55750.00,56690.00
商品房销售额:江苏:扬州市,百万人民币,18853.41667,210069971.4,14493.79079,0.590440467,-1.055496054,0.768762026,1800,44980,12739,12,,,,,,,,,,,,,1800.00,3870.00,5260.00,9945.00,11296.00,14182.00,11003.00,22552.00,30473.00,33293.00,37587.00,44980.00,,,,,
商品房销售额:江苏:镇江市,百万人民币,22977.35294,407049053.4,20175.45671,0.828104867,-0.341314516,0.878058354,1130,63105,20386,17,,,,,,,,,,,,,1130.00,1920.00,2640.00,4763.00,6348.00,9252.00,7250.00,18762.00,20386.00,20531.00,23380.00,35530.00,31670.00,32896.00,63105.00,60175.00,50877.00
商品房销售额:江苏:泰州市,百万人民币,17140.4,157585948,12553.32418,0.270965819,-1.203727028,0.732382219,1430,40268,15994,15,,,,,,,,,,,,,1430.00,1850.00,2410.00,5246.00,7625.00,10045.00,11187.00,15994.00,24861.00,29506.00,19964.00,30019.00,25442.00,31259.00,40268.00,,
商品房销售额:江苏:宿迁市,百万人民币,9772.666667,86905849.33,9322.330681,0.982832814,0.39579109,0.953918823,600,30281,6418.5,12,,,,,,,,,,,,,600.00,790.00,730.00,3040.00,4129.00,6196.00,6641.00,12310.00,16462.00,17376.00,18717.00,30281.00,,,,,
