"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
企业数:工业:辽宁:沈阳市,个,3013.578947,2252320.924,1500.773442,-0.044512742,-1.569105558,0.498003692,1116,5252,3284,19,,1150.00,1183.00,1157.00,1116.00,1349.00,1836.00,3033.00,4129.00,4382.00,4659.00,5247.00,5252.00,4161.00,4034.00,3901.00,3635.00,3284.00,2371.00,1379.00,
企业数:工业:辽宁:大连市,个,2469.315789,1477061.561,1215.344215,0.529641296,-0.460706794,0.49217853,931,4985,2486,19,,973.00,1143.00,931.00,1124.00,1280.00,1658.00,2110.00,2954.00,3573.00,3541.00,4985.00,4684.00,2960.00,3142.00,3101.00,2844.00,2486.00,1745.00,1683.00,
企业数:工业:辽宁:鞍山市,个,1048.473684,279790.4854,528.9522525,1.740977284,2.827675894,0.504497405,561,2455,914,19,,665.00,664.00,643.00,631.00,649.00,649.00,805.00,1017.00,1244.00,1253.00,2282.00,2455.00,1087.00,1186.00,1229.00,1247.00,914.00,740.00,561.00,
企业数:工业:辽宁:抚顺市,个,661.8421053,120182.0292,346.6727985,0.477451399,-0.646873166,0.523799855,215,1410,617,19,,314.00,304.00,350.00,335.00,395.00,485.00,617.00,768.00,780.00,847.00,1183.00,1410.00,930.00,922.00,967.00,966.00,545.00,215.00,242.00,
企业数:工业:辽宁:本溪市,个,388.1578947,32102.69591,179.1722521,0.243193879,-1.703494826,0.46159631,164,647,365,19,,235.00,223.00,226.00,210.00,233.00,225.00,295.00,365.00,421.00,551.00,637.00,624.00,437.00,564.00,647.00,614.00,525.00,164.00,179.00,
企业数:工业:辽宁:丹东市,个,638.9473684,76227.27485,276.0928736,0.22293249,-1.416308405,0.432105815,310,1138,713,19,,310.00,334.00,344.00,366.00,410.00,431.00,713.00,807.00,883.00,920.00,1138.00,1054.00,875.00,821.00,792.00,752.00,509.00,336.00,345.00,
企业数:工业:辽宁:锦州市,个,588.2631579,65112.87135,255.1722386,0.078145732,-1.430644347,0.433772258,229,1005,657,19,,303.00,229.00,280.00,322.00,393.00,391.00,557.00,657.00,719.00,746.00,989.00,1005.00,754.00,815.00,839.00,821.00,686.00,377.00,294.00,
企业数:工业:辽宁:营口市,个,1016,167037.1111,408.7017386,-0.052952429,-1.585141234,0.402265491,426,1651,1007,19,,426.00,493.00,532.00,586.00,703.00,853.00,1007.00,1218.00,1200.00,1266.00,1512.00,1651.00,1406.00,1447.00,1468.00,1375.00,1005.00,580.00,576.00,
企业数:工业:辽宁:阜新市,个,351.1578947,29867.47368,172.8220868,0.820013837,-0.856286012,0.492149228,179,659,272,19,,221.00,217.00,200.00,207.00,179.00,199.00,200.00,272.00,263.00,303.00,384.00,461.00,470.00,574.00,652.00,659.00,643.00,357.00,211.00,
企业数:工业:辽宁:辽阳市,个,514.3157895,45472.00585,213.2416607,0.273083698,-0.785145931,0.414612316,194,918,564,19,,311.00,290.00,317.00,343.00,395.00,382.00,564.00,627.00,630.00,640.00,918.00,891.00,645.00,701.00,665.00,606.00,430.00,223.00,194.00,
企业数:工业:辽宁:盘锦市,个,390.6842105,29082.45029,170.5357742,0.885276542,0.192358721,0.436505417,187,786,345,19,,276.00,292.00,267.00,187.00,200.00,205.00,267.00,303.00,382.00,411.00,786.00,708.00,508.00,498.00,534.00,507.00,497.00,345.00,250.00,
