指标名称（亿元）,频率,1993,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
黑龙江:伊春:消费品零售,年,,21.6,23.22,24.24,25.11,25.1,26.62,28.67,26.39,28.34,26.32,28.94,33.32,40.4,47.66,56.5,66.2,76.52,86.65,97.95,107.66,119.2,131.2,
黑龙江:佳木斯:消费品零售,年,,48.63,53.98,60.36,66.4,62.5,67.76,72.43,72.8,80.85,91.6,105.27,120.4,147.45,178.09,216.8,245.47,277.43,326.02,361.23,401.11,446.2,488.3,
黑龙江:七台河:消费品零售,年,,14.25,16.78,18.03,19.47,20.54,22.45,24.52,23.41,25.6,23.62,25.87,30.13,36.0,43.0,54.39,63.68,74.2,81.68,89.06,94.82,100.4,105.3,
黑龙江:绥化:消费品零售,年,,,,,,93.5,97.32,102.08,102.13,111.18,115.55,132.4,153.5,186.0,220.88,250.52,293.09,353.09,407.55,462.71,511.35,569.3,620.2,
黑龙江:大兴安岭:消费品零售,年,,,,,,,16.2,17.26,17.23,,17.01,18.9,21.44,25.65,32.02,34.07,39.87,45.93,50.55,,58.87,63.42,68.8,
江苏:无锡:消费品零售,年,,254.95,281.3,300.14,321.85,351.51,390.82,444.29,487.06,579.21,824.1,959.47,1134.75,1391.48,1542.69,1825.79,2142.02,2443.24,2759.98,2607.9,2847.61,3119.56,3458.04,3672.7
江苏:徐州:消费品零售,年,,145.17,152.66,160.65,171.5,185.21,202.01,223.93,235.42,273.8,396.04,460.08,543.01,680.23,805.99,956.99,1141.89,1312.5,1495.91,2099.2,2358.45,2659.39,2977.2,3102.0
江苏:常州:消费品零售,年,,157.59,167.96,173.93,184.42,202.31,222.61,248.8,280.65,324.05,444.08,515.83,610.85,758.16,891.54,1054.39,1236.1,1413.33,1607.63,1805.4,1990.45,2202.83,2444.05,2613.2
江苏:南通:消费品零售,年,,194.52,204.79,213.37,229.82,250.11,270.98,297.14,331.28,384.25,536.41,621.96,736.54,915.1,1080.22,1277.07,1493.27,1719.27,1940.41,2166.1,2379.46,2632.87,2873.41,3088.77
江苏:苏州:消费品零售,年,,266.01,286.62,297.92,315.64,348.2,391.54,451.62,526.05,625.1,905.07,1055.44,1250.05,1551.45,2026.84,2402.02,2829.58,3240.97,3662.24,4095.09,4461.62,4936.79,5442.82,5746.9
江苏:连云港:消费品零售,年,,74.4,79.95,84.47,89.11,95.57,102.91,113.02,123.63,141.22,182.08,211.53,249.08,310.44,362.73,430.68,500.23,575.49,655.57,739.4,830.71,933.31,1038.31,1121.31
江苏:淮安:消费品零售,年,,67.44,76.51,83.09,91.78,103.01,114.31,127.58,139.32,156.36,198.62,230.15,269.4,335.9,394.75,469.09,547.85,633.24,721.22,864.8,970.74,1083.83,1197.09,1239.7
江苏:盐城:消费品零售,年,,130.12,140.95,150.44,162.88,176.65,192.02,211.43,224.88,255.9,316.91,367.6,433.74,542.78,644.81,766.49,895.09,1023.2,1163.38,1312.7,1468.6,1630.88,1806.2,1778.7
江苏:扬州:消费品零售,年,,115.98,127.04,132.05,140.18,152.04,165.73,182.76,197.96,228.01,306.89,355.83,418.9,521.3,612.59,726.12,853.74,973.97,1106.88,1128.1,1236.96,1358.8,1494.01,1557.03
江苏:镇江:消费品零售,年,,90.24,96.66,106.6,114.61,124.46,134.62,150.92,168.24,192.05,241.39,280.07,331.36,410.21,475.74,564.68,664.07,766.46,872.13,1003.8,1113.71,1236.78,1366.03,1360.92
江苏:泰州:消费品零售,年,,100.68,110.58,114.68,123.22,133.57,146.16,161.19,173.76,200.69,233.81,271.33,321.07,395.73,467.36,555.35,651.17,737.57,837.09,903.6,1001.64,1118.34,1254.22,1282.87
江苏:宿迁:消费品零售,年,,44.43,48.06,51.24,56.61,62.64,69.45,77.24,78.0,87.62,109.5,127.03,158.87,196.8,243.34,289.38,336.26,388.23,442.43,564.8,626.64,705.54,781.39,833.82
浙江:温州:消费品零售,年,,274.89,314.63,345.04,373.12,397.91,438.45,491.09,522.54,633.51,680.86,779.15,906.46,1082.95,1264.72,1498.1,1767.64,1929.29,2136.38,2410.36,2677.73,3006.9,3062.57,3337.1
浙江:嘉兴:消费品零售,年,,156.5,159.48,168.31,180.99,200.33,223.74,249.21,279.39,325.34,374.44,429.72,501.22,599.61,694.3,799.36,948.57,1083.74,1196.93,1347.04,1494.57,1638.49,1806.62,1938.59
浙江:湖州:消费品零售,年,,100.53,112.36,123.76,135.2,149.18,159.15,170.88,182.34,208.34,237.75,273.8,319.25,382.11,442.57,516.09,609.89,703.87,766.22,871.2,963.92,1068.86,1188.15,
浙江:绍兴:消费品零售,年,,140.35,159.86,174.14,191.58,215.36,238.96,269.27,291.98,335.43,381.63,440.64,515.44,618.89,717.9,852.89,1006.75,1158.66,1318.39,1487.14,1621.06,1783.34,1977.66,2008.0
浙江:金华:消费品零售,年,,120.06,129.66,140.29,153.92,169.38,188.85,212.16,238.9,273.89,418.84,482.08,562.83,675.66,780.99,916.23,1088.95,1260.41,1406.98,1592.7,1783.1,1977.87,2191.19,2253.0
浙江:衢州:消费品零售,年,,56.0,60.21,63.51,69.58,76.32,83.86,95.26,91.05,105.35,134.74,153.86,179.45,215.61,250.25,290.82,344.34,396.36,443.67,503.79,550.98,609.31,677.89,717.46
浙江:舟山:消费品零售,年,,41.18,46.34,49.51,54.61,59.48,65.4,74.07,75.11,87.52,100.14,113.97,132.37,157.83,181.69,212.54,251.71,290.54,331.65,376.58,415.52,457.4,505.68,536.9
浙江:台州:消费品零售,年,,138.14,144.22,148.59,163.67,181.75,201.5,232.1,262.33,302.92,439.92,511.57,596.17,709.71,817.88,960.45,1132.37,1304.3,1449.27,1646.32,1826.68,2013.14,2235.73,2366.88
浙江:丽水:消费品零售,年,,,,,,63.8,84.37,93.71,105.01,118.74,128.1,145.65,169.07,202.98,232.62,266.13,315.89,371.09,420.8,476.35,519.28,571.64,635.96,682.91
安徽:芜湖:消费品零售,年,,49.06,58.01,61.97,66.0,70.59,74.82,80.13,88.0,102.54,120.74,139.72,165.83,203.2,241.51,287.45,421.01,490.2,559.95,653.62,733.04,828.17,930.86,1028.26
安徽:蚌埠:消费品零售,年,,48.52,57.81,62.64,66.47,70.79,76.07,81.92,88.69,101.57,116.9,133.8,156.24,191.55,226.98,269.87,319.28,371.51,424.82,506.56,570.65,643.99,725.13,823.46
安徽:淮南:消费品零售,年,,34.5,38.76,40.2,42.08,44.5,47.62,51.16,55.6,63.0,81.21,93.55,109.02,133.87,159.1,187.21,221.95,256.47,291.23,348.38,459.17,512.46,573.45,609.0
安徽:马鞍山:消费品零售,年,,25.51,29.11,30.93,33.34,35.55,38.26,41.42,46.86,52.65,64.29,73.47,86.53,105.97,125.75,147.8,226.09,262.94,301.34,373.53,418.55,470.63,529.45,589.95
安徽:淮北:消费品零售,年,,22.77,26.39,28.19,29.97,32.23,34.74,37.56,40.8,45.61,54.38,61.93,72.74,89.22,105.93,125.52,148.28,171.67,195.46,219.78,283.35,315.86,353.13,324.5
安徽:铜陵:消费品零售,年,,16.59,19.4,20.19,21.79,23.44,25.32,27.34,29.99,34.31,42.24,48.64,57.16,70.63,83.82,99.15,117.75,137.24,155.57,189.18,272.32,305.68,343.28,365.0
安徽:安庆:消费品零售,年,,62.63,72.24,77.23,82.16,88.65,95.54,104.16,114.53,129.52,145.56,167.57,198.07,241.76,287.94,338.68,397.49,460.56,523.59,600.16,608.38,681.68,764.17,814.9
安徽:黄山:消费品零售,年,,20.49,22.95,13.0,25.94,28.09,30.48,33.05,36.09,40.88,53.85,61.92,73.1,90.42,107.56,125.96,148.34,172.08,196.12,253.4,281.14,313.12,348.81,377.4
安徽:滁州:消费品零售,年,,51.49,55.96,57.44,61.32,65.9,69.19,73.69,78.36,86.6,94.53,107.48,126.24,154.39,183.62,214.8,254.47,296.81,338.48,406.4,457.0,515.15,574.39,639.1
安徽:阜阳:消费品零售,年,,96.15,135.64,132.03,139.2,102.3,106.35,111.09,116.69,130.79,146.08,163.64,192.74,237.62,282.16,326.7,385.38,446.04,508.02,598.41,674.71,759.38,852.02,962.2
安徽:宿州:消费品零售,年,,,,49.27,51.22,53.44,56.51,62.62,68.01,75.2,85.39,97.0,114.81,141.35,167.65,193.99,229.23,266.04,303.67,344.24,424.5,476.92,533.68,554.34
安徽:巢湖:消费品零售,年,,,,,59.44,63.37,67.83,72.55,76.59,85.38,90.62,103.72,121.97,151.18,179.69,206.79,,,,,,,,
安徽:六安:消费品零售,年,,,,,68.73,73.49,77.87,83.33,89.09,99.69,119.45,136.44,160.97,198.17,235.55,279.94,331.34,382.66,434.23,507.49,484.7,541.46,604.81,668.5
安徽:亳州:消费品零售,年,,,,,,77.68,70.16,74.47,80.16,88.7,99.73,113.06,131.24,160.6,190.82,222.76,262.59,303.69,345.09,388.41,436.38,492.14,550.7,590.0
安徽:池州:消费品零售,年,,,,,,20.38,21.77,23.38,24.84,27.83,39.72,45.54,53.64,66.5,79.18,91.18,107.1,124.29,142.48,176.37,197.98,222.07,248.72,255.5
安徽:宣城:消费品零售,年,,,,,,56.04,58.91,62.4,66.23,72.33,85.89,97.6,114.4,140.74,167.13,194.7,228.91,265.84,303.57,375.39,422.5,475.84,531.51,521.2
福建:莆田:消费品零售,年,,46.45,49.8,55.81,61.99,68.5,75.39,82.76,87.19,107.78,128.17,145.88,172.86,206.14,246.13,290.37,338.02,394.79,444.13,498.03,558.85,623.13,695.41,763.42
福建:三明:消费品零售,年,,56.75,67.09,75.81,83.87,91.84,99.88,109.24,107.05,89.63,110.08,125.99,149.28,182.92,206.65,245.58,291.51,341.48,385.53,404.85,444.47,480.63,533.43,588.5
福建:泉州:消费品零售,年,,215.03,250.24,286.55,316.08,322.24,351.56,387.07,433.9,498.56,562.4,645.98,754.05,903.54,1055.2,1234.43,1424.76,1706.64,1945.57,2189.43,2459.59,2724.65,3033.95,3407.89
福建:漳州:消费品零售,年,,86.42,102.27,120.23,134.52,149.63,163.19,177.85,179.88,199.36,229.94,258.35,302.28,363.78,400.21,472.63,563.51,661.08,746.36,692.2,776.99,875.59,982.43,1111.6
福建:南平:消费品零售,年,,48.01,55.14,59.5,63.92,69.36,74.47,82.88,84.71,95.72,133.7,150.91,174.4,208.88,225.22,262.04,296.96,357.3,412.68,452.0,503.85,556.68,615.26,675.09
福建:龙岩:消费品零售,年,,36.68,40.21,44.34,48.47,53.24,58.27,64.47,67.47,97.41,128.65,145.9,167.72,208.36,261.97,312.17,374.33,432.28,480.77,559.99,639.58,729.0,813.19,907.42
福建:宁德:消费品零售,年,,,,,,71.8,77.0,83.7,86.32,97.71,123.82,139.82,162.64,198.56,202.03,234.64,275.28,322.42,372.07,415.02,465.45,512.35,565.09,611.11
江西:景德镇:消费品零售,年,,19.26,21.51,23.56,25.56,28.09,30.97,34.03,38.07,44.08,58.3,68.05,80.03,99.28,118.54,141.65,166.65,188.81,214.44,239.88,269.61,300.61,335.93,340.66
江西:萍乡:消费品零售,年,,24.29,26.75,29.02,31.65,34.8,38.32,41.85,46.99,54.6,66.11,76.76,90.15,111.92,133.64,159.06,184.67,210.82,239.02,266.55,303.06,338.08,379.15,384.83
江西:九江:消费品零售,年,,52.99,57.14,54.91,58.96,63.18,68.14,75.64,85.62,97.3,121.25,139.56,163.79,201.94,240.51,286.89,332.35,384.66,438.02,512.22,581.45,656.78,739.21,752.1
江西:新余:消费品零售,年,,18.33,20.57,22.23,24.01,26.04,28.41,31.39,34.47,39.46,46.53,54.05,63.73,79.29,94.83,112.74,133.85,154.79,171.77,191.11,213.75,239.95,269.58,274.36
江西:鹰潭:消费品零售,年,,13.51,15.22,16.16,17.73,19.11,20.58,22.43,24.86,28.59,36.41,42.18,49.5,61.27,72.67,86.64,104.1,118.66,134.51,150.65,172.57,194.66,217.73,220.79
江西:吉安:消费品零售,年,,,,,,59.19,63.48,68.46,73.13,81.26,86.12,99.28,116.25,143.7,171.0,202.83,230.28,264.46,301.93,340.78,398.47,448.66,504.97,514.19
江西:赣州:消费品零售,年,,,,,83.01,90.08,99.42,109.51,120.14,134.91,160.69,184.6,216.24,266.95,317.14,375.35,435.74,495.0,563.06,629.59,708.74,790.24,887.05,901.71
江西:吉安:消费品零售,年,,,,,,59.19,63.48,68.46,73.13,81.26,86.12,99.28,116.25,143.7,171.0,202.83,230.28,264.46,301.93,340.78,398.47,448.66,504.97,514.19
江西:抚州:消费品零售,年,,,,,,63.6,68.6,75.49,82.23,92.88,102.72,115.64,135.46,167.61,199.21,236.68,268.28,302.25,341.46,379.5,430.35,480.27,537.66,544.14
江西:宜春:消费品零售,年,,,,,,90.22,97.59,105.69,114.35,128.16,114.96,131.48,154.33,190.42,226.1,267.86,312.21,356.21,407.05,457.33,530.66,596.25,667.5,676.03
山东:淄博:消费品零售,年,,120.45,135.39,153.1,167.62,184.94,205.6,230.78,254.86,299.82,430.94,499.81,593.08,729.62,860.57,1005.68,1186.7,1363.64,1568.17,1763.18,1949.72,2155.03,2373.98,
山东:枣庄:消费品零售,年,,60.09,67.57,73.28,78.5,85.42,94.57,105.28,121.12,146.18,176.3,204.42,242.07,297.6,358.97,422.85,496.0,568.24,645.08,726.68,805.38,892.28,982.14,950.3
山东:东营:消费品零售,年,,44.09,52.04,59.2,63.83,68.11,75.63,84.35,91.09,117.1,149.01,173.53,206.54,254.61,323.71,388.74,456.38,522.99,593.72,668.24,728.05,789.72,862.29,867.01
山东:烟台:消费品零售,年,,170.82,191.94,212.07,232.43,256.11,283.0,320.64,366.11,440.42,599.58,697.96,829.7,1023.44,1215.15,1412.69,1657.08,1901.35,2158.68,2416.75,2679.45,2976.07,3273.08,3079.41
山东:潍坊:消费品零售,年,,194.39,210.94,229.1,244.89,260.01,282.11,313.49,344.6,405.21,493.34,573.64,674.3,830.3,967.94,1214.8,1425.96,1613.56,1830.39,2060.11,2277.45,2514.85,2737.92,2702.7
山东:济宁:消费品零售,年,,107.04,123.04,138.14,149.31,166.41,185.88,208.65,241.55,293.82,429.76,499.6,591.28,728.34,845.95,1004.25,1177.98,1351.25,1534.11,1729.71,1910.98,2071.89,2259.19,2288.07
山东:泰安:消费品零售,年,,97.13,107.3,117.69,125.82,134.62,145.74,162.03,185.73,224.18,273.64,318.21,378.47,466.84,563.04,687.42,806.73,939.86,1053.79,1202.35,1331.61,1462.77,1608.31,1593.8
山东:威海:消费品零售,年,,99.93,116.93,132.59,137.95,151.61,168.27,188.6,202.03,238.14,284.8,331.21,392.63,483.62,554.2,683.99,832.69,953.87,1082.18,1181.87,1311.66,1456.73,1607.94,
山东:日照:消费品零售,年,,36.29,41.48,46.5,53.15,57.88,66.02,74.91,88.91,104.5,125.1,145.06,172.27,212.36,264.43,311.63,365.44,428.89,476.21,547.63,603.87,660.09,720.29,774.1
山东:莱芜:消费品零售,年,,29.78,34.66,39.61,41.78,45.97,50.88,56.6,55.69,67.1,81.39,94.5,111.85,135.6,154.37,182.06,198.39,228.05,257.75,290.36,320.88,347.8,380.0,
山东:临沂:消费品零售,年,,120.27,136.24,147.29,158.94,174.78,194.0,216.0,263.28,309.9,476.57,554.71,660.83,816.94,924.12,1158.75,1366.08,1579.87,1780.91,2018.41,2234.98,2488.01,2721.64,2482.2
山东:德州:消费品零售,年,,75.78,89.36,100.7,110.72,122.79,136.58,152.75,158.74,187.21,282.21,328.26,387.2,476.29,606.45,645.62,757.52,886.79,990.5,1135.87,1257.41,1394.97,1537.12,1525.5
山东:聊城:消费品零售,年,,,,42.72,46.32,50.5,56.66,64.08,101.09,127.32,233.61,271.8,322.27,396.73,478.17,558.6,629.96,751.38,820.82,959.56,1060.22,1173.13,1278.83,1334.35
山东:滨州:消费品零售,年,,,,,,49.21,55.38,63.04,92.87,117.87,179.73,208.57,246.05,302.62,352.34,431.16,505.75,602.27,658.04,746.21,813.63,889.7,968.71,993.69
山东:菏泽:消费品零售,年,,,,,,75.26,84.21,94.41,141.65,177.4,236.65,275.25,327.93,404.85,567.7,665.51,785.97,904.07,1027.75,1215.22,1352.11,1503.0,1650.45,1811.37
