"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售面积:辽宁:营口市,千平方米,2845.253647,3741883.497,1934.394866,1.04614413,-0.459235488,0.679867283,911,6418.172,2073.113,17,,,,,,,,,,,,,974.00,911.00,1063.00,1612.00,1659.30,1832.40,2280.20,3577.00,5326.00,6131.00,6418.17,6209.84,2621.00,1613.81,1782.48,2073.11,2285.00
商品房销售面积:辽宁:阜新市,千平方米,1031.152063,292687.0874,541.005626,1.003024386,-0.480361521,0.524661343,432,2107.449,826.3105,16,,,,,,,,,,,,,432.00,615.00,640.00,953.00,596.00,664.70,675.40,892.80,1216.00,1652.00,1864.32,2107.45,1882.00,890.50,655.14,762.12,
商品房销售面积:辽宁:辽阳市,千平方米,1234.460294,510499.4063,714.4924116,0.904193341,0.042705068,0.578789302,413,2750.734,1099.2,17,,,,,,,,,,,,,413.00,453.00,431.00,734.00,644.00,1099.20,1126.50,1308.00,1776.00,2006.00,2584.48,2750.73,1718.00,1239.67,778.65,993.60,930.00
商品房销售面积:辽宁:盘锦市,千平方米,1861.112941,2056644.725,1434.100668,0.163190756,-1.827394328,0.770560795,197,3790,1539.6,17,,,,,,,,,,,,,318.00,197.00,244.00,363.00,444.30,521.80,990.10,1539.60,2613.00,3461.00,3765.66,3729.44,3790.00,3274.13,2535.01,2877.87,975.00
商品房销售面积:辽宁:铁岭市,千平方米,2334.195688,3219349.062,1794.254459,0.499686927,-1.55999681,0.768682107,369,5047.748,1417.55,16,,,,,,,,,,,,,548.00,517.00,369.00,797.00,954.80,1348.20,1486.90,2856.00,4856.00,4470.00,5047.75,4944.93,4076.00,2925.35,1237.90,912.30,
商品房销售面积:辽宁:朝阳市,千平方米,2220.049412,4009939.223,2002.483264,1.540049015,1.896358685,0.901999412,429,7490.602,1352,17,,,,,,,,,,,,,429.00,539.00,625.00,488.00,1128.00,1339.70,1379.00,2101.00,2988.00,3763.00,5716.36,7490.60,4137.00,2035.71,1034.26,1195.20,1352.00
商品房销售面积:辽宁:葫芦岛市,千平方米,1593.731353,673015.4669,820.3751988,0.566783245,-0.779490142,0.514751245,557,3132.953,1422.1,17,,,,,,,,,,,,,557.00,805.00,749.00,586.00,986.00,1367.10,1422.10,2872.40,2828.00,1532.00,1980.86,3132.95,1862.00,1045.50,1151.19,1870.33,2346.00
商品房销售面积:吉林:长春市,千平方米,5964.4288,14299156.86,3781.422597,0.076279235,-1.203110524,0.633995765,591.335,12884,6431.798,20,,,,,,,,,,591.34,1029.03,1178.83,1991.79,1852.27,1940.86,3400.41,4082.53,5137.73,5706.43,7157.17,8630.78,8809.52,9080.00,8471.00,7588.40,8107.10,10177.50,11471.89,12884.00
商品房销售面积:吉林:吉林市,千平方米,3122.2875,2644773.643,1626.276004,0.663617697,-0.369518377,0.520860428,966,6601,2521.2,16,,,,,,,,,,,,,1284.00,1252.00,966.00,2148.70,2279.00,2287.10,3701.80,4316.90,4963.00,5243.00,6601.00,4685.00,2361.40,2230.80,2681.00,2955.90,
商品房销售面积:吉林:四平市,千平方米,871.54375,481888.856,694.182149,0.54327469,-1.294117032,0.796497191,61,2106,643.5,16,,,,,,,,,,,,,207.00,188.00,61.00,341.90,288.00,538.90,748.10,1381.90,1751.00,2106.00,1823.00,1735.00,1232.60,462.90,847.40,232.00,
商品房销售面积:吉林:辽源市,千平方米,410.03125,36453.64763,190.9283835,1.103383936,1.237135245,0.465643493,143,878.7,383.8,16,,,,,,,,,,,,,264.00,143.00,296.00,370.60,267.00,459.70,573.40,717.10,878.70,397.00,448.00,521.10,215.80,341.70,397.20,270.20,
商品房销售面积:吉林:通化市,千平方米,1232.14375,427591.9733,653.9051715,-0.330110357,-1.217672476,0.530705262,165,2167,1411.95,16,,,,,,,,,,,,,165.00,277.00,330.00,572.80,798.00,894.20,1163.50,1431.30,1934.00,1892.00,2167.00,1858.70,1462.70,1489.60,1885.90,1392.60,
