"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
户籍人口数:山西:吕梁市,千人,3779.026667,25557.99781,159.86868930000003,-0.757007243,-1.0130256659999999,0.042304197,3497.2,3939.0,3834.9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497.2,3522.9,3553.7,3618.5,3701.2,3766.3,3810.9,3834.9,3892.0,3937.0,3939.0,3907.0,3874.8,3910.0,3920.0,
户籍人口数:内蒙古:呼和浩特市,千人,2220.471522,20285.99171,142.4289005,0.041871909,-1.129055508,0.064143539,1973.7,2458.0,2208.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.7,2003.7,2043.6,2077.8,2091.7,2118.3,2134.5,2138.9,2147.0,2134.9,2158.1,2208.4,2243.0,2273.7,2295.6,2323.0,2303.0,2339.6,2379.83,2385.83,2409.69,2429.0,2458.0
户籍人口数:内蒙古:包头市,千人,2134.554545,8588.289264000001,92.67302339,-0.306567236,-1.249554588,0.043415627000000005,1962.3,2250.0,2135.05,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.3,1989.2,2011.1,2030.1,2043.5,2061.6,2080.2,2093.3,2102.4,2093.2,2124.1,2146.0,2177.6,2195.9,2198.0,2218.0,2235.0,2250.0,2237.0,2238.6,2237.0,2236.1,
户籍人口数:内蒙古:乌海市,千人,420.36,1643.791143,40.54369424,1.372073967,4.342446626,0.096449934,351.2,535.0,416.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.2,382.9,391.0,402.4,397.2,405.9,412.0,416.0,422.3,431.1,433.5,,,,535.0,,,,,444.9,440.0,440.0,
户籍人口数:内蒙古:赤峰市,千人,4527.804545,7143.541407,84.51947354,0.025374297999999997,-1.5796079280000002,0.018666767,4414.7,4658.0,4522.85,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4417.0,4461.0,4414.7,4463.9,4518.0,4420.3,4443.0,4473.0,4415.5,4453.0,4502.1,4527.7,4564.9,4591.9,4577.4,4599.0,4612.0,4643.0,4658.0,4626.3,4630.0,4600.0,
户籍人口数:内蒙古:通辽市,千人,3143.515,3235.188711,56.87871931,-0.62092653,-1.070833456,0.018093987,3031.6,3212.0,3164.25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072.2,3031.6,3054.4,3069.2,3093.0,3109.1,3093.4,3125.1,3162.0,3169.2,3188.6,3187.0,3200.6,3197.7,3212.0,3194.0,3193.7,3189.0,3163.6,3164.9
户籍人口数:内蒙古:鄂尔多斯市,千人,1482.139833,9505.123357999999,97.49422218,-0.22450045300000002,-1.391658061,0.065779368,1328.3210000000001,1622.7,1507.8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.32,1344.25,1359.75,1368.7,1378.6,1410.0,1439.9,1467.0,1494.8,1523.8,1542.0,1520.8,1543.4,1559.0,1573.0,1594.0,1608.5,1622.7
户籍人口数:内蒙古:呼伦贝尔市,千人,2675.15,2065.06,45.44293124,-1.0025397679999999,-0.304646246,0.016987059,2590.0,2724.8,2698.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2649.5,2676.5,2697.0,2708.8,2700.0,2699.6,2705.6,2724.8,2717.6,2713.0,2704.0,2664.0,,2659.0,2593.0,2590.0,2600.0,
户籍人口数:内蒙古:巴彦淖尔市,千人,1801.4,2302.932308,47.98887692,0.23048379600000002,-1.6301137490000002,0.026639767,1740.0,1868.0,1790.05,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761.3,1779.1,1758.7,1794.1,1823.0,1850.0,,1863.4,1868.0,1867.0,1832.0,1786.0,1747.0,1750.0,1740.0,
户籍人口数:内蒙古:乌兰察布市,千人,2792.2625,5246.5865,72.43332451,0.203401587,-1.8188576440000002,0.025940729,2706.0,2897.2,2775.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706.0,2716.2,2725.2,2781.6,2842.6,2871.1,2897.2,2870.2,2887.7,2869.7,2832.7,2770.0,2738.7,2735.1,2721.2,2711.0
户籍人口数:辽宁:沈阳市,千人,7050.390909000001,47180.63325,217.21103390000002,-0.117379878,-1.436499259,0.030808367000000003,6710.4,7365.0,7066.65,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6710.4,6738.0,6748.6,6770.8,6851.0,6893.4,6889.2,6891.0,6938.7,6985.7,7035.6,7097.7,7135.1,7165.5,7196.0,7226.9,7248.0,7271.0,7308.0,7304.0,7339.0,7365.0,
户籍人口数:辽宁:大连市,千人,5724.404348,41164.58498,202.8905739,-0.38188439700000004,-1.4025019440000002,0.035443089,5374.0,5956.0,5781.9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5374.0,5403.6,5432.4,5453.1,5514.7,5546.1,5579.3,5601.6,5616.0,5653.3,5720.8,5781.9,5833.7,5848.0,5864.4,5885.4,5903.0,5914.0,5943.0,5936.0,5956.0,5949.0,5952.0
户籍人口数:辽宁:鞍山市,千人,3463.7159549999997,1863.0094800000002,43.16259353,-0.47662811899999996,-0.745977945,0.012461355,3380.2,3520.3,3464.95,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3380.2,3392.1,3396.2,3402.6,3442.4,3442.3,3446.9,3452.8,3469.4,3476.4,3489.5,3502.5,3514.2,3520.3,3517.9,3515.5,3503.58,3497.47,3482.0,3460.5,3457.0,3440.0,
户籍人口数:辽宁:抚顺市,千人,2217.982609,2874.957866,53.61863357,-1.049376007,0.29874141600000004,0.024174506000000002,2089.0,2271.6,2237.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2268.1,2271.6,2271.3,2269.1,2270.1,2261.9,2261.1,2254.7,2248.8,2243.9,2239.0,2237.2,2231.9,2226.1,2209.1,2201.1,2193.0,2180.0,2174.0,2157.6,2148.0,2107.0,2089.0
户籍人口数:辽宁:本溪市,千人,1543.150609,938.2431167000001,30.63075443,-1.4798567880000002,1.4225339369999999,0.019849491,1461.496,1571.0,1556.6760000000002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.2,1562.6,1563.0,1566.9,1571.0,1564.6,1565.7,1565.8,1565.64,1563.61,1561.76,1559.75,1556.68,1554.59,1546.0,1543.4,1531.93,1523.07,1520.34,1512.1,1499.98,1476.33,1461.5
户籍人口数:辽宁:丹东市,千人,2402.43187,500.3471291999999,22.36844047,-1.3784526019999999,2.01916003,0.009310749,2341.0,2428.9629999999997,2409.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392.2,2394.9,2403.5,2405.3,2409.7,2410.1,2413.0,2412.2,2409.7,2423.91,2425.21,2428.96,2427.05,2426.4,2413.6,2410.7,2405.0,2396.0,2395.0,2381.5,2379.0,2352.0,2341.0
户籍人口数:辽宁:锦州市,千人,3056.8434780000002,1582.528933,39.78101221,-1.43349262,1.967366856,0.013013755,2949.6,3101.9,3071.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3025.0,3034.5,3041.7,3054.4,3064.4,3072.0,3071.5,3074.7,3078.4,3083.2,3092.0,3094.1,3101.9,3101.9,3083.5,3083.0,3079.0,3059.0,3053.0,3025.6,3022.0,2963.0,2949.6
户籍人口数:辽宁:营口市,千人,2301.86087,1962.8161260000002,44.30368073,-0.835373562,-0.265703012,0.019246898000000002,2207.1,2355.3,2314.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207.1,2217.7,2229.1,2242.5,2262.2,2273.7,2284.5,2292.0,2299.3,2305.3,2310.8,2324.9,2338.0,2350.4,2355.3,2354.5,2351.0,2325.0,2333.0,2326.2,2328.3,2318.0,2314.0
户籍人口数:辽宁:阜新市,千人,1915.131818,275.6413203,16.60244923,-1.8187587530000002,3.96399921,0.00866909,1862.0,1930.7,1920.65,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.7,1909.7,1912.7,1913.7,1920.8,1925.7,1929.6,1930.2,1928.0,1926.8,1929.7,1930.7,1924.6,1922.7,1923.8,1920.5,1916.0,1911.0,1910.0,1895.0,1889.0,1862.0,
户籍人口数:辽宁:辽阳市,千人,1805.459217,595.5696054,24.40429481,-0.590094184,-0.747728022,0.013516946,1754.0,1834.8,1813.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767.1,1777.8,1786.4,1792.0,1813.0,1818.5,1820.6,1823.5,1824.1,1820.07,1825.5,1833.8,1833.9,1834.8,1833.2,1824.3,1803.0,1800.0,1799.0,1790.0,1786.0,1765.0,1754.0
户籍人口数:辽宁:盘锦市,千人,1260.326087,2224.251107,47.16196674,-1.026348729,0.254526761,0.037420447999999995,1144.3,1312.5,1282.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.3,1169.5,1195.2,1207.7,1220.7,1229.5,1239.2,1243.9,1248.0,1259.4,1270.8,1282.4,1292.0,1300.1,1312.5,1312.3,1288.0,1289.0,1292.0,1295.0,1301.0,1296.0,1299.0
户籍人口数:辽宁:铁岭市,千人,3004.4136359999998,1725.120281,41.53456731,-0.46149034299999997,-0.543054452,0.013824517,2917.5,3060.6,3004.15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2917.5,2941.3,2956.2,2969.9,2985.0,2988.6,2993.3,2994.4,3004.3,3025.5,3045.4,3054.0,3059.3,3060.6,3051.5,3049.3,3022.0,3019.0,3020.0,3004.0,2999.0,2937.0,
户籍人口数:辽宁:朝阳市,千人,3373.6521740000003,1425.159881,37.7512898,-0.6188759629999999,-0.7894969740000001,0.011190036,3297.6,3426.0,3387.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3297.6,3308.4,3314.4,3322.2,3342.6,3346.1,3351.6,3365.0,3368.0,3387.4,3400.8,3401.6,3409.2,3426.0,3392.4,3409.6,3405.8,3395.3,3406.0,3409.0,3411.0,3365.0,3359.0
户籍人口数:辽宁:葫芦岛市,千人,2748.178261,3909.2435969999997,62.52394419,-0.5611244679999999,-1.051842062,0.022751051,2627.4,2822.7,2764.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2627.4,2645.3,2652.9,2662.3,2685.8,2697.7,2708.6,2714.3,2729.5,2737.2,2756.7,2787.0,2804.0,2822.7,2817.5,2813.2,2800.0,2799.0,2807.0,2801.0,2805.0,2770.0,2764.0
户籍人口数:吉林:长春市,千人,7311.652174,79353.03897000001,281.6967145,-0.709551197,-1.028054889,0.038527095,6767.8,7617.7,7459.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6767.8,6837.9,6868.7,6912.3,6996.4,7057.3,7125.0,7182.3,7240.0,7315.0,7392.6,7459.5,7525.3,7565.0,7588.9,7617.7,7569.0,7527.0,7545.5,7538.3,7534.3,7489.2,7513.0
户籍人口数:吉林:吉林市,千人,4296.913636,2314.323139,48.10741251,-1.021213008,3.04227412,0.011195806,4153.5,4382.9,4302.25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259.7,4276.3,4275.9,4300.1,4316.7,4313.8,4310.8,4316.0,4290.7,4294.5,4304.4,4326.7,4382.9,4374.2,4340.3,4333.1,4307.9,4291.1,4276.5,4262.4,4224.6,4153.5,
户籍人口数:吉林:四平市,千人,3283.122727,5655.236126,75.20130401,0.166952422,-0.6789504140000001,0.02290542,3136.7,3411.4,3271.7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3136.7,3186.9,3208.0,3222.9,3228.8,3235.1,3260.8,3266.7,3276.7,3318.9,3312.9,3349.5,3375.6,3391.2,3405.5,3411.4,3363.1,3284.0,3281.1,3264.0,3244.9,3204.0,
户籍人口数:吉林:辽源市,千人,1229.935,290.9875951,17.05835851,-1.611771775,2.607725845,0.013869316999999999,1179.4769999999999,1248.7,1234.7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.4,1248.7,1246.4,1242.1,1242.8,1242.51,1242.3,1242.0,1239.8,1233.7,1232.2,1234.0,1233.3,1237.8,1237.5,1225.4,1220.0,1219.2,1217.95,1208.04,1198.0,1179.48,
户籍人口数:吉林:通化市,千人,2252.077273,962.1599351,31.01870299,-0.870317735,1.259301175,0.013773374,2171.5,2305.6,2259.8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305.6,2300.6,2258.8,2259.6,2245.2,2252.5,2258.1,2262.2,2263.9,2263.1,2268.8,2269.1,2277.0,2268.1,2261.2,2260.0,2246.0,2223.0,2221.9,2211.0,2198.5,2171.5,
户籍人口数:吉林:白山市,千人,1286.757522,1691.6268719999998,41.12939182,-1.4231654230000002,1.463030329,0.031963592,1181.0,1329.7,1299.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.6,1316.8,1316.7,1323.4,1313.1,1327.36,1329.7,1329.2,1306.6,1303.0,1299.77,1299.2,1296.89,1297.2,1287.0,1285.1,1278.7,1271.3,1262.6,1254.0,1216.0,1195.2,1181.0
户籍人口数:吉林:松原市,千人,2787.077273,5862.785649,76.56882949,-0.20753553600000002,0.087367322,0.027472805,2618.7,2921.4,2782.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618.7,2660.1,2688.7,2720.3,2735.3,2756.7,2777.2,2794.3,2807.8,2774.6,2782.1,2813.0,2850.9,2883.3,2900.5,2921.4,2897.9,2829.6,2784.5,2781.0,2783.7,2754.1,
户籍人口数:吉林:白城市,千人,1996.5818179999999,953.7596537000001,30.88299943,-1.31715652,2.055975564,0.015467936000000002,1909.5,2031.7,1998.95,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.4,1990.5,1984.7,1994.7,1991.8,1997.7,2002.2,2008.2,2016.0,2016.0,2024.0,2029.3,2029.0,2031.7,2026.4,2025.4,2000.2,1991.0,1977.5,1967.0,1934.6,1909.5,
