,单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
财政收入:内蒙古:包头市,百万人民币,13982.13625,58360052.91,7639.375165,0.238347376,-0.998303794,0.546366809,2592.16,27121.22,13839.78,16,,,,,,,,,,,,,,,,,,,,,,,,,,2592.16,4161.75,5841.98,6753.43,7674.76,9648.08,13031.20,13918.30,16185.71,18575.57,21511.79,23431.86,25230.21,27121.22,13761.26,14274.90
财政收入:内蒙古:乌海市,百万人民币,3771.218125,7355891.812,2712.174738,0.451577875,-1.161059863,0.719177371,351.32,8155.52,3572.875,16,,,,,,,,,,,,,,,,,,,,,,,,,,351.32,552.82,881.90,1232.93,2061.00,1797.00,2177.88,3366.31,4049.75,5441.35,6848.95,7516.17,8047.57,8155.52,3779.44,4079.58
财政收入:内蒙古:赤峰市,百万人民币,6083.2725,14371351.2,3790.956503,-0.000240952,-1.686834609,0.623177164,1009.35,11177.77,5905.1,16,,,,,,,,,,,,,,,,,,,,,,,,,,1009.35,1360.18,1587.61,1637.70,2818.25,3623.13,4582.21,5632.58,6177.62,7455.88,9118.40,9802.58,10457.77,11177.77,10067.76,10823.57
财政收入:内蒙古:通辽市,百万人民币,6276.666875,16775399.65,4095.778272,0.115679634,-1.295197776,0.65254033,827.46,12833.65,6764.66,16,,,,,,,,,,,,,,,,,,,,,,,,,,827.46,1020.27,1442.22,1700.91,2363.64,4130.27,5070.32,6483.29,7325.40,8917.21,10363.39,11305.63,12048.46,12833.65,7046.03,7548.52
财政收入:内蒙古:鄂尔多斯市,百万人民币,25075.30188,306581490.5,17509.4686,-0.162523561,-1.873929575,0.698275486,1473.36,45102.63,29262.68,16,,,,,,,,,,,,,,,,,,,,,,,,,,1473.36,2302.11,4490.45,5403.87,7702.39,11819.83,16204.08,23907.74,34617.62,37551.21,44001.56,43007.82,44589.99,45102.63,35684.32,43345.85
财政收入:内蒙古:呼伦贝尔市,百万人民币,5941.525625,11170393.93,3342.213927,-0.113853245,-1.552448681,0.562517801,1192.51,10602.63,6044.555,16,,,,,,,,,,,,,,,,,,,,,,,,,,1192.51,1448.71,1741.40,2261.28,2899.80,4184.18,4929.47,5598.51,6490.60,7935.62,8714.08,9603.18,10333.23,10602.63,8525.16,8604.05
财政收入:内蒙古:巴彦淖尔市,百万人民币,3842.591875,4812302.541,2193.696091,-0.08890619,-1.611474651,0.570889692,728.57,6995.42,4049.805,16,,,,,,,,,,,,,,,,,,,,,,,,,,728.57,988.04,1225.08,1368.36,1879.34,2387.82,2999.83,3827.87,4271.74,4960.94,5793.35,6201.67,6576.34,6995.42,5723.26,5553.84
财政收入:内蒙古:乌兰察布市,百万人民币,2847.9025,3226658.598,1796.290232,0.391549094,-1.61315588,0.630741478,708.14,5666.32,2040.055,16,,,,,,,,,,,,,,,,,,,,,,,,,,708.14,892.26,1192.13,1285.14,1522.85,1546.72,1399.33,1733.44,2346.67,3480.06,4244.98,5102.40,5515.10,5666.32,4310.63,4620.27
财政收入:辽宁:沈阳市,百万人民币,45859.38938,678734802,26052.53926,-0.179669408,-1.685796356,0.568096078,8108.89,80099.97,53579.755,16,,,,,,,,,,,,,,,,,,,,,,,,,,8108.89,10953.58,13814.15,17563.36,23080.85,29103.81,32020.70,46535.40,62012.44,71503.77,80099.97,78550.20,60624.11,62094.94,65624.06,72060.00
财政收入:辽宁:大连市,百万人民币,47931.31438,644770546.4,25392.33243,-0.207445829,-1.467839815,0.529764993,11054.05,85016.46,54037.26,16,,,,,,,,,,,,,,,,,,,,,,,,,,11054.05,11717.12,15142.47,19613.57,26797.57,33906.91,40023.40,50083.22,65103.58,75010.85,85016.46,78086.45,57991.30,61190.41,65763.67,70400.00
财政收入:辽宁:鞍山市,百万人民币,13340.85313,51610276.49,7184.029266,0.17883137,-1.162644389,0.53849849,2922.45,24170.12,13101.72,16,,,,,,,,,,,,,,,,,,,,,,,,,,2922.45,4020.90,5524.91,5616.46,7450.10,10001.94,12312.30,18003.34,20701.67,23439.46,23924.87,24170.12,12907.42,13296.02,14021.69,15140.00
财政收入:辽宁:抚顺市,百万人民币,7080.95625,17289625.4,4158.079533,0.207379016,-1.199004578,0.587220057,1488.32,13425.12,7554.76,16,,,,,,,,,,,,,,,,,,,,,,,,,,1488.32,1761.10,2228.25,2756.11,3674.85,4517.45,5376.71,8125.07,10650.16,13015.33,13420.92,13425.12,7376.69,7732.83,8806.39,8940.00
财政收入:辽宁:本溪市,百万人民币,6274.055625,15506585.43,3937.840199,0.670019581,-0.750530098,0.627638713,1525.56,12983.26,5466,16,,,,,,,,,,,,,,,,,,,,,,,,,,1525.56,1693.32,2180.95,2676.35,3376.95,4243.69,5031.77,7459.60,10243.25,12352.44,12970.05,12983.26,5376.80,5555.20,6455.70,6260.00
