"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
商品房销售价格:住宅:黑龙江:黑河市,人民币/平方米,2090.477009,408144.1981,638.8616424,-0.971203051,-0.735500374,0.305605677,960,2715.106565,2446.939814,13,,,,,,,,,,,,,1280.00,960.00,1013.00,1614.00,2159.00,2338.95,2446.94,2463.16,2479.81,2660.91,2552.63,2492.68,2715.11
商品房销售价格:住宅:黑龙江:绥化市,人民币/平方米,2772.355493,1723122.329,1312.677542,0.859667324,0.544189836,0.473488175,1162,5761,2803.447609,16,,,,,,,,,,4007.00,4989.00,5761.00,1162.00,1186.00,1328.00,1579.00,1837.00,2064.68,2536.98,2640.45,3077.20,3080.37,2966.44,3117.44,3025.13
商品房销售价格:住宅:上海,人民币/平方米,9812.580541,53336649.22,7303.194453,0.941477033,-0.132645502,0.744268485,2477,25910.00272,7039.000127,23,,,2477.00,2968.00,2891.00,3026.00,3102.00,3326.00,3658.00,4007.00,4989.00,6361.00,6698.00,7039.00,8253.00,8115.00,12364.00,14212.35,13448.30,13869.89,16192.15,16415.43,21501.10,25910.00,24866.13
商品房销售价格:住宅:江苏:南京市,人民币/平方米,5331.692798,8685900.629,2947.185204,0.835494307,-0.803883836,0.552767257,2577,11078.12149,4270.361514,15,,,,,,,2808.00,2598.00,2577.00,2780.00,2888.00,3098.00,3849.54,4270.36,5010.94,4808.00,6893.00,9226.95,8414.62,9674.86,11078.12,,,,
商品房销售价格:住宅:江苏:无锡市,人民币/平方米,5910.204204,3339282.944,1827.3705,-0.16364796,-1.926176443,0.309189063,3472,8064.763831,5858,9,,,,,,,,,,,,,3472.00,3687.00,4363.00,5096.00,5858.00,7461.93,8064.76,7741.41,7447.73,,,,
商品房销售价格:住宅:江苏:徐州市,人民币/平方米,3772.197786,2083679.905,1443.495724,-0.082018622,-1.485363264,0.38266703,1717,5997.420624,3940.976461,12,,,,,,,,,,,,,1717.00,1993.00,2192.00,2518.00,3110.00,3601.60,4280.35,4696.52,5070.24,,5002.27,5087.97,5997.42
商品房销售价格:住宅:江苏:常州市,人民币/平方米,5003.106674,1979185.3,1406.835207,0.260330471,-2.05742643,0.281192327,3380,6853.180652,4448,9,,,,,,,,,,,,,3380.00,3645.00,3765.00,4111.00,4448.00,5734.87,6853.18,6516.08,6574.83,,,,
商品房销售价格:住宅:江苏:苏州市,人民币/平方米,6806.647881,4500408.455,2121.416615,0.087355302,-2.077224573,0.311668335,4276,9479.557943,6331,9,,,,,,,,,,,,,4276.00,4415.00,5004.00,5533.00,6331.00,8213.12,9028.09,8980.06,9479.56,,,,
商品房销售价格:住宅:江苏:南通市,人民币/平方米,4052.78465,1423280.74,1193.013303,-0.142751543,-1.777843884,0.294368787,2304,5457.524099,4191,9,,,,,,,,,,,,,2304.00,2926.00,3325.00,3010.00,4191.00,4689.18,5312.35,5457.52,5260.01,,,,
商品房销售价格:住宅:江苏:连云港市,人民币/平方米,3319.783861,1379805.2,1174.651097,0.83736337,0.00086561,0.353833607,2036,5666.951408,3015.294191,10,,,,,,,,,,,,,2036.00,2192.00,2401.00,2464.00,2790.00,3240.59,3880.24,4140.74,4386.32,,,,5666.95
商品房销售价格:住宅:江苏:淮安市,人民币/平方米,3261.825006,1409755.886,1187.331414,0.39938702,-0.627230441,0.364008312,1671,5429.933688,3135.031049,10,,,,,,,,,,,,,1671.00,1992.00,2343.00,2541.00,2807.00,3463.06,4168.60,4079.31,4123.34,,,,5429.93
商品房销售价格:住宅:江苏:盐城市,人民币/平方米,3496.097229,1562795.558,1250.118218,-0.128817338,-1.404148431,0.357575358,1680,5418.752845,3779.164882,12,,,,,,,,,,,,,1680.00,1868.00,2156.00,2509.00,2868.00,3459.53,4098.80,4149.29,4415.81,,4591.66,4738.33,5418.75
商品房销售价格:住宅:江苏:扬州市,人民币/平方米,4340.031312,2158472.087,1469.173947,0.197445992,-1.843067258,0.3385169,2586,6190.133058,4254,9,,,,,,,,,,,,,2586.00,2696.00,3201.00,3386.00,4254.00,4680.52,6041.19,6025.43,6190.13,,,,
商品房销售价格:住宅:江苏:镇江市,人民币/平方米,4798.33957,2988122.328,1728.618618,0.187017316,-0.052795559,0.360253499,2252,8327.385713,5210.570697,13,,,,,,,,,,,,,2252.00,2444.00,2940.00,3340.00,3999.00,5152.64,5769.07,5280.62,5814.10,5680.85,5210.57,6168.18,8327.39
商品房销售价格:住宅:江苏:泰州市,人民币/平方米,4403.906777,2044048.077,1429.702094,-0.468325163,-1.628503975,0.324644041,2115,5828.306142,5024.397573,12,,,,,,,,,,,,,2115.00,2447.00,2929.00,3309.00,3632.00,4481.59,5628.59,5652.04,5828.31,5614.30,5642.85,5567.21,
商品房销售价格:住宅:江苏:宿迁市,人民币/平方米,2301.642033,751349.8327,866.8043797,0.405217684,-1.883705893,0.376602603,1392,3422.509954,2045,9,,,,,,,,,,,,,1392.00,1454.00,1518.00,1729.00,2045.00,2470.82,3276.67,3406.78,3422.51,,,,
商品房销售价格:住宅:浙江:杭州市,人民币/平方米,9350.629219,32536311.5,5704.060966,0.352215483,-1.014858767,0.610018944,2624,21226.2611,8212,19,,,,,,,2685.00,2733.00,2624.00,3197.00,3657.00,3884.00,5453.81,5967.44,7431.76,8212.00,10613.00,14258.90,12743.41,13291.03,14679.47,14041.37,14750.22,16213.28,21226.26
