"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售额:住宅:黑龙江:双鸭山市,百万人民币,857.5421429,303624.3165,551.0211579,1.755835778,3.810011281,0.642558692,235,2368.31,762.91,14,,,,,,,,,,,,,,,270.00,235.00,621.00,600.00,496.00,763.00,1564.51,2368.31,809.80,835.63,577.05,762.82,1002.47,1100.00
商品房销售额:住宅:黑龙江:大庆市,百万人民币,10015.99571,32891622.72,5735.121857,0.602479833,-0.685864586,0.572596277,1996,20724.59,9338.925,14,,,,,,,,,,,,,,,1996.00,4564.00,5401.00,6521.00,9649.00,10623.00,16656.86,18737.81,20724.59,14624.28,10750.68,9028.85,4896.87,6050.00
商品房销售额:住宅:黑龙江:伊春市,百万人民币,588.5135714,178159.7764,422.0897729,0.769261015,-0.968000408,0.717213321,114,1328.85,397.425,14,,,,,,,,,,,,,,,249.00,114.00,166.00,230.00,660.00,1225.00,1328.85,998.22,1190.61,563.10,408.61,385.55,386.24,334.01
商品房销售额:住宅:黑龙江:佳木斯市,百万人民币,2893.923846,3524481.869,1877.360346,0.54452111,-0.124451251,0.648724861,374,6709.47,2793.17,13,,,,,,,,,,,,,,,374.00,592.00,983.00,1312.00,2676.00,4912.00,6709.47,3736.01,5142.69,2852.00,2728.88,2809.79,2793.17,
商品房销售额:住宅:黑龙江:七台河市,百万人民币,713.3061538,118389.8156,344.0782114,0.063662532,-1.090301985,0.482371012,214.73,1295.34,785,13,,,,,,,,,,,,,,,459.00,870.00,785.00,680.00,829.00,938.00,1295.34,1154.34,989.76,435.45,276.27,214.73,346.09,
商品房销售额:住宅:黑龙江:牡丹江市,百万人民币,4100.463846,6087011.063,2467.186872,0.131801686,-0.405242557,0.601684825,652,8931.46,4490.54,13,,,,,,,,,,,,,,,652.00,743.00,1422.00,1592.00,3230.00,5590.00,5992.72,6285.93,8931.46,4957.47,4471.86,4490.54,4947.05,
商品房销售额:住宅:黑龙江:黑河市,百万人民币,1209.593077,966334.6288,983.0232087,0.54271889,-0.459431673,0.812689182,33,3128.67,1205.33,13,,,,,,,,,,,,,,,33.00,123.00,125.00,209.00,745.00,1387.00,2287.83,3128.67,2505.66,1199.20,1295.60,1205.33,1480.42,
商品房销售额:住宅:黑龙江:绥化市,百万人民币,5696.279231,31387342.65,5602.440776,1.60171839,2.372382059,0.98352636,586,19650.41,3919.29,13,,,,,,,,,,,,,,,586.00,669.00,960.00,1662.00,3534.00,6991.00,14072.68,19650.41,6195.17,8023.40,3927.65,3861.03,3919.29,
商品房销售额:住宅:上海,百万人民币,197427.8088,21534593389,146746.6981,0.437556454,-0.63705215,0.743292948,13283,523329,194398.065,24,,,,,13283.00,15690.00,17835.00,25105.00,38564.31,48096.54,61516.64,73989.46,110986.49,212288.30,190604.78,184104.45,270630.27,160847.00,362022.82,239535.00,198191.35,220896.00,326403.00,292344.00,431993.00,523329.00,333609.00,386403.00
商品房销售额:住宅:江苏:南京市,百万人民币,44573.01571,1281837265,35802.75499,0.875862025,0.434569628,0.803238336,4933.14,126640,37325.2,14,,,,,,,,,,4933.14,6390.74,9503.70,11558.08,16806.00,34466.58,40183.82,53342.27,31692.73,76789.90,69644.59,57294.67,84776.00,126640.00,,,,,
