"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
人口数:河北:秦皇岛市:常住,千人,3023.875287,5022.626697,70.87049243,-0.111909629,-0.954777899,0.023436976,2904.7,3134.2,3021.578729,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904.70,2930.00,2957.40,2978.00,2990.00,3006.20,3021.58,3045.20,3064.50,3073.20,3094.60,3110.80,3134.20
人口数:河北:邯郸市:户籍,千人,9160.240909,762957.7406,873.474522,0.34286877,-1.365430928,0.095354973,7997.2,10547,8902.4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7997.20,8075.60,8150.00,8209.80,8384.80,8443.30,8499.30,8570.90,8633.50,8714.30,8841.20,8963.60,9280.80,9427.70,9635.00,9799.00,9931.00,10119.50,10294.80,10497.00,10547.00,10510.00,
人口数:河北:邯郸市:常住,千人,9375.273328,15366.41192,123.9613324,-0.171501345,-1.476842323,0.013222157,9188,9528,9373.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9188.00,9239.20,9286.36,9325.10,9373.90,9433.00,9492.80,9511.10,9528.00
人口数:河北:邢台市:户籍,千人,7078.682609,295701.2679,543.7842108,0.341600834,-1.385668624,0.076819974,6343.3,7966.3,6946.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6343.30,6396.70,6464.70,6511.80,6589.40,6613.60,6638.30,6674.40,6719.70,6750.80,6833.00,6946.80,7063.60,7186.30,7320.30,7369.00,7477.00,7628.80,7728.80,7803.90,7884.00,7899.20,7966.30
人口数:河北:邢台市:常住,千人,7122.658459,39373.21108,198.4268406,-0.404252722,-1.32315916,0.027858536,6796,7374.4,7172.05921,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6796.00,6843.00,6884.40,6933.40,6988.80,7114.00,7155.50,7188.62,7216.90,7256.30,7294.40,7319.90,7351.60,7374.40
人口数:河北:保定市:户籍,千人,11177.10909,364110.2571,603.4154929,0.040880732,-1.481989571,0.053986723,10276.4,12070,11147.55,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10276.40,10353.90,10423.40,10500.90,10551.70,10624.30,10701.30,10769.80,10882.80,10921.70,11060.80,11234.30,11417.30,11552.80,11610.10,11607.00,11721.00,11639.00,11966.00,12021.90,12070.00,11990.00,
人口数:河北:保定市:常住,千人,11403.56959,46675.19156,216.0444203,-0.445397257,-0.346882869,0.018945333,11016.6,11690.5,11416.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016.60,11208.00,11272.30,11351.43,11416.30,11490.10,11552.40,11634.50,11690.50,
人口数:河北:张家口市:户籍,千人,4567.256522,10635.58802,103.1289873,-0.239921634,-1.399109002,0.022580073,4391.6,4696,4571.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4391.60,4400.90,4423.10,4436.90,4497.90,4489.40,4505.40,4504.10,4498.20,4502.90,4536.10,4571.80,4596.70,4623.10,4659.70,4674.10,4684.10,4670.20,4685.60,4690.10,4696.00,4655.00,4654.00
人口数:河北:张家口市:常住,千人,4407.180861,854.1142346,29.22523284,-1.21381619,0.532173415,0.006631276,4349,4434,4420.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4349.00,4373.70,4393.83,4413.30,4420.90,4421.70,4425.10,4433.10,4434.00
人口数:河北:承德市:户籍,千人,3666.108696,14000.00447,118.3216145,-0.070238985,-1.440751241,0.032274443,3475.8,3833,3668.9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475.80,3493.60,3509.60,3533.90,3538.70,3554.70,3578.50,3590.60,3608.20,3612.80,3637.10,3668.90,3693.80,3719.10,3729.60,3743.00,3769.20,3781.50,3807.40,3823.50,3833.00,3802.00,3816.00
人口数:河北:承德市:常住,千人,3524.393636,1089.363095,33.00550098,0.292873898,-0.350721503,0.009364874,3476,3578.9,3527.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476.00,3489.10,3506.34,3515.10,3527.20,3530.10,3531.80,3565.00,3578.90
人口数:河北:沧州市:户籍,千人,7101.591304,217168.6736,466.013598,0.267933243,-1.330312901,0.065621011,6421.5,7831.3,7002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6421.50,6482.50,6536.20,6591.20,6689.70,6735.50,6774.20,6801.70,6793.60,6847.50,6908.50,7002.00,7101.00,7175.00,7308.90,7348.20,7443.60,7543.20,7684.00,7743.60,7795.40,7778.30,7831.30
人口数:河北:沧州市:常住,千人,7373.158223,25658.17653,160.1816985,-0.066925998,-1.510221889,0.021724978,7143,7586,7375,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7143.00,7197.70,7243.82,7309.50,7375.00,7443.00,7505.50,7554.90,7586.00
人口数:河北:廊坊市:户籍,千人,4112.913043,132072.5694,363.4178991,0.575770422,-0.909705929,0.088360219,3632.7,4795,4018.6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3632.70,3676.10,3716.80,3747.60,3783.60,3815.90,3841.10,3872.40,3898.20,3915.70,3957.00,4018.60,4082.80,4133.30,4190.20,4249.00,4332.00,4394.00,4504.00,4601.00,4699.00,4741.00,4795.00
人口数:河北:廊坊市:常住,千人,4514.116204,15321.24219,123.7790054,0.747068742,0.162086584,0.02742043,4364,4740.9,4495.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4364.00,4400.30,4439.33,4468.40,4521.80,4563.20,4615.00,4740.90,
人口数:河北:衡水市:户籍,千人,4296.483261,31196.10802,176.6242,0.226303022,-1.648904396,0.041109016,4073.2,4556,4271.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073.20,4097.70,4126.00,4150.30,4114.70,4105.00,4107.90,4133.45,4142.71,4176.30,4225.90,4271.80,4325.14,4362.68,4401.98,4415.76,4424.00,4475.00,4526.00,4522.60,4549.00,4536.00,4556.00
人口数:河北:衡水市:常住,千人,4372.855961,7817.595798,88.41716914,-0.743895182,-0.856525306,0.020219548,4218,4472,4398.885766,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218.00,4244.00,4260.30,,,4346.00,4363.90,4389.27,4408.50,4423.40,4435.40,4453.10,4460.40,4472.00
人口数:山西:太原市:户籍,千人,3427.075,89447.23145,299.0773001,-0.816634757,-0.971132233,0.087268968,2874.1,3700,3577.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2874.10,2932.80,2956.90,2999.20,3087.50,,,3274.00,3319.40,3403.90,3488.20,3553.10,3602.30,3651.20,3655.00,3650.00,3658.00,3675.00,3697.00,3673.90,3700.00,3690.00,
人口数:山西:太原市:常住,千人,4101.190636,208087.3271,456.1658986,-1.842868278,1.888718287,0.111227675,3153.1,4421.5,4277.69,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3153.10,3222.40,,,,,,,,4205.00,4235.35,4256.33,4277.69,4298.90,4318.70,4344.43,4379.70,4421.50
人口数:山西:大同市:户籍,千人,2996.885,33622.07713,183.3632382,-0.589149639,-1.051743429,0.061184609,2659,3194,3027.65,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659.00,2696.80,2721.80,2756.10,2839.00,2878.60,2926.50,2959.20,2996.80,2994.90,3058.50,3094.20,3120.00,3156.00,3175.10,3189.00,3194.00,,,3162.20,3180.00,3180.00,
人口数:山西:大同市:常住,千人,3390.142,2122.98253,46.07583456,-0.055777208,-1.131344732,0.013591122,3321,3456,3391.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3321.00,3339.73,3357.11,3374.89,3391.90,3406.40,3421.89,3442.35,3456.00
人口数:山西:阳泉市:户籍,千人,1279.209091,1542.682771,39.27700053,-0.14458135,-1.382622331,0.030704129,1209.5,1332,1277.25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.50,1222.80,1229.20,1234.70,1242.60,1248.30,1252.70,1256.80,1263.20,1258.80,1272.10,1282.40,1293.40,1302.70,1307.80,1314.00,1321.00,1327.00,1332.00,1321.60,1330.00,1320.00,
人口数:山西:阳泉市:常住,千人,1391.757778,252.9112212,15.90318274,-0.063848458,-1.302255999,0.011426689,1368.502,1414.4,1392.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.50,1374.24,1379.26,1386.03,1392.70,1398.30,1403.59,1408.80,1414.40
人口数:山西:长治市:户籍,千人,3238.029591,14501.82556,120.4235258,-0.064547703,-1.41467387,0.037190372,3041.8,3404.4,3219.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3041.80,3060.20,3076.30,3099.10,3122.10,3161.60,3183.00,3167.80,3181.90,3164.20,3201.00,3238.00,3274.00,3296.30,3315.40,3353.63,3369.67,3387.75,3404.40,3368.50,3390.00,3380.00,
人口数:山西:长治市:常住,千人,3401.477125,2586.280026,50.85548177,-0.060379006,-1.777917606,0.014950999,3337,3468,3406.2185,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3337.00,3343.00,3361.00,,3392.00,3420.44,3435.38,3455.00,3468.00
人口数:山西:晋城市:户籍,千人,2138.771429,2909.593143,53.94064463,-0.205325104,-1.18588693,0.025220388,2039.3,2215.9,2122,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039.30,2055.00,2069.40,2083.90,2100.30,2102.60,2106.30,2111.60,2118.30,2122.00,2118.60,,,2215.90,2165.30,2162.30,2175.00,2182.00,2193.00,2189.00,2194.40,2200.00,2210.00,
人口数:山西:晋城市:常住,千人,2257.415778,3254.276864,57.0462695,-0.027872992,-1.550915015,0.025270608,2170.7,2343.1,2259.55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170.70,2183.10,2189.60,2197.10,2205.40,2214.50,2223.30,2232.30,2239.10,2280.00,2285.53,2291.43,2300.57,2308.90,2315.00,2320.86,2333.00,2343.10
人口数:山西:朔州市:户籍,千人,1488.526176,12030.20562,109.682294,-0.333671302,-1.178539313,0.073685163,1317.5,1640,1507,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.50,1325.90,1335.90,1348.90,1389.40,1463.60,1474.65,,1497.00,1507.00,1517.30,1526.60,1551.70,1573.70,1590.70,,,,,1615.10,1630.00,1640.00,
人口数:山西:朔州市:常住,千人,1712.921364,7725.964339,87.89746492,-1.689829484,1.517651823,0.051314361,1536,1781.2,1744.169,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.00,1544.00,1716.00,1725.62,1734.97,1744.17,1753.90,1762.20,1768.10,1775.98,1781.20
人口数:山西:晋中市:户籍,千人,3166.176471,12010.04066,109.5903311,0.09871939,-1.594432094,0.034612831,3022.8,3320,3179,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022.80,3033.00,3042.40,3047.30,3061.20,3066.30,3100.00,3138.80,3179.00,3200.00,3209.60,3233.00,3250.00,,3305.00,3296.60,3320.00,3320.00,
人口数:山西:晋中市:常住,千人,3318.404,1921.512361,43.83505858,-0.095005875,-1.10548114,0.013209681,3252,3381.576,3320.308,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252.00,3270.03,3286.79,3304.91,3320.31,3335.69,3348.74,3365.60,3381.58
人口数:山西:运城市:户籍,千人,4990.361538,18033.78256,134.2899198,1.09182888,1.325343435,0.026909858,4821.1,5310,4972.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4821.10,,4863.50,4877.80,4913.30,4885.90,4932.00,4972.10,4994.00,5036.20,5036.80,,,,,5102.00,5310.00,5130.00,
人口数:山西:运城市:常住,千人,5084.8655,26424.81999,162.5571284,-0.110615829,-1.144721613,0.031968816,4810.5,5336.023,5085.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810.50,4849.00,4885.00,4919.00,4952.00,4985.00,5017.00,5046.00,5076.00,5095.00,5139.00,5166.77,5194.59,5223.92,5252.30,5275.30,5305.18,5336.02,
人口数:山西:忻州市:户籍,千人,3018.01875,4793.294958,69.23362592,-0.139869375,-1.347166917,0.022940091,2904.8,3125,3015.45,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904.80,2938.30,2924.00,2949.30,2968.20,2978.90,2998.30,2998.10,3032.60,3069.10,3075.50,3101.00,,,3125.00,3065.20,3080.00,3080.00,
人口数:山西:忻州市:常住,千人,3094.095313,2611.183874,51.09974437,-0.166108976,-0.635340081,0.016515246,2999,3172,3093.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2999.00,3019.00,3039.00,3056.70,3072.60,3090.30,3096.70,3070.00,3085.04,3099.32,3114.39,3128.50,3141.00,3155.31,3166.66,3172.00
人口数:山西:临汾市:户籍,千人,4235.211111,14474.93516,120.3118247,-0.442978205,-1.103680856,0.028407515,4011.6,4401,4270.55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4011.60,4050.90,4090.90,4114.00,4151.00,4123.10,4169.50,4269.10,4319.20,4370.40,4373.20,4401.00,4252.00,4272.00,4290.00,4305.90,4340.00,4330.00,
人口数:山西:临汾市:常住,千人,4264.454333,27760.92668,166.6161057,-0.104075794,-1.48773962,0.039070909,4001.3,4500.3,4271.3595,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001.30,4031.50,4061.70,4092.00,4120.51,4147.04,4172.16,4198.02,4221.72,4321.00,4344.99,4367.26,4390.84,4414.60,4435.70,4458.05,4481.50,4500.30
人口数:山西:吕梁市:户籍,千人,3779.026667,25557.99781,159.8686893,-0.757007243,-1.013025666,0.042304197,3497.2,3939,3834.9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497.20,3522.90,3553.70,3618.50,3701.20,3766.30,3810.90,3834.90,3892.00,3937.00,3939.00,3907.00,3874.80,3910.00,3920.00,
人口数:山西:吕梁市:常住,千人,3742.835077,14002.01294,118.3301016,-0.494683291,-1.296508115,0.031615099,3554,3885.6,3771.576,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3554.00,3576.00,3598.00,3617.90,3730.00,3751.85,3771.58,3792.86,3813.10,3832.20,3854.87,3878.90,3885.60
人口数:内蒙古:呼和浩特市:户籍,千人,2220.471522,20285.99171,142.4289005,0.041871909,-1.129055508,0.064143539,1973.7,2458,2208.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.70,2003.70,2043.60,2077.80,2091.70,2118.30,2134.50,2138.90,2147.00,2134.90,2158.10,2208.40,2243.00,2273.70,2295.60,2323.00,2303.00,2339.60,2379.83,2385.83,2409.69,2429.00,2458.00
人口数:内蒙古:呼和浩特市:常住,千人,3017.277778,8123.101944,90.12825275,-0.391102229,-1.217473445,0.029870718,2874,3126,3030.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2874.00,2911.90,2948.80,3001.10,3030.60,3059.60,3088.70,3114.80,3126.00
人口数:内蒙古:包头市:户籍,千人,2134.554545,8588.289264,92.67302339,-0.306567236,-1.249554588,0.043415627,1962.3,2250,2135.05,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.30,1989.20,2011.10,2030.10,2043.50,2061.60,2080.20,2093.30,2102.40,2093.20,2124.10,2146.00,2177.60,2195.90,2198.00,2218.00,2235.00,2250.00,2237.00,2238.60,2237.00,2236.10,
人口数:内蒙古:包头市:常住,千人,2704.376923,22537.74192,150.1257537,-0.390930933,-1.28991433,0.055512141,2458,2889,2731.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458.00,2496.00,2532.00,2572.00,2656.00,2692.90,2731.60,2766.20,2799.00,2829.00,2857.50,2877.70,2889.00
人口数:内蒙古:乌海市:户籍,千人,420.36,1643.791143,40.54369424,1.372073967,4.342446626,0.096449934,351.2,535,416,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.20,382.90,391.00,402.40,397.20,405.90,412.00,416.00,422.30,431.10,433.50,,,,535.00,,,,,444.90,440.00,440.00,
人口数:内蒙古:乌海市:常住,千人,520.4733333,1675.20781,40.92930258,-0.423795438,-1.819150379,0.078638616,459.1,563.3,541.4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.10,465.00,470.10,477.00,482.70,487.60,530.00,541.40,548.40,553.10,554.20,555.80,558.30,561.10,563.30
人口数:内蒙古:赤峰市:户籍,千人,4527.804545,7143.541407,84.51947354,0.025374298,-1.579607928,0.018666767,4414.7,4658,4522.85,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4417.00,4461.00,4414.70,4463.90,4518.00,4420.30,4443.00,4473.00,4415.50,4453.00,4502.10,4527.70,4564.90,4591.90,4577.40,4599.00,4612.00,4643.00,4658.00,4626.30,4630.00,4600.00,
人口数:内蒙古:赤峰市:常住,千人,4332.55,1008.716538,31.76029815,0.96451213,-0.451084913,0.007330625,4299.5,4393,4320.65,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4393.00,4385.30,4376.60,4351.00,4328.00,4338.00,4319.30,4313.00,4306.20,4303.80,4299.50,4305.20,4314.80,4322.00
人口数:内蒙古:通辽市:户籍,千人,3143.515,3235.188711,56.87871931,-0.62092653,-1.070833456,0.018093987,3031.6,3212,3164.25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072.20,3031.60,3054.40,3069.20,3093.00,3109.10,3093.40,3125.10,3162.00,3169.20,3188.60,3187.00,3200.60,3197.70,3212.00,3194.00,3193.70,3189.00,3163.60,3164.90
人口数:内蒙古:通辽市:常住,千人,3117.307692,399.7074359,19.99268456,-0.758747488,-1.131634401,0.006413446,3082.6,3140,3124.8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091.00,3094.60,3090.70,3082.60,3140.00,3136.40,3132.50,3125.70,3124.00,3120.80,3124.80,3128.70,3133.20
人口数:内蒙古:鄂尔多斯市:户籍,千人,1482.139833,9505.123358,97.49422218,-0.224500453,-1.391658061,0.065779368,1328.321,1622.7,1507.8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.32,1344.25,1359.75,1368.70,1378.60,1410.00,1439.90,1467.00,1494.80,1523.80,1542.00,1520.80,1543.40,1559.00,1573.00,1594.00,1608.50,1622.70
人口数:内蒙古:鄂尔多斯市:常住,千人,1832.966667,63441.53095,251.876023,-0.474510477,-1.885684655,0.137414405,1466.6,2078.4,1999.3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.60,1495.00,1515.00,1548.00,1591.00,1625.40,1950.00,1999.30,2004.20,2017.50,2035.00,2045.10,2055.30,2068.70,2078.40
人口数:内蒙古:呼伦贝尔市:户籍,千人,2675.15,2065.06,45.44293124,-1.002539768,-0.304646246,0.016987059,2590,2724.8,2698.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2649.50,2676.50,2697.00,2708.80,2700.00,2699.60,2705.60,2724.80,2717.60,2713.00,2704.00,2664.00,,2659.00,2593.00,2590.00,2600.00,
人口数:内蒙古:呼伦贝尔市:常住,千人,2532.8,40.5175,6.365335812,1.334579013,1.185913346,0.002513162,2526.5,2546,2530.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2546.00,2539.70,2534.70,2531.90,2529.50,2526.50,2527.60,2529.20,2530.10
