"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
国内生产总值:山西:运城市,十亿人民币,74.094107,2006.662623,44.795788,0.021520578,-1.266139709,0.604579633,0.912,150.96,70.722645,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,17.18,19.35,23.05,29.36,36.83,47.08,55.02,61.95,69.14,72.30,82.74,101.68,106.86,114.01,120.17,117.40,122.23,133.63,150.96
国内生产总值:山西:忻州市,十亿人民币,39.979875,895.6884177,29.92805403,0.430199368,-1.09694878,0.748577979,0.677,98.91,33.027785,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,8.34,8.44,9.34,10.94,13.02,16.72,19.45,25.73,31.12,34.93,43.75,55.45,62.09,65.47,68.03,68.12,71.61,87.45,98.91
国内生产总值:山西:临汾市,十亿人民币,76.84594205,2056.204926,45.34539587,-0.158354699,-1.425017707,0.590081853,0.798,144,76.074875,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,17.11,19.24,22.39,29.53,37.59,52.32,58.87,65.81,75.46,76.69,89.01,113.61,122.11,122.39,121.32,116.11,120.52,132.03,144.00
国内生产总值:山西:吕梁市,十亿人民币,81.23150125,1766.389322,42.02843469,-0.248196167,-1.310965053,0.51739084,13.49617,142.03,90.067025,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50,17.96,30.95,40.58,50.77,62.96,61.16,84.55,113.07,123.04,122.86,110.13,95.58,99.53,131.03,142.03
国内生产总值:内蒙古:呼和浩特市,十亿人民币,123.4139712,13469.5028,116.0581872,0.508846525,-1.438414603,0.940397477,3.229,317.359,82.187315,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,,7.85,8.77,11.37,12.80,14.30,15.64,17.91,21.11,31.67,40.62,51.21,74.37,90.01,110.11,131.64,164.40,186.57,217.73,245.87,271.04,289.41,309.05,317.36,274.37,290.35
国内生产总值:内蒙古:包头市,十亿人民币,150.2440374,19566.47938,139.8802323,0.482600941,-1.487376824,0.93102019,4.602,386.763,92.940845,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60,,,12.00,14.22,17.50,19.49,20.72,21.41,22.84,24.86,33.30,45.02,60.83,84.87,101.01,127.72,176.00,216.88,246.08,300.54,320.91,342.48,363.63,372.19,386.76,275.30,295.18
国内生产总值:内蒙古:乌海市,十亿人民币,23.42451288,498.012556,22.31619493,0.525244034,-1.478292918,0.952685549,0.75,60.10187,13.900055,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,1.68,1.80,2.16,2.62,3.06,3.39,3.82,4.39,5.14,6.76,9.14,12.56,15.24,19.00,24.01,31.12,39.11,48.32,53.19,57.51,60.10,55.98,57.22,41.36,49.59
国内生产总值:内蒙古:赤峰市,十亿人民币,73.68238335,4524.299845,67.26291582,0.610828819,-1.320001047,0.912876495,4.426,193.3282872,38.77861,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,,,9.34,10.01,12.50,14.11,14.77,15.39,16.08,17.96,20.54,24.25,32.67,34.76,42.80,59.01,75.24,91.29,108.62,134.72,155.68,168.62,177.84,186.13,193.33,140.68,154.98
国内生产总值:内蒙古:通辽市,十亿人民币,88.3743109,4770.051616,69.06556027,0.306294281,-1.543704552,0.781511726,1.326,194.938179,74.1962,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,13.46,14.88,17.37,20.31,23.82,27.71,32.93,41.30,58.61,74.20,96.14,117.66,144.88,169.32,178.18,188.68,187.73,194.94,122.26,130.16
国内生产总值:内蒙古:鄂尔多斯市,十亿人民币,226.9730865,26050.91183,161.4029486,-0.083249596,-1.794444838,0.711110516,17.18362,441.793,240.2115,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.18,20.48,27.14,38.04,59.48,80.00,115.09,160.30,216.10,264.32,321.85,365.68,395.59,405.55,422.61,441.79,357.98,376.32
国内生产总值:内蒙古:呼伦贝尔市,十亿人民币,81.5710505,3082.660568,55.52171258,0.084026281,-1.598864977,0.680654622,0.441,162.0856349,77.92653,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,16.78,19.04,21.33,26.18,32.41,39.51,50.50,63.27,77.93,93.20,114.53,133.58,143.08,152.22,159.90,162.09,118.59,125.29
国内生产总值:内蒙古:巴彦淖尔市,十亿人民币,58.14804188,753.3101415,27.44649598,-0.361844704,-1.522519755,0.472010666,15.13733,91.538,66.08897,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.14,18.95,21.70,27.82,35.51,43.91,50.99,60.33,71.85,78.33,83.49,86.75,88.74,91.54,74.01,81.31
国内生产总值:内蒙古:乌兰察布市,十亿人民币,57.5916231,751.1395593,27.40692539,-0.248329535,-1.482061779,0.475883886,15.53002,93.887,62.88210484,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.53,18.32,23.02,28.51,34.40,43.47,50.00,56.76,69.00,77.87,83.38,87.37,91.38,93.89,72.12,76.45
国内生产总值:辽宁:沈阳市,十亿人民币,326.6478623,61542.66376,248.0779389,0.408840227,-1.496771998,0.75946598,21.199,727.23051,230.188385,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.20,,,55.63,68.26,77.18,85.11,93.88,101.32,111.91,123.65,140.00,160.34,190.07,208.41,251.96,322.12,386.05,426.85,501.75,591.57,660.26,715.86,709.87,727.23,554.64,578.47,629.24
国内生产总值:辽宁:大连市,十亿人民币,350.3328319,78099.15042,279.4622522,0.454308683,-1.523010134,0.797705002,19.66,773.16363,236.095135,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.66,,,52.81,64.51,73.31,82.90,92.63,100.31,111.08,123.56,140.61,163.26,196.18,215.22,256.97,313.07,385.82,434.95,515.82,615.06,700.28,765.08,765.56,773.16,681.02,698.98,766.85
国内生产总值:辽宁:鞍山市,十亿人民币,124.2994065,6216.162224,78.84264217,0.356970175,-1.25437797,0.634296208,10.965,262.325,107.701215,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.97,,,33.02,34.99,39.50,43.60,48.27,52.50,58.12,64.15,70.90,79.04,100.60,101.80,113.60,134.35,160.79,173.05,212.50,239.88,242.93,262.33,238.59,233.70,146.20,161.31,175.11
国内生产总值:辽宁:抚顺市,十亿人民币,58.77337038,1786.21941,42.26368903,0.518666723,-1.278115054,0.719095889,6.724,134.045,42.40315,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,,,14.14,15.30,16.84,19.29,19.37,20.58,23.22,25.79,28.02,31.48,37.50,39.02,45.78,54.72,66.24,69.86,89.52,111.34,123.64,134.05,127.66,121.65,86.51,94.99,104.88
国内生产总值:辽宁:本溪市,十亿人民币,50.92987462,1610.510903,40.13117121,0.515695983,-1.27494529,0.787969174,4.522,119.366,37.181605,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,,,10.27,11.30,11.17,11.49,12.19,13.33,15.83,17.73,19.35,23.47,29.36,34.33,40.03,48.49,61.09,68.84,86.04,104.46,111.24,119.37,117.12,116.47,76.67,77.71,82.31
国内生产总值:辽宁:丹东市,十亿人民币,47.85935808,1206.836479,34.73955208,0.478669281,-1.335226818,0.725867489,5.809,110.73,35.582435,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81,,,10.83,12.58,14.02,15.19,15.78,16.61,17.29,18.66,20.26,23.29,29.05,32.63,38.53,46.40,56.39,60.75,72.89,88.87,101.54,110.73,102.26,98.49,75.12,78.70,81.67
国内生产总值:辽宁:锦州市,十亿人民币,60.71350769,2123.517887,46.08164371,0.487632894,-1.445915292,0.759001505,6.362,136.3999,42.109265,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36,,,14.02,16.06,16.59,17.96,18.65,18.67,19.59,21.65,24.29,28.17,34.31,38.19,46.02,55.11,69.04,72.73,91.26,111.69,124.27,134.49,136.40,132.73,103.28,107.75,119.24
国内生产总值:辽宁:营口市,十亿人民币,64.55806192,2998.635585,54.75979899,0.503951316,-1.452325626,0.848225572,3.943,154.60811,41.84164,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,,,9.11,10.07,11.45,12.55,14.23,15.45,17.08,19.23,21.76,25.34,31.83,37.96,45.72,57.01,70.36,79.95,100.24,122.47,138.12,151.31,154.61,151.38,115.62,127.05,134.67
国内生产总值:辽宁:阜新市,十亿人民币,24.19973308,402.858839,20.07134373,0.661126161,-1.133191309,0.829403517,2.543,61.512,15.06166,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,5.34,5.77,6.36,6.27,6.85,6.45,6.51,7.03,8.52,10.30,12.71,14.26,15.86,19.35,23.39,28.80,37.89,48.03,56.00,61.51,60.62,52.55,40.78,40.91,44.60
国内生产总值:辽宁:辽阳市,十亿人民币,47.48579923,1213.970903,34.84208522,0.474168613,-1.330102049,0.733736944,4.319,107.999,36.15473,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,,,11.42,11.40,13.24,14.51,14.64,15.47,17.21,18.06,20.20,23.88,29.00,33.01,39.30,46.77,56.66,60.83,73.54,88.87,100.05,108.00,101.46,102.86,66.69,76.29,86.97
国内生产总值:辽宁:盘锦市,十亿人民币,62.60067962,1894.23541,43.52281483,0.467503478,-1.407468797,0.695245085,4.427,135.106,47.52356,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,,,15.45,17.54,20.02,22.60,23.14,25.15,29.91,30.09,30.20,33.80,36.87,44.13,50.91,56.29,67.50,67.69,92.63,111.99,124.50,135.11,130.40,125.65,101.25,108.72,121.66
国内生产总值:辽宁:铁岭市,十亿人民币,40.85098265,1014.946134,31.85821925,0.562641292,-1.11397006,0.779864208,5.775,103.127,29.408155,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78,,,8.89,8.60,9.89,10.42,11.30,11.85,12.65,13.79,15.18,17.65,21.61,26.42,32.39,40.40,53.63,60.57,72.21,87.38,97.53,103.13,86.73,74.09,58.92,59.45,61.66
国内生产总值:辽宁:朝阳市,十亿人民币,40.32243154,1212.954329,34.82749387,0.546207952,-1.433021586,0.863725042,3.615,100.286,23.307905,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,10.69,9.86,10.50,9.31,9.10,8.61,8.20,9.28,10.26,11.98,15.28,21.21,25.40,33.42,44.66,51.81,65.64,81.30,92.06,100.29,99.35,85.47,71.65,76.27,83.14
国内生产总值:辽宁:葫芦岛市,十亿人民币,40.5456688,621.8222589,24.93636419,0.313367218,-1.533846014,0.615019185,10.20714,81.28,34.81105,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21,11.67,12.62,14.08,15.07,15.17,16.03,18.40,20.61,24.00,29.34,29.95,34.81,41.75,45.78,44.56,53.14,65.01,71.93,77.51,72.16,72.02,64.74,71.79,81.28
国内生产总值:吉林:长春市,十亿人民币,258.7458977,48131.39806,219.3886917,0.735179465,-0.826849695,0.847892445,11.122,717.57,170.983065,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12,,,32.62,36.30,48.82,54.12,60.91,70.70,86.10,100.30,115.02,133.80,153.50,167.85,174.12,208.91,256.19,284.86,332.90,400.31,445.66,500.32,534.24,553.00,598.64,649.50,717.57
国内生产总值:吉林:吉林市,十亿人民币,112.2734372,8125.959092,90.14410182,0.543692682,-1.446392125,0.802897854,9.283,261.74061,70.3704,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28,,,18.15,22.89,26.96,28.68,33.08,35.21,40.12,44.64,51.51,60.01,70.37,62.97,72.88,100.80,130.01,150.05,180.06,220.80,243.01,261.74,237.96,239.42,245.35,220.89,
国内生产总值:吉林:四平市,十亿人民币,51.8190508,1803.409873,42.4665736,0.623414747,-1.281502578,0.819516625,4.489,123.32487,33.07059,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,,,10.04,11.66,13.28,14.80,15.78,16.44,15.66,17.94,20.00,23.13,27.94,33.07,38.02,47.52,59.65,65.86,77.96,98.46,112.28,113.77,121.03,123.32,119.38,93.98,
国内生产总值:吉林:辽源市,十亿人民币,27.5532824,725.3538206,26.93239352,0.779068149,-1.087938968,0.977465883,2.129,76.52485,13.708,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,3.65,3.80,4.48,4.91,5.58,6.11,6.71,6.37,6.97,8.16,10.01,13.71,17.16,21.65,27.12,33.62,41.01,50.05,60.51,70.03,69.03,72.66,76.52,66.87,
国内生产总值:吉林:通化市,十亿人民币,41.9218568,1236.802831,35.16820768,0.678673361,-1.22893621,0.838899094,3.62,100.84958,23.36343,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,8.07,8.54,10.27,11.46,12.32,13.04,14.23,15.81,17.41,19.24,21.78,23.36,28.47,35.36,44.73,51.80,62.71,78.02,88.11,100.35,100.85,100.12,94.76,83.61,
国内生产总值:吉林:白山市,十亿人民币,29.55807417,640.5780709,25.30964383,0.621743835,-1.395642398,0.856268365,4.50649,69.66243,17.61913,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,5.15,6.12,6.73,7.39,7.84,8.50,9.36,10.03,10.99,9.92,16.05,19.19,23.75,30.03,35.66,43.32,53.14,64.30,67.36,67.53,66.86,69.66,66.01,
国内生产总值:吉林:松原市,十亿人民币,70.27147167,3851.608518,62.06132868,0.543290573,-1.475320876,0.883165347,7.55284,165.16898,41.961445,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55,9.59,11.93,11.77,13.60,14.82,15.58,17.80,19.53,22.71,28.47,36.56,47.37,60.73,80.67,90.08,110.28,136.10,160.54,165.05,159.63,163.73,165.17,137.25,
