"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售价格:辽宁:营口市,人民币/平方米,2920.333403,1595088.454,1262.968113,-0.138408561,-1.946873111,0.432473947,1242,4354.903981,3150.003755,16,,,,,,,,,,,,,1242.00,1383.00,1430.00,1555.00,1619.00,1847.00,2213.00,2840.00,3460.01,3802.15,4178.97,4354.90,4292.17,4318.78,4125.12,4064.22,
商品房销售价格:辽宁:阜新市,人民币/平方米,2607.450295,1066784.136,1032.852427,-0.10242926,-1.576028726,0.396115864,1181,3913.209352,2612.845395,16,,,,,,,,,,,,,1181.00,1187.00,1219.00,1672.00,1627.00,2033.00,2465.00,2307.00,2760.69,3090.19,3156.47,3806.87,3913.21,3844.85,3748.21,3707.71,
商品房销售价格:辽宁:辽阳市,人民币/平方米,3074.77773,1238585.751,1112.917675,-0.089630883,-1.70897655,0.36195061,1545,4493.524869,3181.353604,16,,,,,,,,,,,,,1574.00,1545.00,1740.00,1937.00,2055.00,2239.00,2637.00,2968.00,3394.71,3663.51,3739.92,4247.67,4419.37,4493.52,4179.05,4363.70,
商品房销售价格:辽宁:盘锦市,人民币/平方米,3007.168983,1238403.265,1112.835687,-0.290136946,-1.797720724,0.370060909,1523,4406.354293,3397.867011,16,,,,,,,,,,,,,1604.00,1523.00,1598.00,1766.00,1814.00,1818.00,3000.00,3281.00,3514.73,3689.11,3938.92,4182.62,4252.76,4406.35,3767.27,3958.93,
商品房销售价格:辽宁:铁岭市,人民币/平方米,2634.844433,1136291.127,1065.969571,0.084244175,-1.593778781,0.404566417,1204,4188.294897,2563.756178,16,,,,,,,,,,,,,1204.00,1296.00,1301.00,1551.00,1861.00,2009.00,2057.00,2325.00,2802.51,2879.64,3307.79,3696.36,4188.29,3899.66,3871.74,3907.51,
商品房销售价格:辽宁:朝阳市,人民币/平方米,2301.345103,795146.8596,891.710076,0.266411117,-1.470352181,0.387473428,1187,3665.019115,2191.307898,16,,,,,,,,,,,,,1212.00,1187.00,1280.00,1411.00,1599.00,1689.00,2062.00,1869.00,2320.62,2463.92,2650.03,3089.63,3374.17,3567.30,3665.02,3381.83,
商品房销售价格:辽宁:葫芦岛市,人民币/平方米,3060.915302,1815599.826,1347.441956,0.05278501,-1.656578428,0.440208834,1402,4983.075035,3045.532637,16,,,,,,,,,,,,,1490.00,1416.00,1402.00,1446.00,1736.00,2224.00,2490.00,2766.00,3518.39,3325.07,4233.82,4583.01,4055.61,4983.08,4420.79,4884.88,
商品房销售价格:吉林:长春市,人民币/平方米,4102.482623,3684110.046,1919.403565,0.243681502,-1.764412622,0.467863911,1780,7017.228184,3489,19,,,,,,,,,,1917.00,1780.00,2282.00,2421.00,2155.00,2260.00,2393.23,2558.39,3249.64,3489.00,4142.00,5177.96,6131.51,5540.20,6025.26,6261.05,6589.39,6557.30,7017.23,
商品房销售价格:吉林:吉林市,人民币/平方米,3007.464009,1820021.283,1349.081644,0.041938035,-1.682100597,0.448577819,1215,5017.162286,3034.185372,16,,,,,,,,,,,,,1215.00,1262.00,1636.00,1625.00,1654.00,2017.00,2238.00,2748.00,3320.37,3991.99,3772.46,4023.48,4343.66,4720.70,4534.61,5017.16,
商品房销售价格:吉林:四平市,人民币/平方米,2395.894716,997969.1799,998.9840739,0.323375106,-1.518195469,0.416956583,1208,3937.197793,2196.853512,16,,,,,,,,,,,,,1208.00,1383.00,2131.00,1324.00,1252.00,1482.00,1674.00,1912.00,2262.71,2581.67,2865.06,3273.78,3937.20,3792.44,3700.30,3555.17,
商品房销售价格:吉林:辽源市,人民币/平方米,2407.178261,1027122.265,1013.470407,0.359894188,-1.423626968,0.421020089,1098,4174.043303,2029.287827,16,,,,,,,,,,,,,1098.00,1399.00,1520.00,1283.00,1452.00,1821.00,1872.00,1846.00,2186.58,2937.03,2767.86,3435.04,3588.18,3421.39,4174.04,3713.73,
商品房销售价格:吉林:通化市,人民币/平方米,2489.856439,1057512.367,1028.354203,0.298499959,-1.459723796,0.413017468,1227,4159.090909,2285.31334,16,,,,,,,,,,,,,1273.00,1227.00,1364.00,1428.00,1685.00,1720.00,1976.00,2188.00,2382.63,3001.06,2849.56,3206.54,3755.53,3829.40,3792.90,4159.09,
商品房销售价格:吉林:白山市,人民币/平方米,2162.239333,508775.2422,713.2848255,-0.144339106,-1.502335039,0.329882458,1102,3128.854081,2186.858407,16,,,,,,,,,,,,,1102.00,1266.00,1127.00,1487.00,1831.00,1686.00,1746.00,2010.00,2363.72,3003.73,2592.83,2715.08,3059.61,2730.48,2746.52,3128.85,
商品房销售价格:吉林:松原市,人民币/平方米,2677.809169,1953370.986,1397.63049,0.18713629,-1.585858101,0.521930579,884,5028.812685,2494.148092,16,,,,,,,,,,,,,952.00,884.00,1429.00,2127.00,1700.00,1229.00,1722.00,1360.00,2861.30,4272.73,3305.56,3853.47,5028.81,4231.85,4072.81,3815.43,
商品房销售价格:吉林:白城市,人民币/平方米,2165.886938,798782.3771,893.7462599,0.850816311,-0.037457532,0.412646775,1076,3993.393889,2041.572826,14,,,,,,,,,,,,,1076.00,,,1297.00,1239.00,1527.00,1835.00,1512.00,1781.48,2341.88,2307.34,2456.58,3049.72,2248.15,3993.39,3657.88,
商品房销售价格:黑龙江:哈尔滨市,人民币/平方米,4224.063792,3905745.541,1976.295914,0.502857684,-1.012030639,0.46786602,1919,8374.357844,3793,19,,,,,,,,,,1919.00,2154.00,2257.00,2336.00,2353.00,2494.00,2700.23,2702.93,3053.44,3793.00,4226.00,5332.77,5548.25,5493.04,6186.85,6194.66,6446.21,6692.47,8374.36,
商品房销售价格:黑龙江:齐齐哈尔市,人民币/平方米,2913.682727,1446328.858,1202.634133,0.034366744,-1.637061509,0.412753977,1352,4597.74313,2936.619718,15,,,,,,,,,,,,,1399.00,1352.00,,1557.00,1602.00,1870.00,2091.00,2765.00,2936.62,3278.73,3383.75,3915.80,4170.51,4307.88,4478.21,4597.74,
商品房销售价格:黑龙江:鸡西市,人民币/平方米,2705.077532,891761.1213,944.3310443,-0.514599884,-1.274542335,0.349095741,1010,3891.735353,3195.723992,15,,,,,,,,,,,,,1379.00,1010.00,,1633.00,1764.00,1981.00,2227.00,2833.00,3286.89,3430.92,3346.04,3319.63,3891.74,3195.72,3615.62,3662.61,
商品房销售价格:黑龙江:鹤岗市,人民币/平方米,2306.484687,821008.0931,906.0949691,-0.168269333,-1.589855464,0.392846731,958,3484.711499,2157.035176,15,,,,,,,,,,,,,958.00,964.00,,1327.00,1501.00,1648.00,1790.00,2086.00,2157.04,3189.39,3058.82,3367.22,3484.71,3236.06,2791.94,3038.09,
