"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
存款:辽宁:大连市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,252064.32,293576.29,345102.67,397483.78,418242.65,530367.05,687477.90,850351.92,939507.97,1076777.79,1195364.66,1215300.00,1386450.00,1470200.00,1414290.00,1399910.00
存款:辽宁:鞍山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,64971.12,75629.43,90310.00,102280.16,115211.37,139759.39,167497.34,190264.24,206396.97,226943.49,253008.89,286090.00,310940.00,323510.00,347080.00,
存款:辽宁:抚顺市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,36454.70,40789.93,47561.34,55445.03,56695.69,65723.13,80213.66,92769.19,104197.33,116170.16,128388.92,135042.18,150630.00,161510.00,173220.00,
存款:辽宁:本溪市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,28753.14,33518.21,37952.00,43516.90,45313.70,52700.55,62467.57,72751.14,85968.51,94440.47,102933.44,111630.00,119430.00,128440.00,139920.00,154350.00
存款:辽宁:丹东市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,34781.55,38909.19,45724.88,50674.25,52212.57,61594.21,76118.54,91940.74,106178.70,124483.75,136299.15,148831.39,167210.00,186820.00,202890.00,215250.00
存款:辽宁:锦州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,39926.07,43963.64,50293.92,57468.75,60450.99,72239.53,84637.65,101140.16,113755.84,129558.39,151723.34,172550.00,208400.00,265530.00,319500.00,396120.00
存款:辽宁:营口市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,27999.22,33072.75,39463.62,45381.57,51140.08,62591.80,82758.75,94618.50,111208.31,129424.93,151067.31,174910.00,233660.00,259830.00,247270.00,288940.00
存款:辽宁:阜新市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,15865.42,18431.23,16121.15,25629.91,27949.58,34487.36,42194.11,50527.26,60706.27,68612.54,80425.87,83750.00,91243.33,100972.98,109910.50,115200.00
存款:辽宁:辽阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,26583.54,31545.69,36589.07,41305.23,43479.60,54125.19,69215.66,82943.17,97560.15,115505.23,132212.59,140818.56,166370.00,222970.00,256520.00,307730.00
存款:辽宁:盘锦市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,31974.20,35921.52,42467.84,48876.83,52179.89,59454.97,72735.84,83983.41,95263.52,110790.89,123762.47,130672.06,146660.00,167070.00,167580.00,178610.00
存款:辽宁:铁岭市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,20914.00,23823.13,30208.52,33797.41,35957.84,44855.92,56552.50,62492.88,73551.91,83648.31,92285.33,102481.35,,,,
