"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:住宅:内蒙古:呼和浩特市,百万人民币,13574.84739,207127416.7,14391.92192,0.79929433,-0.824793682,1.060190329,256.3,41007.48,9647.7,23,,,,,,,256.30,570.73,1105.95,750.45,899.20,781.21,1171.21,1237.72,1516.40,2319.11,7054.62,9647.70,13949.40,12743.57,19263.40,25795.34,30219.27,39213.33,41007.48,35635.27,37069.21,17985.19,12029.43
房地产开发投资:住宅:内蒙古:包头市,百万人民币,7290.565652,35307885.44,5942.043877,0.09814157,-1.846955415,0.815031941,692.41,16824.73,6823.32,23,,,,,,,840.27,945.16,1234.72,828.60,1111.75,1324.83,692.41,1174.04,2015.52,2019.54,4779.18,6823.32,11616.65,11218.50,14116.21,16824.73,10863.98,14235.93,13272.32,13977.06,12353.09,11665.20,13750.00
房地产开发投资:住宅:内蒙古:乌海市,百万人民币,1277.262727,1234117.766,1110.908532,0.340521146,-1.489259777,0.869757261,95.48,3279.5,1123.805,22,,,,,,,95.48,113.15,128.52,116.86,173.30,138.33,195.31,288.77,342.79,593.30,1141.83,1647.00,2501.00,1822.37,2423.74,2680.32,2820.44,3279.50,2672.66,2126.94,1692.39,1105.78,
房地产开发投资:住宅:内蒙古:赤峰市,百万人民币,3929.531818,14010422.52,3743.049895,0.561236442,-1.4370981,0.952543476,335.52,10118.97,2522.54,22,,,,,,,370.57,446.45,407.67,455.09,724.50,957.19,335.52,454.72,886.39,1254.71,2305.90,2981.00,2739.18,4383.88,6827.38,9959.69,8884.79,9448.28,8039.80,6125.29,8342.73,10118.97,
房地产开发投资:住宅:内蒙古:通辽市,百万人民币,2521.745789,4498803.059,2121.038203,0.853376062,0.459815086,0.841099135,296.8,7870.84,2142.4,19,,,,,,,,,,360.66,427.93,709.36,334.47,306.33,296.80,674.53,1533.66,2661.00,3414.04,1982.29,4337.80,7870.84,3115.66,4898.72,5133.17,2142.40,3683.44,4030.07,
房地产开发投资:住宅:内蒙古:鄂尔多斯市,百万人民币,6644.755882,38183908.29,6179.31293,1.186701371,1.462133246,0.929953341,272.47,22702.98,5413.77,17,,,,,,,,,,,,379.88,272.47,364.26,382.46,1403.65,3174.52,6325.88,10596.37,11542.30,15861.33,22702.98,9187.46,10131.26,6451.63,4476.50,4294.13,5413.77,
房地产开发投资:住宅:内蒙古:呼伦贝尔市,百万人民币,3729.194118,6946509.424,2635.623157,0.148377526,-1.491576646,0.70675408,361.8,7625.37,3295.63,17,,,,,,,,,,,,1139.01,361.80,377.18,391.76,1045.43,2005.06,2779.53,3984.63,3295.63,2992.56,6943.11,6580.65,7146.04,7023.00,4570.58,5134.96,7625.37,
房地产开发投资:住宅:内蒙古:巴彦淖尔市,百万人民币,2743.28375,2535919.302,1592.457002,-0.00055889,-1.367576531,0.580492996,323.23,5099.59,2587.735,16,,,,,,,,,,,,,,455.50,323.23,896.96,1558.58,1491.68,2782.00,4536.41,4774.31,5099.59,4288.70,4350.42,2938.26,1917.13,2126.30,2393.47,3960.00
房地产开发投资:住宅:内蒙古:乌兰察布市,百万人民币,1676.2,928777.1164,963.7308319,0.009915535,-0.323926651,0.574949786,181.48,3307.43,1698.59,15,,,,,,,,,,,,,,181.48,256.50,295.28,1419.05,1698.59,2176.51,2099.67,3307.43,3286.15,2423.37,2034.94,1788.98,1486.00,1078.80,1610.25,
房地产开发投资:住宅:辽宁:沈阳市,百万人民币,56089.61391,2525533552,50254.68687,0.608377816,-0.841318616,0.895971346,3212.94,157457.99,49038.34,23,,,,,,,3212.94,3613.47,3678.66,3549.15,4588.61,5984.41,8312.53,13061.95,23330.47,30928.34,39709.36,55890.92,72949.50,80211.59,100433.86,126279.32,133143.08,157457.99,141634.06,93497.24,49038.34,62045.33,77510.00
房地产开发投资:住宅:辽宁:大连市,百万人民币,38454.85091,1465560061,38282.63394,1.022595516,-0.010319367,0.99552158,655.54,125797,28165.915,22,,,,,,,758.69,655.54,754.82,4088.87,7403.49,8139.02,8984.93,10357.36,13992.32,16355.26,24201.78,32130.05,40208.29,47724.14,57565.48,86968.83,105540.73,125797.00,106470.27,68218.07,39246.58,40445.20,
房地产开发投资:住宅:辽宁:鞍山市,百万人民币,8850.053182,86906785.58,9322.380897,1.080796335,0.072714298,1.053370043,528.09,30637.27,3110.165,22,,,,,,,528.09,1648.23,1737.33,1882.98,2195.09,1905.16,1613.92,1286.13,1482.30,1508.89,2018.21,4025.24,8161.24,11323.83,15344.15,23419.21,26970.96,30637.27,18514.24,16426.39,10778.26,11294.05,
房地产开发投资:住宅:辽宁:抚顺市,百万人民币,3507.667273,10014191.51,3164.52074,0.986847404,-0.28481255,0.902172439,412.02,10337.28,2229.055,22,,,,,,,412.02,1110.08,899.57,822.90,813.62,1067.39,691.73,1134.05,909.28,1342.74,1997.87,2460.24,3415.99,4419.52,5447.73,8703.98,9080.38,10337.28,8616.38,5312.12,4218.70,3955.11,
房地产开发投资:住宅:辽宁:本溪市,百万人民币,2846.238182,7548477.699,2747.449308,1.295012803,0.601779692,0.965291424,430.67,9241.25,2174.88,22,,,,,,,430.67,543.99,550.61,615.94,680.09,789.13,790.83,824.24,785.94,1526.49,2476.52,2414.83,2772.54,3484.94,3056.66,5084.84,7915.54,9241.25,8507.12,5775.31,2138.38,2211.38,
房地产开发投资:住宅:辽宁:丹东市,百万人民币,5406.119091,27623128.96,5255.771015,1.021147835,0.387064347,0.972189278,139.22,18468.17,4359.515,22,,,,,,,139.22,173.19,180.64,271.51,,1501.96,872.11,933.97,1190.73,1879.26,2824.74,3742.82,4976.21,7606.71,9649.23,12566.72,15157.26,18468.17,10839.55,7256.41,6247.60,6876.61,5580.00
房地产开发投资:住宅:辽宁:锦州市,百万人民币,4477.915,22996666.86,4795.484007,1.102811587,0.251490236,1.070918945,270.81,16244.64,1955.045,22,,,,,,,336.10,283.81,1095.14,942.53,432.93,1643.18,1133.81,1202.33,270.81,615.07,986.17,2266.91,2913.82,4092.54,6936.75,9036.85,10152.05,13813.43,16244.64,8939.08,8524.57,6651.61,
房地产开发投资:住宅:辽宁:营口市,百万人民币,6719.301818,59447550.14,7710.223741,1.316401835,0.707730903,1.147473941,90.97,24216.99,2590.46,22,,,,,,,90.97,265.34,631.75,1027.72,924.86,1056.79,912.71,1069.24,1890.20,2896.53,2205.22,2284.39,5013.86,9618.15,13662.30,20362.69,24044.58,24216.99,11674.78,8128.00,6769.87,9077.70,
房地产开发投资:住宅:辽宁:阜新市,百万人民币,1971.218182,5664581.86,2380.038206,1.945548994,2.951610473,1.207394609,157.68,8844.16,889.79,22,,,,,,,157.68,582.05,487.53,598.07,244.67,597.79,822.52,677.81,639.35,851.27,736.32,1150.66,928.31,1623.06,2429.85,3852.23,6203.43,8844.16,7003.99,2367.62,1165.32,1403.11,
房地产开发投资:住宅:辽宁:辽阳市,百万人民币,2745.420455,9588432.789,3096.519464,1.209955019,0.132600064,1.127885333,207.7,9314.7,1475.38,22,,,,,,,207.70,573.18,215.57,261.37,697.49,453.92,394.60,249.90,400.63,603.48,1017.89,1932.87,2218.68,2605.86,4099.75,8290.97,9314.70,9106.75,7359.42,4859.89,2303.03,3231.60,
房地产开发投资:住宅:辽宁:盘锦市,百万人民币,4953.772273,34091502.61,5838.792907,1.352083067,0.818172964,1.178655898,474.91,19160.11,1355.07,22,,,,,,,489.34,485.33,562.70,748.98,815.42,474.91,909.06,787.66,1105.41,923.75,1217.36,1492.78,3500.16,4827.68,6671.00,7947.19,11982.44,13893.40,19160.11,17599.69,6776.24,6612.38,
房地产开发投资:住宅:辽宁:铁岭市,百万人民币,5247.401364,37124001.63,6092.946876,1.202528373,0.211593075,1.161136047,218.79,19418.22,2229.44,22,,,,,,,218.79,264.25,693.81,1219.37,691.07,825.86,709.40,753.87,657.58,773.84,1727.47,2731.41,4647.32,7810.89,12908.98,15014.17,17408.72,19418.22,10402.67,8675.19,4245.15,3644.80,
房地产开发投资:住宅:辽宁:朝阳市,百万人民币,3205.445455,10444331.93,3231.769165,0.913181632,-0.435131307,1.008212185,187.86,10422.28,1864.8,22,,,,,,,187.86,294.00,558.96,749.06,502.71,596.31,466.29,740.55,670.93,430.59,1589.32,2140.28,3203.62,4583.03,5540.83,7250.41,8201.62,10422.28,8720.65,6627.16,3339.64,3703.70,
房地产开发投资:住宅:辽宁:葫芦岛市,百万人民币,3914.563478,15591781.17,3948.642952,1.30039357,1.222417932,1.008705817,377.13,14845.09,1925.52,23,,,,,,,414.80,377.13,677.04,840.82,1067.22,1166.70,981.60,1346.49,848.53,876.44,1187.31,1925.52,2646.28,3460.07,4388.20,6454.74,11079.33,14845.09,9283.34,6649.35,5750.49,6238.47,7530.00
房地产开发投资:住宅:吉林:长春市,百万人民币,21234.43182,343409774,18531.31873,0.23233709,-1.730964945,0.872701417,823.01,50253.11,16828.155,22,,,,,,,826.13,2108.75,823.01,1570.64,1907.61,3444.72,3445.29,4820.72,6442.00,8538.60,13274.57,20381.74,28979.35,34739.17,42805.03,50253.11,49321.89,43709.23,36054.81,35905.49,40145.49,37660.15,
房地产开发投资:住宅:吉林:吉林市,百万人民币,6231.056364,32587803.02,5708.572765,0.902308662,-0.221536795,0.916148472,493.19,18450.6,4409.075,22,,,,,,,493.19,597.89,655.28,747.92,496.59,2306.12,2060.33,2264.28,2236.90,2281.68,3858.13,5991.84,7803.99,8518.76,11424.31,16440.79,18450.60,17099.75,9927.64,8915.20,9552.03,4960.02,
房地产开发投资:住宅:吉林:四平市,百万人民币,1742.180909,2880331.546,1697.153955,0.666219113,-1.023752454,0.974154834,113.92,4826.03,1264.55,22,,,,,,,140.03,160.92,192.38,592.06,129.20,440.58,316.48,209.90,113.92,304.96,553.13,1937.04,2049.80,2178.92,2303.33,4826.03,4794.00,4087.35,4246.62,2189.91,2680.97,3880.45,
房地产开发投资:住宅:吉林:辽源市,百万人民币,1282.959091,1535384.071,1239.106158,0.67329398,-0.893859967,0.965818916,14.69,3605.55,1046.085,22,,,,,,,14.69,25.09,37.63,27.48,21.38,212.82,421.93,327.23,298.58,497.41,1134.18,2194.04,3023.47,3155.23,1895.50,2407.27,3605.55,3554.18,1785.61,1378.26,957.99,1249.58,
房地产开发投资:住宅:吉林:通化市,百万人民币,3145.497727,7827244.634,2797.721329,0.227732781,-1.643614772,0.889436767,83.85,8005.53,3274.68,22,,,,,,,83.85,192.35,184.63,244.78,269.13,643.07,354.66,446.62,579.81,962.41,2438.23,4111.13,4538.16,6191.10,6141.61,6742.91,8005.53,6246.44,6740.96,4378.60,5028.97,4676.00,
房地产开发投资:住宅:吉林:白山市,百万人民币,850.0345455,582716.4979,763.3586955,1.556116965,2.191165853,0.898032556,118.19,2825.35,609.45,22,,,,,,,126.49,218.18,387.74,340.93,349.20,356.86,118.19,253.54,239.71,334.41,486.54,881.90,1336.61,1068.48,732.36,1403.81,2767.23,2825.35,1500.26,1040.94,1054.84,877.19,
房地产开发投资:住宅:吉林:松原市,百万人民币,2142.022273,5054397.074,2248.198629,1.02035373,-0.219800166,1.049568278,102.88,7195.99,1053.325,22,,,,,,,218.56,296.63,426.03,596.32,987.61,973.62,203.08,230.58,102.88,142.14,409.18,1119.04,2210.83,2087.52,4130.93,5543.74,5385.71,7195.99,6229.47,3829.32,2622.00,2183.31,
房地产开发投资:住宅:吉林:白城市,百万人民币,736.1836364,492658.295,701.8962138,1.526903521,1.368287274,0.953425449,172.26,2576.26,489.425,22,,,,,,,193.56,180.15,172.26,290.09,271.46,681.93,288.50,232.79,186.33,211.40,358.98,618.82,617.00,453.45,525.40,737.82,884.48,995.71,2129.27,1692.26,1898.12,2576.26,
房地产开发投资:住宅:黑龙江:哈尔滨市,百万人民币,20249.34227,344071463.4,18549.16342,0.81327106,-0.818635049,0.916037823,2991.44,58183.35,11548.39,22,,,,,,,3539.09,4032.61,4750.84,2991.44,4382.55,5796.12,4330.75,5009.47,6439.59,7678.76,11091.74,12005.04,13363.28,22061.64,28856.16,42148.91,53011.45,58183.35,48929.71,40954.24,34843.93,31084.86,
房地产开发投资:住宅:黑龙江:齐齐哈尔市,百万人民币,3246.264286,9129205.207,3021.457464,1.139512095,-0.004655162,0.93074907,656.28,9756.51,1790.11,21,,,,,,,714.60,656.28,824.11,947.76,930.27,1098.47,761.95,1366.78,1790.11,1829.31,1392.67,1370.09,2101.10,3576.39,4751.90,,8580.18,9256.32,9756.51,6191.24,5873.04,4402.47,
房地产开发投资:住宅:黑龙江:鸡西市,百万人民币,943.8427273,764664.221,874.4508111,0.678638265,-1.006964802,0.926479365,57.91,2752.75,531.2,22,,,,,,,119.17,110.29,273.79,371.30,343.93,262.61,57.91,125.59,115.95,271.27,292.90,691.10,699.15,1750.15,2210.12,2752.75,2328.38,2005.00,1549.63,1474.66,1204.28,1754.61,
房地产开发投资:住宅:黑龙江:鹤岗市,百万人民币,478.985,70479.8775,265.4804654,0.821745028,-0.407061744,0.554256324,184.09,1032.02,390.56,22,,,,,,,184.09,189.87,236.72,247.01,321.64,281.46,255.39,379.40,379.96,401.16,469.43,666.94,782.36,579.81,604.69,959.55,952.54,1032.02,595.64,223.05,238.40,556.54,
