"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
常住人口数:陕西:商洛市,千人,2364.784,443.83878110000006,21.0674816,0.035263813,-1.7862715219999998,0.00890884,2336.2,2394.8,2364.55,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384.5,2389.6,2394.8,2342.91,2336.2,2341.9,2346.1,2350.8,2357.4,2371.7,2381.3,2380.2
常住人口数:甘肃:兰州市,千人,3558.0769229999996,34061.10692,184.5565142,-0.780716011,-1.3145787709999999,0.051869737,3270.1,3753.6,3630.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270.1,3294.3,3310.1,3321.8,3619.0,3620.9,3630.5,3641.6,3664.9,3693.1,3705.5,3729.6,3753.6
常住人口数:甘肃:嘉峪关市,千人,240.8614444,56.30310378,7.503539417000001,0.241482682,-1.595712405,0.031152929,231.85299999999998,252.0,241.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.85,233.2,234.3,235.5,241.3,243.9,245.9,249.8,252.0
常住人口数:甘肃:金昌市,千人,469.16923080000004,8.973974359,2.995659253,0.59100055,0.6747326,0.006385029,464.8,475.7,469.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.5,470.2,472.9,475.7,464.8,465.9,467.4,468.6,470.1,470.5,469.8,469.2,468.6
常住人口数:甘肃:白银市,千人,1728.835714,330.0409341,18.16702876,0.314226787,-1.72204207,0.010508245,1708.3,1757.2,1724.25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.5,1746.9,1750.1,1751.2,1757.2,1710.0,1713.3,1719.2,1712.2,1708.3,1709.9,1716.4,1729.3,1734.2
常住人口数:甘肃:天水市,千人,3305.377778,896.8994444,29.94827949,0.380965445,-0.869140424,0.009060471,3266.0,3354.9,3303.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266.0,3274.7,3282.2,3293.0,3303.1,3311.7,3323.0,3339.8,3354.9
常住人口数:甘肃:武威市,千人,1849.407143,1840.042253,42.89571369,0.701501877,-1.6000863669999998,0.023194305,1810.2,1918.3,1823.45,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.8,1895.2,1901.6,1911.4,1918.3,1817.0,1819.7,1821.6,1810.2,1813.6,1816.4,1819.8,1825.3,1827.8
常住人口数:甘肃:张掖市,千人,1235.446154,1020.396026,31.94363827,0.700164387,-1.2646467670000001,0.025855952999999997,1201.0,1288.1,1224.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271.5,1275.5,1281.6,1288.1,1201.0,1204.6,1207.6,1210.5,1213.3,1219.8,1224.2,1229.3,1233.8
常住人口数:甘肃:平凉市,千人,2124.2615379999997,2511.222564,50.11209998,0.7090166940000001,-1.3642374240000001,0.023590363,2070.0,2201.5,2103.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187.2,2190.3,2195.8,2201.5,2070.0,2076.7,2081.9,2086.7,2092.3,2098.0,2103.1,2112.8,2119.1
常住人口数:甘肃:酒泉市,千人,1052.376471,4490.380662,67.01030265,-0.220661952,-1.990293268,0.063675219,962.0,1127.0,1097.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,966.2,971.7,977.6,982.9,990.3,1013.2,1018.8,1097.0,1100.7,1104.4,1108.3,1111.9,1115.4,1119.4,1123.6,1127.0
常住人口数:甘肃:庆阳市,千人,2302.683333,16567.88879,128.7163113,1.268411201,-0.388186174,0.055898399,2214.0,2521.6,2236.2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508.9,2512.7,2521.6,,2214.0,2214.8,2218.4,2222.7,2223.5,2230.5,2241.9,2256.6,2266.6
常住人口数:甘肃:定西市,千人,2828.1642859999997,7962.8378569999995,89.23473459,0.200261095,-1.5011632719999999,0.031552175,2701.0,2944.1,2799.1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2944.1,2926.6,2930.8,2935.1,2941.3,2701.0,2705.1,2769.2,2770.7,2772.2,2778.3,2789.8,2808.4,2821.7
常住人口数:甘肃:陇南市,千人,2599.192857,549.4099451000001,23.43949541,-0.292313975,-1.273426508,0.00901799,2560.9,2634.3,2606.55,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2609.0,2610.2,2614.4,2617.9,2622.1,2570.0,2560.9,2569.5,2575.2,2587.1,2590.9,2604.1,2623.1,2634.3
常住人口数:青海:西宁市,千人,2195.65,13337.10029,115.48636409999999,-0.157627244,-1.101300079,0.052597802,2002.0,2371.1,2206.85,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,2024.6,2049.7,2069.6,2099.0,2127.3,2153.6,2177.9,2205.0,2208.7,2228.0,2247.4,2267.6,2290.7,2310.8,2333.7,2355.0,2371.1
常住人口数:宁夏:银川市,千人,2007.7100829999997,50695.76256,225.15719520000002,-0.912418597,-0.640364841,0.112146269,1617.1,2250.56,2064.518,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617.1,1654.3,1701.8,2004.46,2025.74,2046.34,2082.7,2128.94,2164.1,2191.1,2225.39,2250.56
常住人口数:宁夏:石嘴山市,千人,762.7282727,955.1887583999999,30.90612817,0.22284416199999998,-1.873485795,0.040520496,727.005,804.442,759.311,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.4,734.4,,727.01,734.07,741.59,759.31,772.68,788.01,795.13,802.98,804.44
常住人口数:宁夏:吴忠市,千人,1350.475889,2327.671288,48.24594582,-0.089235453,-1.5140657069999999,0.035725144,1282.132,1415.3870000000002,1352.942,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.13,1294.8,1312.46,1331.03,1352.94,1373.2,1388.6,1403.74,1415.39
常住人口数:宁夏:固原市,千人,1235.4227779999999,249.5910259,15.79845011,0.371623521,0.111436676,0.01278789,1211.8,1264.281,1233.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.2,1247.06,1264.28,1244.08,1227.37,1211.8,1220.4,1228.24,1242.38
常住人口数:宁夏:中卫市,千人,1129.1557779999998,886.0489689,29.76657469,-0.354998077,-1.160088816,0.026361796,1082.757,1168.358,1133.452,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.76,1092.88,1107.24,1124.83,1133.45,1141.6,1153.76,1157.53,1168.36
常住人口数:新疆:乌鲁木齐市,千人,3405.0625,26924.02554,164.0854215,-1.0597426540000001,-0.34014009,0.048188667000000004,3113.0,3550.0,3482.9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3113.0,3212.1,3350.0,3460.0,3530.0,3550.0,3519.6,,3505.8
常住人口数:新疆:克拉玛依市,千人,359.3340526,2915.9721640000002,53.99974226,-0.090617961,-1.142029591,0.150277275,276.3,449.08099999999996,375.789,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.3,284.26,290.04,306.04,305.77,297.38,323.28,355.38,386.22,393.48,375.1,378.2,375.79,379.24,389.79,401.47,417.75,442.77,449.08
