"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售面积:住宅:甘肃:武威市,千平方米,168.5575385,7648.798904,87.45741195,-0.081625266,-0.577718559,0.518857909,9,305.436,166.8,13,,,,,,,,,,,,,,,166.80,187.20,234.60,62.30,108.00,9.00,120.57,265.95,280.73,186.35,115.09,149.21,305.44,
商品房销售面积:住宅:甘肃:张掖市,千平方米,603.2583846,98727.71171,314.209662,-0.011011741,-1.460972978,0.520854198,99.8,1059.516,606.662,13,,,,,,,,,,,,,,,99.80,261.30,370.00,350.20,343.10,420.00,606.66,718.42,902.03,1059.52,873.94,994.96,842.43,
商品房销售面积:住宅:甘肃:平凉市,千平方米,515.0645714,119225.3746,345.2902759,0.202105902,-1.36780505,0.670382502,91.3,1119.4,542.4225,14,,,,,,,,,,,,,,,91.30,186.80,171.30,137.70,539.00,124.00,309.11,668.05,853.08,545.85,709.25,901.14,854.93,1119.40
商品房销售面积:住宅:甘肃:酒泉市,千平方米,691.1526154,151557.6006,389.303995,0.267590575,-1.762439049,0.563267774,245,1241.932,667.89,13,,,,,,,,,,,,,,,245.00,345.10,268.30,313.50,373.90,399.00,667.89,872.85,1215.59,1241.93,1107.46,1132.71,801.76,
商品房销售面积:住宅:甘肃:庆阳市,千平方米,371.0315385,34986.07327,187.0456449,0.856691136,-0.308314178,0.504123304,162.5,752.928,297.5,13,,,,,,,,,,,,,,,162.50,280.80,168.30,187.70,297.50,333.00,340.34,294.28,752.93,552.67,547.39,285.04,620.99,
商品房销售面积:住宅:甘肃:定西市,千平方米,448.8333077,73618.58817,271.3274556,0.382357355,-0.768933212,0.604517203,85.3,961.448,499.122,13,,,,,,,,,,,,,,,85.30,196.10,306.50,123.80,273.10,228.00,573.62,499.12,508.11,641.38,634.91,803.45,961.45,
商品房销售面积:住宅:甘肃:陇南市,千平方米,149.112,24604.37809,156.8578276,1.166187894,-0.102057325,1.051946373,19,460.224,74.9,13,,,,,,,,,,,,,,,32.90,31.80,38.20,19.00,74.90,41.00,40.93,89.30,140.15,228.36,321.88,419.81,460.22,
商品房销售面积:住宅:青海:西宁市,千平方米,1486.599368,1007627.457,1003.806484,0.249822875,-1.508342129,0.675236722,221.586,3051.1,1330.488,19,,,,,,,,,257.10,278.87,221.59,409.02,507.06,636.85,994.64,984.41,1330.49,1036.38,1480.81,2067.79,2502.69,1594.90,2720.40,2643.80,2606.50,2921.00,3051.10,
商品房销售面积:住宅:宁夏:银川市,千平方米,3215.90915,3511052.972,1873.780396,-0.123778787,-1.452203535,0.582659618,485.564,6140.135,3391.0745,20,,,,,,,,,485.56,620.59,675.41,696.02,1359.17,1830.88,2223.46,2122.32,2941.96,2693.86,4429.74,4979.80,3840.19,3883.35,5430.87,6140.14,4544.62,4928.38,5199.87,5292.00
商品房销售面积:住宅:宁夏:石嘴山市,千平方米,722.9993077,76502.21489,276.5903377,0.316868629,-0.765417574,0.382559616,290.9,1212.687,691,13,,,,,,,,,,,,,,,290.90,443.20,550.40,719.00,691.00,1108.00,991.13,914.45,1212.69,833.09,502.18,474.45,668.50,
商品房销售面积:住宅:宁夏:吴忠市,千平方米,899.8422143,130615.8733,361.408181,-0.107060652,-0.995986317,0.401635059,323.9,1425.152,923.8545,14,,,,,,,,,,,,,,,323.90,421.70,463.10,540.40,967.00,1014.00,880.32,953.42,1184.26,894.29,807.95,1306.29,1425.15,1416.00
商品房销售面积:住宅:宁夏:固原市,千平方米,534.1547143,95465.42483,308.9747964,0.328043555,-0.561443052,0.578436899,83.5,1129.4,534.5425,14,,,,,,,,,,,,,,,83.50,147.60,205.10,285.00,330.00,521.00,467.15,594.16,661.35,867.79,548.09,928.43,709.61,1129.40
商品房销售面积:住宅:宁夏:中卫市,千平方米,588.7379286,58532.36997,241.9346399,-0.264883513,-1.347180996,0.41093775,235.3,963,671.4965,14,,,,,,,,,,,,,,,269.80,235.30,321.70,294.40,363.00,963.00,872.49,730.29,793.44,658.44,678.34,664.65,699.68,697.80
商品房销售面积:住宅:新疆:乌鲁木齐市,千平方米,3317.860941,2017510.87,1420.391098,-0.202166809,-1.028241814,0.428104469,634.076,5380,3636.5,17,,,,,,,,,634.08,1406.86,1902.25,2295.16,2714.38,2224.95,2250.58,3819.03,4680.80,2650.59,5055.67,4053.00,4361.50,3636.50,5153.10,4185.20,,,5380.00,
商品房销售面积:住宅:新疆:克拉玛依市,千平方米,711.2142857,245898.689,495.8817289,0.94029296,0.986389894,0.69723252,43,1869.8,601.55,14,,,,,,,,,,,,,,,808.20,441.40,575.00,730.50,43.00,555.00,476.50,628.10,1869.80,1366.50,1084.00,1012.00,231.00,136.00
