"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:内蒙古:呼伦贝尔市,百万人民币,5739.785,16128401.84,4016.018157,0.064694278,-1.579647985,0.699680939,675.44,11632.88,5277.795,18,,,,,,,,,,,,,,,,,,1005.24,704.41,733.46,675.44,1542.01,2196.50,4388.46,5577.00,4237.42,4978.59,11046.32,9074.52,10797.76,10291.00,6694.27,8775.85,11632.88,8965.00
房地产开发投资:内蒙古:巴彦淖尔市,百万人民币,3557.455,4562374.14,2135.971475,0.065607167,-1.233867545,0.600421221,416.49,6950.38,3254.76,16,,,,,,,,,,,,,,,,,,,,545.87,416.49,1090.55,1723.02,1721.33,3223.00,5094.81,5620.60,6950.38,6642.08,5829.18,4390.32,2576.37,2958.76,3286.52,4850.00
房地产开发投资:内蒙古:乌兰察布市,百万人民币,2153.798,1385706.637,1177.160412,-0.069986802,-0.255700457,0.546550982,258.14,4402.19,2304.24,15,,,,,,,,,,,,,,,,,,,,258.14,394.30,485.00,1550.14,2013.35,2550.83,2362.06,3503.51,4402.19,3199.00,3096.91,2515.99,2304.24,1585.28,2086.03,
房地产开发投资:辽宁:沈阳市,百万人民币,77841.64435,5004683577,70743.78826,0.617957224,-0.857539028,0.908816725,2877.68,218401.29,70967.06,23,,,,,,,,,,,,,3150.85,2877.68,3563.70,5175.19,6403.95,7812.16,11608.32,17732.83,34262.03,41357.10,53829.14,73036.37,101091.45,118870.07,145007.94,168472.42,194296.42,218401.29,197581.82,133766.32,70967.06,81423.71,99670.00
房地产开发投资:辽宁:大连市,百万人民币,52102.21727,2490827011,49908.18581,1.132608613,0.299292585,0.957889864,6285.75,171035.85,37253.3,22,,,,,,,,,,,,,6420.52,6423.34,6285.75,6757.50,10686.54,11549.56,12520.30,15113.63,20878.55,26533.76,33723.48,40783.12,49581.60,57894.21,76802.02,110746.26,139652.04,171035.85,142933.53,89745.95,53517.42,56663.85,
房地产开发投资:辽宁:鞍山市,百万人民币,12302.65955,187071287.6,13677.40062,1.127209982,0.292078259,1.111743405,901.47,45590.99,4073.06,22,,,,,,,,,,,,,925.32,1021.28,901.47,1014.24,1601.66,1848.12,2159.98,1925.73,2234.25,2765.16,3145.03,5001.09,10715.99,17960.60,23585.87,33262.20,38477.45,45590.99,25295.23,20608.41,14958.45,15659.99,
房地产开发投资:辽宁:抚顺市,百万人民币,4743.852609,20952720.77,4577.414201,0.957692638,-0.260440281,0.964914929,415.29,14954.2,2832.67,23,,,,,,,,,,,,,415.29,698.96,578.54,515.32,645.00,1015.82,983.64,1367.49,1141.31,1672.88,2365.46,2832.67,3999.75,6427.03,8482.93,11273.65,12970.02,14954.20,12485.94,7743.84,5656.71,5482.16,5400.00
房地产开发投资:辽宁:本溪市,百万人民币,4000.756957,14315263.78,3783.551742,1.164096092,0.457538778,0.94570897,256.26,13270.49,3219.73,23,,,,,,,,,,,,,256.26,499.84,506.07,544.27,942.71,1069.86,1157.65,1243.16,1081.77,1915.10,3219.73,3258.17,3845.12,4651.11,5728.49,8312.47,10441.35,13270.49,11260.02,7639.66,2830.64,4033.47,4310.00
房地产开发投资:辽宁:丹东市,百万人民币,6662.286957,47315988.98,6878.66186,1.308765662,1.358444403,1.032477572,362.12,25628.33,4547.23,23,,,,,,,,,,,,,462.66,390.67,362.12,583.29,984.73,1288.98,1235.83,1327.64,1720.16,2411.08,3444.83,4547.23,5857.70,8841.27,11500.99,15729.29,19830.21,25628.33,14112.56,8553.24,8005.11,8664.68,7750.00
房地产开发投资:辽宁:锦州市,百万人民币,5797.584091,39312163.61,6269.941276,1.048515951,-0.034276565,1.081474831,460.12,20118.21,2201.79,22,,,,,,,,,,,,,548.88,482.49,541.75,847.01,940.89,1439.93,1474.09,1558.34,460.12,942.87,1600.23,2803.35,3551.26,4949.03,9253.83,11449.60,13809.29,18799.92,20118.21,11403.06,10426.17,10146.53,
房地产开发投资:辽宁:营口市,百万人民币,8655.849091,98294347.06,9914.350562,1.294049721,0.586164322,1.145393185,286.68,30747.37,2904.495,22,,,,,,,,,,,,,286.68,551.38,573.78,948.03,1542.25,2125.60,1462.15,1469.33,2368.56,3289.06,2496.43,2519.93,5553.91,11347.14,17907.55,26605.98,30696.83,30747.37,15456.06,10492.99,9561.06,12426.61,
房地产开发投资:辽宁:阜新市,百万人民币,2890.804091,14391841.54,3793.658069,1.950063501,2.942014319,1.312319323,169.06,13283.99,1258.635,22,,,,,,,,,,,,,179.29,169.06,323.22,354.45,383.18,523.05,993.12,1087.60,831.32,981.99,1018.36,1429.67,1435.29,2039.44,3286.08,4707.36,9158.16,13283.99,12170.45,4326.86,2565.66,2350.09,
房地产开发投资:辽宁:辽阳市,百万人民币,4126.431304,20448426.97,4521.993694,1.103020429,0.081336467,1.095860651,237.93,14691.25,2359.72,23,,,,,,,,,,,,,237.93,246.29,266.36,302.14,458.02,550.10,667.21,445.50,669.62,979.15,1535.83,2359.72,3084.10,4318.52,6203.75,10953.11,12618.44,14691.25,11486.37,6881.19,3846.67,5136.65,6970.00
房地产开发投资:辽宁:盘锦市,百万人民币,6768.965,76177015.8,8727.944534,1.413192216,0.878762879,1.289406066,67.4,28371.62,1686.69,22,,,,,,,,,,,,,89.76,67.40,323.28,187.51,277.76,585.41,1395.07,1172.60,1406.48,1039.02,1297.93,1966.90,4074.58,5806.48,8614.12,10964.40,17878.49,22575.21,28371.62,23954.11,8732.81,8136.29,
房地产开发投资:辽宁:铁岭市,百万人民币,6718.863636,61856815.89,7864.910418,1.088199224,-0.14285628,1.17057152,109.42,24398.78,3283.295,22,,,,,,,,,,,,,109.42,117.91,244.54,355.02,391.83,743.97,936.54,1047.46,846.04,1412.75,2724.26,3842.33,5653.09,10961.87,17482.62,19373.10,21462.22,24398.78,13119.61,12175.44,5812.96,4603.24,
房地产开发投资:辽宁:朝阳市,百万人民币,4211.104091,18851388.84,4341.81861,0.838620185,-0.548820061,1.031040439,130.23,13509.23,2609.26,22,,,,,,,,,,,,,130.23,153.10,170.62,182.45,325.32,484.12,778.03,1132.82,987.80,798.50,2297.36,2921.16,4270.06,5915.24,7423.38,8850.29,10786.21,13509.23,12190.16,8858.71,4618.50,5861.00,
房地产开发投资:辽宁:葫芦岛市,百万人民币,5017.523043,26387625.01,5136.88865,1.121691681,0.402769557,1.023789748,291.71,18188.23,2456.22,23,,,,,,,,,,,,,298.47,291.71,396.86,454.00,906.78,1287.22,1459.54,2015.34,1456.54,1326.83,1521.41,2456.22,3095.40,4074.38,5296.05,8055.93,13504.83,18188.23,13548.93,9714.43,7985.29,8378.64,9690.00
房地产开发投资:吉林:长春市,百万人民币,28980.42682,651023505.3,25515.16226,0.245372308,-1.800386744,0.880427415,1396.89,66641.77,21567.035,22,,,,,,,,,,,,,1925.06,1396.89,1615.94,2395.26,2727.71,4251.08,5255.57,7000.20,8982.52,10787.62,17184.28,25949.79,35289.21,44392.52,54364.16,66641.77,64965.35,61360.00,53439.77,50602.31,59664.77,57377.61,
房地产开发投资:吉林:吉林市,百万人民币,8246.291818,56250596.28,7500.039752,0.975458791,-0.115825852,0.909504528,610.49,24880.11,5537.565,22,,,,,,,,,,,,,610.49,660.31,1356.27,1650.91,1806.77,2474.93,2937.11,3049.76,3049.79,3350.00,4657.47,6952.12,8702.59,9926.19,13961.12,20619.79,24880.11,22990.00,14246.28,13936.17,13182.58,6417.66,
房地产开发投资:吉林:四平市,百万人民币,2168.290909,4524016.196,2126.973483,0.707207434,-0.95633716,0.980944703,95.3,6393.29,1558.435,22,,,,,,,,,,,,,98.47,95.30,343.27,246.86,429.31,455.45,453.70,366.87,221.04,425.70,975.66,2141.21,2256.84,2827.03,2692.74,6393.29,5867.10,4860.00,4804.51,2469.36,4279.12,4999.57,
房地产开发投资:吉林:辽源市,百万人民币,1538.090455,2124183.878,1457.458019,0.847176071,-0.336868491,0.947576272,58.2,4651.8,1303.205,22,,,,,,,,,,,,,58.20,103.89,87.56,107.07,161.90,206.93,466.78,534.53,489.60,565.11,1391.16,2486.58,3340.09,3672.34,2078.24,2578.58,4651.80,4405.00,1998.59,1636.08,1215.25,1602.71,
房地产开发投资:吉林:通化市,百万人民币,4022.373182,13283424.24,3644.643225,0.248596659,-1.542523734,0.906092762,85.32,10816.15,4067.15,22,,,,,,,,,,,,,85.32,129.88,183.89,179.81,202.26,460.87,471.86,613.65,826.64,1362.01,3043.57,5090.73,5875.01,7645.35,7574.14,8226.87,10816.15,8461.00,8544.34,6320.00,6390.13,5988.73,
房地产开发投资:吉林:白山市,百万人民币,1097.077727,1339127.56,1157.206792,1.402409944,1.561503895,1.054808391,28.46,4120,758.205,22,,,,,,,,,,,,,28.46,31.04,79.67,86.99,238.55,235.97,201.81,344.15,300.28,421.92,595.34,1025.39,1882.11,1501.43,921.07,2004.46,3723.96,4120.00,2408.47,1452.26,1359.86,1172.52,
房地产开发投资:吉林:松原市,百万人民币,2728.400909,10663513.33,3265.503534,1.061907933,-0.13917802,1.196856196,23,10310,1014.755,22,,,,,,,,,,,,,44.24,37.99,23.00,39.50,170.40,152.50,273.41,330.58,310.51,291.91,688.63,1340.88,2542.87,2815.43,5856.91,7370.29,8137.61,10310.00,8027.65,5026.47,3526.62,2707.42,
房地产开发投资:吉林:白城市,百万人民币,885.0636364,856757.9994,925.6122295,1.34098448,0.516977812,1.045814325,26.97,2982.76,501.04,22,,,,,,,,,,,,,45.52,26.97,52.05,281.65,273.64,330.33,372.46,307.84,247.02,301.53,441.54,755.62,794.50,560.54,657.62,930.99,1108.06,1334.94,2494.80,2758.79,2412.23,2982.76,
房地产开发投资:黑龙江:哈尔滨市,百万人民币,29105.67136,694368720.2,26350.87703,0.840224805,-0.653455885,0.905351974,3236.6,84965.14,17262.535,22,,,,,,,,,,,,,3635.59,3236.60,3571.24,4411.17,6426.65,8394.07,8989.22,10603.66,11995.06,14016.83,15783.23,18741.84,21576.14,27922.51,36073.58,56597.81,77201.53,84965.14,67356.77,58178.79,51213.01,49434.33,
房地产开发投资:黑龙江:齐齐哈尔市,百万人民币,4397.016522,15790240.72,3973.693587,0.858207545,-0.496630276,0.903724961,337.78,12997.71,2443.57,23,,,,,,,,,,,,,337.78,396.39,690.68,479.47,686.37,964.38,1312.92,1802.56,2263.61,2443.57,2025.99,2162.81,3406.46,4359.76,5874.72,8375.03,10412.84,11722.20,12997.71,9733.64,7647.00,4935.49,6100.00
房地产开发投资:黑龙江:鸡西市,百万人民币,1188.30087,1222215.038,1105.538348,0.398802579,-1.608882334,0.930352216,56.16,3000.56,1000.34,23,,,,,,,,,,,,,65.70,56.16,182.73,180.65,153.01,77.79,132.92,169.71,158.57,370.15,456.16,1154.14,1000.34,2315.32,3000.56,2376.04,2908.30,2469.48,2728.49,1857.56,2320.82,2126.32,1070.00
房地产开发投资:黑龙江:鹤岗市,百万人民币,564.6622727,124634.1197,353.0355785,0.329602107,-0.639585811,0.625215453,71.15,1256.09,546.235,22,,,,,,,,,,,,,71.15,119.97,122.68,103.55,173.25,228.06,362.34,554.43,548.98,516.90,543.49,765.56,869.20,734.06,827.20,1021.65,1218.96,1256.09,678.15,513.17,379.87,813.86,
房地产开发投资:黑龙江:双鸭山市,百万人民币,976.7313636,784525.9405,885.7346897,0.741879941,-0.556590687,0.906835516,17.83,2991.88,701.405,22,,,,,,,,,,,,,30.59,,17.83,19.97,650.12,339.42,101.07,129.64,365.51,260.53,401.77,752.69,610.65,797.50,2280.38,2991.88,2243.35,2047.01,1641.20,1661.86,873.74,1551.38,1720.00
房地产开发投资:黑龙江:大庆市,百万人民币,6831.837391,58362711.23,7639.549151,1.569938895,1.898980817,1.118227603,126.93,27724.1,4790.05,23,,,,,,,,,,,,,144.84,126.93,420.18,1785.65,864.46,2355.07,1310.52,453.69,1381.39,3005.53,5657.00,5847.92,7830.03,8379.94,11950.43,17113.28,23904.01,27724.10,15737.94,4537.38,5401.92,4790.05,6410.00
房地产开发投资:黑龙江:伊春市,百万人民币,577.9081818,244618.7799,494.5895064,1.041795985,0.437873536,0.85582714,27.13,1768.82,366.965,22,,,,,,,,,,,,,27.13,71.23,95.28,195.64,253.54,297.09,272.10,315.71,418.22,294.27,108.32,174.31,474.23,818.46,1104.33,1768.82,1622.52,980.54,860.48,1004.97,745.15,811.64,
房地产开发投资:黑龙江:佳木斯市,百万人民币,2728.959545,7517015.031,2741.717533,0.664575445,-1.313410087,1.004675037,93.15,7706.15,1295.345,22,,,,,,,,,,,,,93.15,98.83,147.41,272.42,504.10,721.21,699.60,593.92,582.96,658.40,1155.08,1435.61,1712.66,2606.38,5820.21,7018.84,7706.15,6924.23,5484.08,6341.17,5261.26,4199.44,
房地产开发投资:黑龙江:七台河市,百万人民币,558.8886364,170254.2029,412.6187137,1.04433863,0.333201696,0.738284314,37.29,1528.68,436.97,22,,,,,,,,,,,,,37.29,101.40,136.11,204.40,194.66,411.21,376.38,422.65,329.29,388.24,958.76,939.22,786.01,451.29,543.77,1528.68,1354.97,1238.14,512.11,272.34,636.45,472.18,
房地产开发投资:黑龙江:牡丹江市,百万人民币,3737.514783,12698839.88,3563.543164,0.821825676,-0.591899244,0.953452594,300.01,11441.47,1850.38,23,,,,,,,,,,,,,407.64,300.01,466.29,405.96,967.66,965.00,815.30,868.42,916.50,954.67,1226.87,1850.38,3491.27,4577.95,6524.76,8012.64,9729.79,9919.35,11441.47,6987.81,4842.93,4460.17,5830.00
房地产开发投资:黑龙江:黑河市,百万人民币,923.87,1286842.417,1134.390769,0.904719344,-0.761101593,1.22786839,13.47,3298.75,151.97,22,,,,,,,,,,,,,13.47,19.22,39.01,39.18,74.16,70.23,98.64,92.48,132.10,155.10,148.84,105.93,161.39,3298.75,2709.30,1947.07,1973.81,1968.57,2910.92,2293.41,1015.75,1057.81,
房地产开发投资:黑龙江:绥化市,百万人民币,3648.432222,16066251.28,4008.272855,0.85177557,-0.556279489,1.098628839,23,12077.38,2162.07,18,,,,,,,,,,,,,,,,,63.90,23.00,126.00,148.86,347.64,467.51,583.45,635.92,664.27,3659.87,10049.04,12077.38,9645.95,6214.28,7458.94,3875.82,3759.31,5870.64,
房地产开发投资:上海,百万人民币,129100.6825,16176766556,127187.9183,0.93036915,-0.312080659,0.985183934,97,403318,82506.735,32,,,,97.00,168.00,185.00,816.00,759.00,1271.00,2204.00,11743.00,46620.00,65779.00,61423.00,57712.00,51482.53,56617.00,63073.31,74889.20,90124.27,117546.47,124685.60,127559.38,130752.56,136687.00,146418.00,198067.87,217031.03,238135.74,281959.00,320647.73,346894.15,370903.00,385653.00,403318.00
