"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:山东:日照市,百万人民币,5488.975217,33108578.47,5754.005428,1.195344393,0.658063088,1.048284097,66.75,18656,3750.9,23,,,,,,,,,,,,,85.58,66.75,154.68,201.12,247.99,440.97,536.44,1417.24,2128.49,2803.22,3561.76,3750.90,5408.59,6113.55,6332.56,6291.00,6599.04,7204.00,9192.91,10885.36,15850.05,18318.23,18656.00
房地产开发投资:山东:莱芜市,百万人民币,1839.660435,3794184.016,1947.866529,1.090124768,0.413698466,1.058818515,26.38,6821,1327.04,23,,,,,,,,,,,,,26.38,47.32,122.25,196.48,183.16,180.15,208.86,281.92,444.21,713.28,682.06,1355.14,1327.04,1638.52,1834.44,2883.39,3524.46,3671.00,2924.89,3185.05,4717.12,5344.07,6821.00
房地产开发投资:山东:临沂市,百万人民币,15133.89565,277408289.8,16655.57834,0.914343442,-0.44637333,1.100547983,176.36,53560,6708.99,23,,,,,,,,,,,,,176.36,282.41,354.40,434.48,816.21,1191.64,1542.73,2324.69,2605.50,3636.98,5020.40,6708.99,11900.16,14638.14,15822.94,19070.00,23352.34,30050.00,37091.92,39292.86,37450.21,40756.24,53560.00
房地产开发投资:山东:德州市,百万人民币,9073.033043,87699983.68,9364.826943,0.856593028,-0.628915607,1.032160568,82.03,29928,4809.01,23,,,,,,,,,,,,,82.03,186.34,405.58,466.43,512.50,915.56,1139.72,2336.92,3380.54,3952.70,4030.95,4809.01,6383.81,7330.88,9018.73,11763.58,14131.17,19580.00,20978.71,21457.48,22037.55,23851.57,29928.00
房地产开发投资:山东:聊城市,百万人民币,8618.954762,99221142.04,9960.980978,1.191012429,0.170778992,1.155706377,136.5,31426,2566.98,21,,,,,,,,,,,,,,,136.50,164.96,387.23,729.95,1570.01,2264.55,2513.16,1998.30,2482.36,2566.98,2213.24,3244.13,5645.00,9089.22,10874.51,14610.00,16997.04,19042.01,24851.27,28191.63,31426.00
房地产开发投资:山东:滨州市,百万人民币,6698.613684,31030457.56,5570.498861,0.120396175,-1.583721544,0.831589807,101.64,16587.25,6983.16,19,,,,,,,,,,,,,,,,,101.64,197.01,442.37,571.01,718.06,1502.06,1547.08,2340.97,5067.14,6983.16,9654.96,10628.11,13525.79,12709.00,11207.44,10849.75,11467.12,11173.74,16587.25
房地产开发投资:山东:菏泽市,百万人民币,11658.07263,126187630.2,11233.32677,0.490823144,-1.496002406,0.963566373,223.14,29596.44,6208.62,19,,,,,,,,,,,,,,,,,223.14,232.82,366.13,828.24,1350.36,2074.03,2907.60,3693.87,4460.35,6208.62,10622.70,14853.12,17630.75,20618.00,23032.67,25848.39,28261.15,29596.44,28695.00
房地产开发投资:河南:郑州市,百万人民币,84708.52478,11615409355,107774.8085,1.359369117,0.714630687,1.2723018,2796.34,335884.13,29875.82,23,,,,,,,,,,,,,3047.37,2796.34,3017.33,3369.59,3418.68,4759.27,5962.93,7426.44,12177.97,16810.13,22989.33,29875.82,43495.66,51231.50,77516.07,92364.23,109513.68,144532.79,174351.27,200019.54,277895.00,335884.13,325841.00
房地产开发投资:河南:开封市,百万人民币,6661.323913,74229616.24,8615.661103,1.25474936,0.382235268,1.293385702,145.46,27395.59,1502.56,23,,,,,,,,,,,,,145.46,174.02,238.37,273.18,309.06,386.53,471.72,727.39,681.66,739.62,1075.19,1502.56,2160.27,3694.37,5769.39,8815.63,9488.12,13480.00,13597.78,16820.54,21180.00,27395.59,24084.00
房地产开发投资:河南:洛阳市,百万人民币,14316.62652,190514618.6,13802.70331,0.49847575,-1.441493095,0.964103051,454.56,37527.8,11009.55,23,,,,,,,,,,,,,454.56,559.79,657.33,752.40,1053.13,1339.39,1704.04,2081.55,3068.78,4607.77,7881.92,11009.55,11020.02,13794.07,17989.63,23918.59,27451.35,30197.00,30260.67,33389.07,37251.00,37527.80,31313.00
房地产开发投资:河南:平顶山市,百万人民币,5398.213043,38444343.06,6200.350237,0.838728423,-0.944301308,1.148593097,213.04,17014,1975.49,23,,,,,,,,,,,,,213.04,220.89,264.14,336.75,359.03,363.48,449.73,344.76,485.71,654.20,1494.44,2476.19,1975.49,4131.03,5428.40,7530.32,10935.31,12016.00,15581.93,10621.06,14841.00,17014.00,16422.00
房地产开发投资:河南:安阳市,百万人民币,8080.153043,81902380.88,9049.993419,0.951673084,-0.302887939,1.120027476,136.64,27980,3545.18,23,,,,,,,,,,,,,308.05,223.78,136.64,224.84,397.49,476.91,664.80,1107.69,1160.01,1399.19,2422.02,3545.18,5428.89,7459.31,9871.58,12152.37,13158.15,15376.00,17566.00,22366.42,27980.00,26125.20,16293.00
房地产开发投资:河南:鹤壁市,百万人民币,2531.776957,9804266.452,3131.176528,0.982030634,-0.556513038,1.236750544,8.78,9000,967.63,23,,,,,,,,,,,,,30.53,8.78,11.84,77.94,37.63,51.59,106.65,113.30,116.77,131.47,621.83,967.63,1132.03,1524.35,2446.99,3665.00,3759.11,5056.00,6413.46,6897.84,7620.00,8440.13,9000.00
房地产开发投资:河南:新乡市,百万人民币,11420.35478,170313134.6,13050.40745,0.944364355,-0.504166882,1.142732227,171.67,38074.44,5133.12,23,,,,,,,,,,,,,288.49,208.58,171.67,178.27,320.12,460.49,798.69,1225.09,1935.20,2443.18,3348.04,5133.12,7096.08,10216.02,11763.88,15569.39,17284.63,22729.00,26749.00,25753.78,36586.00,38074.44,34335.00
房地产开发投资:河南:焦作市,百万人民币,4779.870435,21101426.83,4593.628939,0.404557604,-1.509500505,0.961036288,86.61,11766.96,3642.79,23,,,,,,,,,,,,,152.89,86.61,139.96,92.49,117.41,146.03,245.91,674.29,1320.75,1481.49,2213.99,3642.79,4952.24,6250.12,7228.90,7161.84,7109.49,11699.81,11724.71,9892.34,11260.00,11766.96,10576.00
房地产开发投资:河南:濮阳市,百万人民币,4346.248696,29102211.97,5394.646603,1.492518134,1.656965176,1.241219033,118.63,19395,1720.7,23,,,,,,,,,,,,,118.63,124.05,137.13,190.75,217.02,312.10,377.67,511.62,561.52,1046.63,1383.69,1720.70,2566.85,3597.36,4160.13,5023.17,5789.96,7268.00,8477.31,9511.81,12413.00,15059.62,19395.00
房地产开发投资:河南:许昌市,百万人民币,6658.875652,65563323.2,8097.118203,1.416688786,1.816045866,1.215988798,80.67,30322,2997.51,23,,,,,,,,,,,,,94.11,80.67,99.73,232.48,250.90,310.77,314.52,451.18,754.55,937.10,2078.32,2997.51,4972.96,5842.76,7105.68,9439.44,8931.48,12066.00,13777.66,15166.66,17461.00,19466.66,30322.00
房地产开发投资:河南:漯河市,百万人民币,2653.658696,9336228.765,3055.524303,1.762696818,3.291944533,1.151438317,71.43,12113,1652.44,23,,,,,,,,,,,,,71.43,154.82,181.19,200.96,236.50,371.07,399.37,526.05,688.01,1321.27,1760.57,1507.61,1736.61,1652.44,2893.39,3324.85,3735.38,4639.00,3884.79,4810.88,6082.00,8742.96,12113.00
房地产开发投资:河南:三门峡市,百万人民币,3908.883913,22948078.86,4790.415311,0.883641239,-0.826984333,1.225519974,69.24,13434,742.83,23,,,,,,,,,,,,,85.59,69.24,96.80,120.77,85.35,178.44,153.42,121.84,144.92,217.86,509.20,742.83,1722.74,2650.36,4660.39,5385.54,6477.75,8572.00,9787.40,10671.55,11463.00,12553.34,13434.00
房地产开发投资:河南:南阳市,百万人民币,6807.827826,54129614.7,7357.283106,0.908697044,-0.580563236,1.080709338,116.31,22012,3431.91,23,,,,,,,,,,,,,116.31,188.65,294.60,486.13,504.21,389.22,735.62,1107.60,1297.12,3431.91,2245.48,3236.46,4252.26,5612.43,7032.09,9372.01,10085.28,13103.00,15660.45,16082.67,18443.00,20891.54,22012.00
房地产开发投资:河南:商丘市,百万人民币,9823.057727,139586011.4,11814.6524,0.986772793,-0.482907775,1.202746918,52.9,33993,4051.87,22,,,,,,,,,,,,,,90.23,106.56,152.41,72.13,66.55,52.90,334.24,624.66,1348.10,1918.08,2663.00,5440.74,7630.52,8998.30,10318.70,14037.39,18968.00,21137.05,26247.27,30115.00,31792.44,33993.00
房地产开发投资:河南:信阳市,百万人民币,13429.6719,210574648.5,14511.19046,0.907143083,-0.385705768,1.080532016,79.05,43160.12,8673.37,21,,,,,,,,,,,,,,,79.05,195.64,232.65,422.34,635.46,862.25,1203.77,2303.35,3388.80,5585.56,8673.37,11250.93,13607.85,16547.67,18915.30,22629.00,24842.99,29250.01,35848.00,43160.12,42389.00
房地产开发投资:河南:周口市,百万人民币,10365.48053,85579870.11,9250.938877,0.160028029,-1.821209127,0.892475641,108.07,23789,9584.95,19,,,,,,,,,,,,,,,,,108.07,175.21,550.00,639.05,720.47,977.51,1530.15,3406.31,6174.63,9584.95,12508.78,14887.06,17313.75,20720.00,20986.74,19228.89,21922.00,21721.56,23789.00
房地产开发投资:河南:驻马店市,百万人民币,11276.57895,136567606.1,11686.21436,0.665361475,-0.896625807,1.036326213,43.68,34644,7684.73,19,,,,,,,,,,,,,,,,,43.68,49.63,172.03,256.66,348.50,532.91,959.75,2802.12,4977.72,7684.73,10705.01,14464.71,16824.51,18132.00,20214.30,23264.18,27846.00,30332.56,34644.00
房地产开发投资:湖北:武汉市,百万人民币,88824.94636,8910691108,94396.45707,0.942812591,-0.691173441,1.062724617,9671.3,268633.58,41295.07,22,,,,,,,,,,,,,9726.09,10657.29,10679.97,9671.30,10131.05,11533.57,13250.12,16954.68,23330.06,29799.19,36615.16,45974.98,56036.05,77859.46,101740.08,128224.94,157486.05,190560.00,235362.63,258178.57,251744.00,268633.58,
房地产开发投资:湖北:黄石市,百万人民币,4462.233478,29243602.66,5407.735447,1.105140929,-0.341840487,1.211889847,106.76,15629.09,1965.61,23,,,,,,,,,,,,,106.76,167.67,152.59,171.85,243.56,254.67,331.49,433.12,763.94,1132.99,1695.77,1965.61,2152.53,2530.17,3835.73,4251.26,5603.80,8467.70,11576.65,13014.34,13237.08,15629.09,14913.00
房地产开发投资:湖北:十堰市,百万人民币,3530.474091,11627014.41,3409.840819,0.707049583,-0.98042371,0.965830858,146.96,10111.19,2561.505,22,,,,,,,,,,,,,166.90,146.96,172.72,250.16,283.51,367.65,627.17,946.81,1174.84,2095.28,2518.16,2604.85,2898.73,3572.67,4108.06,5200.14,7664.29,10111.19,9080.44,8301.47,8728.00,6650.43,
房地产开发投资:湖北:宜昌市,百万人民币,9101.306522,85361146.9,9239.109638,0.66537748,-1.232210034,1.015141026,522.91,25630,4871.1,23,,,,,,,,,,,,,900.41,663.68,636.24,522.91,680.30,655.89,780.31,1279.50,2016.96,3170.23,3917.64,4871.10,5668.32,7933.11,10577.95,13597.05,17658.96,20317.62,19459.76,24189.24,24418.00,19784.87,25630.00
房地产开发投资:湖北:襄阳市,百万人民币,10617.12364,175999706.5,13266.4881,1.030121142,-0.689910296,1.249536932,216.84,34076,3326.64,22,,,,,,,,,,,,,231.25,216.84,313.24,430.13,566.48,723.99,908.15,1172.45,1751.95,2209.24,2966.64,3686.64,4621.02,5538.51,10652.48,14496.77,18619.45,30193.72,33094.13,33458.36,34076.00,33649.28,
房地产开发投资:湖北:鄂州市,百万人民币,982.175,781992.5922,884.3034503,0.756929531,-0.654922293,0.900352229,97.09,2922.93,797.405,22,,,,,,,,,,,,,150.35,97.09,101.36,137.83,122.41,165.23,181.66,234.07,415.12,606.16,783.50,938.50,1079.09,811.31,1148.66,1881.58,1165.29,2277.91,1991.13,2108.67,2288.00,2922.93,
房地产开发投资:湖北:荆门市,百万人民币,3838.763478,20290315.45,4504.477267,0.847421766,-0.953136751,1.173418808,33.1,12397.92,1138.23,23,,,,,,,,,,,,,33.10,49.96,125.53,123.09,120.37,167.74,349.77,393.53,443.86,530.97,906.87,1138.23,1683.69,2718.77,3883.49,5564.93,6430.64,8779.01,12397.92,11811.24,10039.00,9435.85,11164.00
房地产开发投资:湖北:孝感市,百万人民币,4867.317273,37426481.01,6117.718612,1.201914066,-0.046101836,1.256897438,104.39,17565.87,1520.995,22,,,,,,,,,,,,,104.39,176.81,237.31,382.79,383.10,389.73,474.63,537.01,747.73,938.09,1126.21,1915.78,2856.61,3240.17,4960.01,5640.45,7495.45,11112.79,13635.27,17158.32,16002.46,17565.87,
房地产开发投资:湖北:荆州市,百万人民币,4831.079524,38931321.59,6239.496902,1.84537614,3.247226565,1.291532642,257.99,23811.56,2119.75,21,,,,,,,,,,,,,,257.99,347.78,312.76,371.42,392.99,400.64,697.25,1158.00,1618.76,1814.30,2119.75,2658.85,3287.20,3553.46,5579.70,5488.55,7678.53,13417.39,11332.79,15153.00,23811.56,
房地产开发投资:湖北:黄冈市,百万人民币,6989.17087,90466404.94,9511.382914,1.290214163,0.225304728,1.360874286,55.51,28432.76,2333.19,23,,,,,,,,,,,,,65.29,55.51,74.54,122.41,120.29,178.98,193.32,350.97,622.69,908.25,1217.00,2333.19,2737.69,3733.42,4384.05,6215.16,7856.91,13272.52,17426.98,20010.00,26573.00,28432.76,23866.00
房地产开发投资:湖北:咸宁市,百万人民币,3732.794211,14629284.6,3824.824781,0.670853264,-0.774246243,1.024654606,47.13,11206.22,2535.31,19,,,,,,,,,,,,,,,,47.13,53.29,73.25,89.48,197.71,258.42,379.50,787.64,1460.38,2535.31,3955.01,5957.37,6546.03,8496.13,11206.22,10913.71,5993.78,5699.00,6273.73,
房地产开发投资:湖北:随州市,百万人民币,1489.905263,1575972.23,1255.377326,0.331310011,-1.27351733,0.842588691,30.29,3803.83,1595.89,19,,,,,,,,,,,,,30.29,,,,56.64,68.72,83.00,283.59,419.63,452.56,682.60,910.57,1595.89,1705.45,2165.70,2468.04,1978.97,2922.72,3397.71,2877.29,2405.00,3803.83,
房地产开发投资:湖南:长沙市,百万人民币,55672.57348,2803240225,52945.63461,0.565762114,-1.213567087,0.951018272,1573.74,150240.1,40704.72,23,,,,,,,,,,,,,1956.79,1573.74,1740.78,2257.65,3302.38,5493.76,8155.97,11082.69,17549.50,25561.05,30386.12,40704.72,49327.29,49734.92,68414.81,88692.32,103200.03,115360.73,131049.95,99660.08,126054.75,148969.06,150240.10
房地产开发投资:湖南:株洲市,百万人民币,11312.63348,141153435.2,11880.80112,0.881681379,-0.261875365,1.050224171,273.28,39956.93,5790.66,23,,,,,,,,,,,,,438.25,273.28,384.97,457.25,601.39,766.04,951.53,1846.31,3406.83,3249.84,4435.12,5790.66,8139.27,10408.48,14649.14,18480.23,18965.16,22694.13,23533.10,22586.08,26919.55,31257.03,39956.93
房地产开发投资:湖南:湘潭市,百万人民币,6100.437826,45758307.7,6764.488724,1.171700549,0.578529114,1.10885299,171.13,23992.56,3390.05,23,,,,,,,,,,,,,186.78,171.13,264.70,369.98,482.78,746.46,807.53,1186.57,1554.36,1672.94,2364.37,3518.18,3390.05,4820.81,6459.05,7212.91,9381.22,12224.56,14712.85,14544.35,12960.88,17285.05,23992.56
房地产开发投资:湖南:衡阳市,百万人民币,6058.163913,49284751.27,7020.309913,1.259739514,0.934236003,1.158818086,199.99,25312.69,2350.7,23,,,,,,,,,,,,,308.54,199.99,312.32,319.81,487.00,679.65,737.48,1150.94,1247.57,1323.07,1659.40,2350.70,3315.34,4126.86,6531.46,8073.60,9675.49,11130.18,13829.22,14087.86,15084.31,17394.29,25312.69
房地产开发投资:湖南:邵阳市,百万人民币,5196.084783,38032519.77,6167.05114,1.060650209,-0.300396647,1.186864995,165.9,18860.6,1887.46,23,,,,,,,,,,,,,165.90,199.61,197.44,269.13,226.21,234.42,334.88,660.20,1012.86,1195.50,1516.85,1887.46,2422.59,3629.11,4703.10,6109.56,7549.24,10273.40,13000.72,13563.65,14572.23,16925.29,18860.60
房地产开发投资:湖南:岳阳市,百万人民币,5928.916957,38399629.34,6196.743446,0.824634619,-0.632306645,1.04517292,104.28,20016.27,2927.36,23,,,,,,,,,,,,,104.28,192.40,245.67,345.68,504.48,660.53,750.59,1185.58,1432.02,1965.49,2117.74,2927.36,3491.00,5134.04,7036.95,10039.95,10206.41,10990.16,13177.90,15144.89,13295.00,15400.70,20016.27
房地产开发投资:湖南:常德市,百万人民币,6481.621304,51287139.58,7161.504003,1.531111791,2.372347217,1.104893925,236.1,27906.14,3985.03,23,,,,,,,,,,,,,257.14,236.38,236.10,327.19,553.96,911.62,1235.67,1467.35,2396.51,2672.29,3214.30,3985.03,4147.43,5036.93,6170.28,8576.01,9481.09,12176.07,12405.42,12141.23,13995.57,19547.58,27906.14
房地产开发投资:湖南:张家界市,百万人民币,2052.1,5759729.196,2399.943582,1.095501965,0.066248506,1.169506156,4.04,7703.88,619.14,23,,,,,,,,,,,,,4.04,5.98,51.98,152.54,78.76,90.47,238.00,418.94,495.35,386.61,474.40,619.14,903.59,1776.10,2249.03,2944.35,4451.83,6799.74,5875.02,3144.91,3994.45,4339.19,7703.88
房地产开发投资:湖南:益阳市,百万人民币,4732.986957,21758510.02,4664.601807,0.455889794,-1.500173917,0.985551376,107.47,12968.02,3206.05,23,,,,,,,,,,,,,114.94,107.47,206.91,256.51,248.49,242.27,376.50,790.50,755.36,1084.37,1722.37,3206.05,4662.34,5183.88,6300.48,8059.20,9258.60,10089.72,10112.42,10390.23,10819.17,11902.90,12968.02
房地产开发投资:湖南:郴州市,百万人民币,6865.867826,59458282.49,7710.919692,0.911936459,-0.69372424,1.123080124,114.64,22641.96,2739.13,23,,,,,,,,,,,,,114.64,117.79,192.08,206.26,406.74,454.48,632.08,1668.13,1918.40,2006.12,2218.34,2739.13,3016.65,4251.37,6867.71,9422.11,11654.38,14762.11,16203.06,19435.53,21207.76,22641.96,15778.13
房地产开发投资:湖南:永州市,百万人民币,4462.356087,20290631.12,4504.512307,0.463967399,-1.390737432,1.009447077,92.71,13368,2479.68,23,,,,,,,,,,,,,152.38,111.56,121.67,162.96,164.03,92.71,161.02,254.05,681.80,1299.09,1546.70,2479.68,3385.69,6197.26,7260.15,8619.14,8612.06,8997.59,9298.17,8948.22,9465.56,11254.70,13368.00
房地产开发投资:湖南:怀化市,百万人民币,5025.506818,34343139.17,5860.30197,1.121132518,0.30194515,1.166111634,59.43,20050.25,1835.92,22,,,,,,,,,,,,,,95.97,59.43,137.15,144.43,212.22,307.01,738.28,764.85,1315.93,1250.00,1557.58,2114.26,3328.96,4472.51,5704.13,7934.69,11839.31,10186.86,11720.99,12634.41,13991.93,20050.25
房地产开发投资:湖南:娄底市,百万人民币,4295.155,18193190.72,4265.347667,0.623774173,-1.291058421,0.993060243,153.46,11936.43,2326.21,20,,,,,,,,,,,,,,,,188.34,227.50,153.46,200.54,400.99,534.02,888.14,1620.50,1835.22,1813.12,2817.20,2897.45,5232.88,8113.55,11936.43,10971.11,10794.09,9288.95,7305.03,8684.58
房地产开发投资:广东:广州市,百万人民币,69198.88,6686808718,81772.90944,1.401751101,0.922736799,1.181708569,429.02,270289.35,38702.07,35,429.02,464.72,525.65,700.31,1400.91,1523.59,1174.19,1563.49,3974.20,12523.87,18945.20,20911.36,22916.40,23742.23,26936.89,29590.27,35558.16,38702.07,42638.98,41948.06,47703.15,50808.46,55678.93,70380.31,76353.76,81734.49,98365.82,130536.05,137045.11,157242.89,181615.29,213758.90,254085.49,270289.35,270193.23
房地产开发投资:广东:韶关市,百万人民币,5946.995652,40608208.12,6372.456992,0.939339173,-0.309559601,1.071542232,221.36,19895.84,3957.27,23,,,,,,,,,,,,,320.45,249.33,221.36,392.35,546.93,760.81,554.51,1008.53,1081.47,1133.38,1682.45,3957.27,5526.55,4644.58,6396.43,8126.80,9129.64,12363.96,11942.02,13189.39,14683.56,18973.29,19895.84
房地产开发投资:广东:深圳市,百万人民币,57400.06207,4139102733,64335.85885,1.980772466,3.645444342,1.120832566,1120,264071.42,42368.65,29,,,,,,,1120.00,2556.00,7149.00,10277.00,13046.00,10303.68,12482.51,13665.45,16748.54,21525.41,26096.94,31564.00,38844.00,41266.34,43424.00,42368.65,46209.40,46104.22,44048.97,43745.90,45846.93,51473.62,73684.21,87690.02,106948.55,133103.30,175652.09,213585.65,264071.42
房地产开发投资:广东:珠海市,百万人民币,20875.99304,550761564.5,23468.30979,1.344224619,0.711433239,1.124176931,1607.09,78709.2,13265.56,23,,,,,,,,,,,,,1607.09,1973.89,2716.67,3313.15,3269.67,3412.86,3720.99,3881.41,4046.33,5128.91,6558.96,13265.56,14764.76,16844.27,17951.01,25560.96,24207.76,27257.82,38829.99,52411.85,64103.15,66611.58,78709.20
房地产开发投资:广东:汕头市,百万人民币,9814.893043,158875036.7,12604.56412,1.702138816,1.897149023,1.284228373,1504.94,44774.9,3290.38,23,,,,,,,,,,,,,2362.69,2011.63,2480.39,2589.04,2247.55,1726.12,2027.01,1504.94,1721.57,2237.99,2676.73,3476.11,3290.38,3808.90,4930.53,7346.68,8334.58,14702.82,20205.09,24551.21,30638.46,36097.22,44774.90
房地产开发投资:广东:佛山市,百万人民币,47485.12217,2795249025,52870.11467,1.523258256,2.120957334,1.113403783,3432.03,201950.98,34101.66,23,,,,,,,,,,,,,3668.71,3432.03,3964.95,4382.63,6031.51,7234.04,8159.69,8850.28,9639.98,14315.87,18207.00,34101.66,40367.76,35825.08,48552.15,59692.14,63846.38,73732.32,83270.10,94536.88,122996.69,145398.98,201950.98
房地产开发投资:广东:江门市,百万人民币,13792.05261,254281315.9,15946.20067,1.460152951,1.356770039,1.156187634,1663.81,57509.88,5454.45,23,,,,,,,,,,,,,2679.10,2140.23,1663.81,1668.80,2001.73,2353.45,2521.44,2386.71,3290.61,3274.78,2895.90,5454.45,10499.78,9565.03,11171.99,14692.77,14448.90,24178.74,31300.59,31101.22,35361.67,45055.63,57509.88
房地产开发投资:广东:湛江市,百万人民币,9014.27087,151683711.4,12315.99413,2.044561161,4.555668185,1.366277352,272.48,49640.59,3400.17,23,,,,,,,,,,,,,698.45,302.38,272.48,454.31,785.05,829.91,1066.91,1145.67,1286.57,2078.06,2394.46,3400.17,3675.42,4727.28,7504.25,10362.02,11496.31,15478.46,17734.50,17905.10,22321.03,31768.85,49640.59
房地产开发投资:广东:茂名市,百万人民币,4980.693478,52730778.8,7261.596161,2.430876918,6.951551726,1.457948816,301.24,30990.21,1387.18,23,,,,,,,,,,,,,540.71,312.28,301.24,349.56,311.82,385.99,786.57,530.51,794.83,1091.38,793.45,1387.18,1899.67,2504.24,3722.33,5143.41,7395.90,7735.75,9506.48,10266.70,10984.24,16821.50,30990.21
房地产开发投资:广东:肇庆市,百万人民币,8321.841739,81005042.29,9000.280123,1.341372748,1.728863568,1.081525028,509.01,34803.21,4720.98,23,,,,,,,,,,,,,635.19,509.01,606.56,826.26,1409.25,1382.59,1461.73,1648.23,1806.05,2137.11,2546.99,4720.98,5535.67,6065.97,9114.01,14311.17,14545.08,17148.16,18888.68,15976.86,14519.67,20803.93,34803.21
房地产开发投资:广东:惠州市,百万人民币,27567.03,1032132756,32126.823,0.953914294,-0.455858837,1.165407481,444.77,98394.17,13775.64,23,,,,,,,,,,,,,481.39,444.77,553.55,666.55,920.69,1064.72,1587.73,2727.24,2955.32,4389.17,6903.02,13775.64,18683.14,17533.32,26786.11,37653.82,48216.83,59347.06,66729.75,61044.97,74763.24,88419.49,98394.17
房地产开发投资:广东:梅州市,百万人民币,5544.505652,59259128.53,7697.995098,1.610874746,1.392421145,1.388400622,239.84,25874.7,1304.63,23,,,,,,,,,,,,,239.84,341.00,278.84,456.36,860.43,1304.63,1245.60,1295.31,1279.00,978.05,1170.01,1285.62,1788.06,1537.60,2618.35,4137.00,4405.24,7701.76,12829.35,16839.50,17253.29,21804.09,25874.70
房地产开发投资:广东:汕尾市,百万人民币,1879.53913,9086949.915,3014.456819,2.394608542,5.609860481,1.603827646,99.91,11910.62,775.26,23,,,,,,,,,,,,,187.60,140.71,111.00,99.91,112.65,112.36,118.36,211.80,142.43,163.05,222.80,775.26,868.77,1450.46,1771.73,3467.99,1606.63,1666.09,1160.89,2610.16,5676.56,8641.57,11910.62
房地产开发投资:广东:河源市,百万人民币,5215.396522,51027316.99,7143.340745,1.513345794,1.19490276,1.369663978,73.92,22393.37,1958.19,23,,,,,,,,,,,,,248.61,185.35,73.92,90.77,109.02,265.51,414.13,463.96,688.50,957.95,1599.83,1958.19,2007.45,2018.39,2319.47,5880.32,6712.64,8918.01,10083.17,12859.28,17572.40,22393.37,22133.88
房地产开发投资:广东:阳江市,百万人民币,4542.302174,22360781.87,4728.71884,0.893952951,-0.578293925,1.041040129,362.41,14486.36,1758.91,23,,,,,,,,,,,,,457.98,362.41,441.58,434.99,431.94,656.07,951.00,1123.18,1254.10,1365.51,1486.59,1758.91,2124.94,3308.86,5196.62,7766.59,7717.97,8895.59,9465.80,10486.42,10138.12,14486.36,14161.42
房地产开发投资:广东:清远市,百万人民币,10416.02087,121704262.6,11031.96549,0.975267235,0.329957488,1.05913435,162.13,39343.5,6495.07,23,,,,,,,,,,,,,319.12,219.93,162.13,354.16,579.90,817.45,1084.84,1379.85,1712.57,2712.01,3932.06,6495.07,11568.53,8999.49,12521.98,16861.37,18072.42,18783.17,21906.46,21357.98,22752.08,27632.41,39343.50
房地产开发投资:广东:东莞市,百万人民币,26513.90435,628754787.4,25074.9833,0.603663016,-1.021077255,0.945729568,862.58,73678.57,20941.87,23,,,,,,,,,,,,,862.58,866.62,954.51,1044.11,1124.98,1485.44,2683.50,5511.84,9344.65,14442.67,16423.98,20941.87,27141.97,27766.23,29898.53,37330.62,37732.10,49765.93,58806.30,57521.45,64275.91,70215.44,73678.57
房地产开发投资:广东:中山市,百万人民币,22088.75783,469269555.4,21662.63039,0.843614216,-0.472790297,0.980708402,1056.65,69722.28,17646.37,23,,,,,,,,,,,,,1056.65,1222.51,1393.57,1452.10,2117.47,3287.31,3654.71,5193.81,6246.15,8054.48,11005.75,17646.37,19161.44,19236.74,24179.16,31035.92,34640.62,39911.56,42965.57,48101.27,54358.51,62397.48,69722.28
房地产开发投资:广东:潮州市,百万人民币,2278.918696,6142065.965,2478.319181,1.369972486,1.031231528,1.08749785,262.41,8966.1,1195.93,23,,,,,,,,,,,,,444.69,389.32,467.00,645.00,480.45,569.86,597.14,378.77,473.52,262.41,499.57,1195.93,1493.44,1713.04,1822.14,2363.48,2856.65,4190.83,4670.12,5080.32,6174.61,6680.74,8966.10
房地产开发投资:广东:揭阳市,百万人民币,3061.292174,12301465.95,3507.344572,1.480055593,1.760120024,1.145707229,88.11,12674.79,1446.17,23,,,,,,,,,,,,,221.52,88.11,217.91,522.01,609.21,431.65,417.53,584.83,595.38,714.00,904.87,1446.17,2076.78,1931.27,3324.95,4384.14,5643.71,5704.46,6769.57,4867.18,5350.58,10929.10,12674.79
房地产开发投资:广东:云浮市,百万人民币,2768.15087,12128583.03,3482.611525,1.295089985,0.550100145,1.258100331,164.32,11819.84,895.69,23,,,,,,,,,,,,,260.08,231.63,171.53,164.32,257.91,178.72,286.20,310.93,433.19,560.62,605.68,895.69,1222.47,1170.75,1974.97,2864.09,3539.85,6543.80,8217.03,6276.68,7118.17,8563.32,11819.84
房地产开发投资:广西:南宁市,百万人民币,29135.61043,1082270895,32897.88588,1.260540629,0.675266658,1.129129796,1370.21,110636,18746.3,23,,,,,,,,,,,,,1416.65,1370.21,1447.31,1539.33,1693.58,1858.31,2471.16,3948.30,6603.79,10550.35,13907.42,18746.30,20245.77,22672.50,31749.93,39242.34,36273.01,41637.00,55182.14,65718.97,85400.00,95808.67,110636.00
