"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
国内生产总值:人均:山西:吕梁市,人民币,21688.3125,114794492.2,10714.21916,-0.317207307,-1.246525209,0.494008889,3902,36585,24135,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3902.00,5147.00,8800.00,11453.00,14241.00,17553.00,16903.00,23267.00,30224.00,32709.00,32484.00,28960.00,25003.00,25896.00,33886.00,36585.00
国内生产总值:人均:内蒙古:呼和浩特市,人民币,58362.80793,1052956475,32449.29082,-0.057329507,-1.550001083,0.555992626,10029.4,103235,61108,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10029.40,14720.00,18791.00,26321.00,29049.00,34710.00,42016.00,49606.00,61108.00,66929.00,75266.33,83906.00,90941.00,95961.00,101492.00,103235.00,88087.00,
国内生产总值:人均:内蒙古:包头市,人民币,77749.39216,1979298470,44489.30737,-0.169603537,-1.508676523,0.572214215,12111.32,136021,84979,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12111.32,14315.00,19089.00,28998.00,40457.00,47902.00,59719.00,70004.00,84979.00,94269.00,112372.35,118320.00,124586.00,130676.00,132253.00,136021.00,95668.00,
国内生产总值:人均:内蒙古:乌海市,人民币,60444.84947,1318338255,36308.92803,-0.045820473,-1.691138649,0.600695152,10939.15,108556,64147,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10939.15,12338.00,16344.00,20081.00,27187.00,32598.00,40135.00,50036.00,64147.00,76653.00,89830.29,97617.00,104420.00,108556.00,100871.00,102725.00,73085.00,
国内生产总值:人均:内蒙古:赤峰市,人民币,22583.07778,226010247.5,15033.6372,0.164670758,-1.639294539,0.665703645,4019.11,44936,21037,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019.11,4522.00,5315.00,7130.00,7894.00,9751.00,13471.00,17242.00,21037.00,25059.00,31121.21,36070.00,39126.00,41309.00,43269.00,44936.00,32641.00,
国内生产总值:人均:内蒙古:通辽市,人民币,32632.61083,439866424.8,20972.99275,0.070145914,-1.599705898,0.642700422,5714.52,62424,34652,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5714.52,6632.00,7730.00,8940.00,10616.00,13354.00,18952.00,25402.00,31147.00,38157.00,46166.47,54019.00,56955.00,60380.00,60123.00,62424.00,39102.00,41573.00
国内生产总值:人均:内蒙古:鄂尔多斯市,人民币,117225.2651,5945587218,77107.63398,-0.180114204,-1.778846416,0.657773168,13013.95,215488,134400,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13013.95,15324.00,20074.00,26000.00,40167.00,53163.00,75164.00,102128.00,134400.00,175125.00,163013.56,182680.00,196728.00,200152.00,207163.00,215488.00,173046.00,
国内生产总值:人均:内蒙古:呼伦贝尔市,人民币,33387.40474,459712923.8,21440.91705,0.091542665,-1.678369979,0.642185795,6365.6,64140,31667,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6365.60,7116.00,7902.00,9598.00,11919.00,14628.00,18687.00,23413.00,28882.00,34452.00,45038.69,52649.00,56470.00,60152.00,63131.00,64140.00,46901.00,49529.00
国内生产总值:人均:内蒙古:巴彦淖尔市,人民币,34384.29947,277018067.4,16643.85975,-0.338496818,-1.569790685,0.48405406,8643,54480,39290.39572,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8643.00,10774.00,12560.00,16045.00,20423.00,25237.00,29384.00,35463.00,43117.79,47012.00,49996.00,51872.00,53000.00,54480.00,43949.00,48193.00
国内生产总值:人均:内蒙古:乌兰察布市,人民币,25931.13907,195322830.5,13975.79445,-0.184210012,-1.530763145,0.538957984,5739,44517,26604,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5739.00,6760.00,8480.00,10268.00,16071.00,20358.00,23489.00,26604.00,32281.09,36525.00,39215.00,41138.00,43221.00,44517.00,34301.00,
