"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
企业存款:吉林:松原市,百万人民币,4602.777778,6573827.944,2563.947727,0.741337812,-0.341272295,0.557043562,2140,9407,4220,9,,,,,,,,,,,,,,,,,,,,,,,,2140.00,2150.00,2170.00,2870.00,4220.00,5338.00,6320.00,6810.00,9407.00,,,,,,
企业存款:吉林:白城市,百万人民币,2874.444444,2578868.778,1605.885668,1.108474815,-0.063603453,0.558676885,1550,5908,1910,9,,,,,,,,,,,,,,,,,,,,,,,,1890.00,1630.00,1610.00,1550.00,1910.00,2892.00,3570.00,4910.00,5908.00,,,,,,
企业存款:黑龙江:哈尔滨市,百万人民币,197016.3285,18849472339,137293.3805,0.651624289,-1.380126495,0.696862953,56770,415643.5926,130061,13,,,,,,,,,,,,,,,,,,,,,,,,56770.00,67870.00,77930.00,82040.00,96040.00,115267.00,130061.00,180400.00,228692.00,337755.68,370768.51,415643.59,401974.49,,
企业存款:黑龙江:齐齐哈尔市,百万人民币,17143.87827,159453783.5,12627.50108,0.861268654,-1.003923518,0.736560356,6000,39188.4192,10421,13,,,,,,,,,,,,,,,,,,,,,,,,6000.00,6370.00,6730.00,6340.00,8410.00,9426.00,10421.00,14881.00,16726.00,27825.20,33854.66,36698.14,39188.42,,
企业存款:黑龙江:鸡西市,百万人民币,8895.701401,62522457.07,7907.114333,0.788039133,-1.233983603,0.888869126,1320,21800.38718,4943.25,13,,,,,,,,,,,,,,,,,,,,,,,,1320.00,1840.00,2200.00,2910.00,3470.00,3881.00,4943.25,7073.45,8829.71,16777.22,21800.39,20579.91,20019.19,,
企业存款:黑龙江:鹤岗市,百万人民币,5710.270128,21598527.12,4647.421556,0.714130769,-1.309035287,0.813870702,1230,13418.41831,3495,13,,,,,,,,,,,,,,,,,,,,,,,,1230.00,1330.00,1760.00,1840.00,2300.00,2912.00,3495.00,5497.00,5632.00,10725.90,11889.02,13418.42,12204.17,,
企业存款:黑龙江:双鸭山市,百万人民币,7069.270261,35657889.96,5971.422775,0.655615909,-1.477031316,0.844701441,1050,16335.66047,3737,13,,,,,,,,,,,,,,,,,,,,,,,,1050.00,1490.00,1880.00,2660.00,2580.00,3279.00,3737.00,6613.00,7712.00,14574.29,16335.66,14770.23,15219.34,,
企业存款:黑龙江:大庆市,百万人民币,42692.39752,468971785.3,21655.7564,0.748834292,-1.312498076,0.507250884,21290,77503.24274,33494,13,,,,,,,,,,,,,,,,,,,,,,,,23770.00,21290.00,23060.00,24800.00,32160.00,34586.00,28490.00,33494.00,42809.00,67284.71,77503.24,74323.69,71430.53,,
企业存款:黑龙江:伊春市,百万人民币,5459.868472,26571126.85,5154.718891,0.916864534,-1.166537931,0.944110452,1190,13454.99232,2127,13,,,,,,,,,,,,,,,,,,,,,,,,1190.00,1430.00,1840.00,1940.00,2040.00,1744.00,2127.00,3263.00,4533.00,10618.82,13445.42,13454.99,13352.05,,
企业存款:黑龙江:佳木斯市,百万人民币,10736.84195,94383412.99,9715.112608,0.935862773,-1.020721987,0.904838933,2860,27745.76471,5252,13,,,,,,,,,,,,,,,,,,,,,,,,2860.00,3070.00,3300.00,3280.00,3560.00,4893.00,5252.00,7110.00,9012.00,19943.53,24178.87,25373.78,27745.76,,
企业存款:黑龙江:七台河市,百万人民币,4273.998669,12853624.61,3585.195199,0.82203619,-1.27320138,0.838838633,840,9887.90945,2635,13,,,,,,,,,,,,,,,,,,,,,,,,840.00,1070.00,1450.00,1470.00,1900.00,2430.00,2635.00,3537.00,3025.00,8301.24,9887.91,9510.01,9505.83,,
企业存款:黑龙江:牡丹江市,百万人民币,12828.77107,90152925.61,9494.889447,0.715894631,-1.45331842,0.740124631,3620,26953.47878,7829,13,,,,,,,,,,,,,,,,,,,,,,,,3620.00,4180.00,5320.00,5060.00,5850.00,7132.00,7829.00,10756.90,13063.00,24938.56,25994.92,26076.17,26953.48,,
企业存款:黑龙江:黑河市,百万人民币,7315.000952,38886344.41,6235.891629,0.822021037,-1.241108115,0.852479948,1550,17356.26231,4230,13,,,,,,,,,,,,,,,,,,,,,,,,1550.00,1740.00,2130.00,2240.00,3530.00,3879.00,4230.00,5400.00,6288.00,14229.31,15711.40,16811.04,17356.26,,
企业存款:黑龙江:绥化市,百万人民币,7583.912401,46940675.57,6851.326556,0.938275655,-1.153359412,0.903402649,1920,18809.27336,3740,13,,,,,,,,,,,,,,,,,,,,,,,,1920.00,2220.00,2750.00,2580.00,3100.00,3271.00,3740.00,4334.00,5527.00,14776.31,17661.14,17902.14,18809.27,,
企业存款:上海,百万人民币,1885109.091,1.56584E+12,1251333.763,1.153694998,0.143990657,0.663799124,678230,4149155,1483031,11,,,,,,,,,,,,,,,,,,,,,,,,678230.00,811090.00,943950.00,1027030.00,1156560.00,1483031.00,1680361.00,2161454.00,2499139.00,,,4149155.00,,,4146200.00
企业存款:江苏:南京市,百万人民币,534520.3937,1.74208E+11,417381.9731,1.183380251,0.141001115,0.780853225,148040,1379264.386,370025.63,12,,,,,,,,,,,,,,,,,,,,,,,,148040.00,184050.00,214660.00,237170.00,276880.00,346386.26,393665.00,536940.00,549494.00,939354.00,,1208341.08,1379264.39,,
企业存款:江苏:无锡市,百万人民币,287235.751,62779119527,250557.6172,1.107165403,-0.436478644,0.872306516,59410,739724.7388,175106.6,12,,,,,,,,,,,,,,,,,,,,,,,,59410.00,83660.00,99660.00,114040.00,132760.00,168075.20,182138.00,279995.00,272225.00,615062.00,,700079.07,739724.74,,
企业存款:江苏:徐州市,百万人民币,67270.72448,3599210772,59993.42274,1.151917467,-0.329243948,0.891820672,15780,176717.7076,42837.57025,12,,,,,,,,,,,,,,,,,,,,,,,,15780.00,18950.00,21960.00,24720.00,29350.00,38820.14,46855.00,59481.00,62847.00,143358.00,,168409.85,176717.71,,
