"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
工业总产值:山东:东营市,百万人民币,522582.6578,2.67455E+11,517160.3672,0.641561434,-1.323863611,0.989624052,30815.9,1358477.29,318320.32,21,,,,,,,,,,,,,,,,,,,30815.90,35039.54,,32322.59,57040.73,55115.70,58653.21,77945.38,109022.20,167331.35,246466.93,318320.32,427811.62,432283.50,603786.01,820644.99,1026748.02,1199717.90,1358477.29,1318905.14,1333464.61,1264322.88,
工业总产值:山东:烟台市,百万人民币,718529.9655,3.2432E+11,569491.2362,0.253083697,-1.563185373,0.792578269,63072.19,1643465.629,647690.04,21,,,,,,,,,,,,,,,,,,,63072.19,68735.81,,89546.95,101328.37,112529.97,137765.26,195881.63,265678.47,397480.92,519602.56,647690.04,798823.35,907729.88,1012997.77,1116395.74,1233153.91,1389144.39,1461792.33,1529755.67,1643465.63,1396558.44,
工业总产值:山东:潍坊市,百万人民币,561469.9476,2.29279E+11,478830.6763,0.415594594,-1.519873444,0.852816216,61469.84,1315279.672,433222.91,21,,,,,,,,,,,,,,,,,,,63419.40,64971.30,,61469.84,68753.42,74235.62,90885.18,124370.41,189693.07,272413.83,340469.82,433222.91,531750.73,607920.58,752922.26,913069.89,1042825.22,1160980.22,1251704.24,1275759.40,1315279.67,1154751.89,
工业总产值:山东:济宁市,百万人民币,265989.7617,43529092105,208636.2675,0.282918956,-1.508834766,0.784377061,32267.16,617095.104,239023.3,21,,,,,,,,,,,,,,,,,,,35012.44,33087.27,,32267.16,37576.47,42675.75,53278.03,72566.17,107607.41,146059.35,182747.57,239023.30,319914.75,322422.47,385718.04,382811.53,438026.48,505290.24,535433.89,547206.50,549965.07,617095.10,
工业总产值:山东:泰安市,百万人民币,268297.9695,55999477531,236642.0874,0.401926236,-1.517412409,0.882012219,20081.69,647627.43,207593.49,21,,,,,,,,,,,,,,,,,,,20081.69,23107.70,,24218.53,25075.06,29037.01,40598.61,54402.80,73335.10,107317.73,149447.78,207593.49,272971.25,312116.14,377007.20,456878.17,547469.03,618834.80,647627.43,619991.53,563144.58,464001.73,
工业总产值:山东:威海市,百万人民币,364479.7936,54160477414,232724.037,0.098253453,-1.475385935,0.638510121,55869.03,714129.425,371126.27,21,,,,,,,,,,,,,,,,,,,55869.03,65601.27,,83110.09,96667.21,105617.28,127085.01,167372.54,214093.57,288256.00,316620.34,371126.27,448503.84,488482.73,440896.46,470521.26,562686.96,600309.71,650249.32,693256.17,714129.43,693621.18,
工业总产值:山东:日照市,百万人民币,125349.3727,11411333040,106823.8412,0.139757444,-1.874670196,0.852208821,7603.29,268628.6,98110.96,21,,,,,,,,,,,,,,,,,,,7824.01,8010.92,,7603.29,9791.02,11413.14,14527.34,20761.18,34694.44,55578.62,71633.11,98110.96,151980.00,186622.04,217215.01,217634.09,227829.58,268628.60,258019.89,253988.00,245956.99,264514.59,
工业总产值:山东:莱芜市,百万人民币,85905.34471,4242692329,65135.95266,0.184336087,-1.529570277,0.758229338,8482.83,189129.325,86082.11,21,,,,,,,,,,,,,,,,,,,8482.83,9377.24,,10504.12,12273.00,14189.12,16666.72,24666.02,39503.05,57889.83,64684.59,86082.11,108256.43,102282.87,120258.25,136832.23,125412.03,159476.00,168357.67,170884.70,178804.11,189129.33,
工业总产值:山东:临沂市,百万人民币,393322.1925,1.642E+11,405216.0066,0.720968196,-1.110226282,1.030239367,18742.58,1092507.872,246514.76,21,,,,,,,,,,,,,,,,,,,30762.55,30504.15,,28666.40,32874.00,38337.74,46818.77,62968.28,90880.90,145170.62,18742.58,246514.76,318569.55,374855.66,459352.51,556936.94,721404.77,863040.77,1003591.90,1013943.29,1092507.87,1083322.03,
工业总产值:山东:德州市,百万人民币,362385.6179,1.42482E+11,377468.3535,0.811397778,-0.888117258,1.041620679,15648.99,1056946.1,217321.23,21,,,,,,,,,,,,,,,,,,,15648.99,16873.79,,16863.36,23988.38,30442.76,38616.86,52585.25,77245.32,117240.55,154855.88,217321.23,265318.68,321609.70,385576.05,518671.29,636122.01,771792.18,879158.41,978959.33,1056946.10,1034261.86,
工业总产值:山东:聊城市,百万人民币,368470.8614,1.12253E+11,335042.5258,0.490518064,-1.443147871,0.909278211,20569.82,899991.125,262151.53,19,,,,,,,,,,,,,,,,,,,,,,20569.82,24105.68,27364.31,35748.70,48319.75,67994.02,100941.78,143230.26,210433.49,262151.53,317682.38,402686.09,532377.76,665053.52,750257.63,866363.09,892970.58,899991.13,732704.85,
工业总产值:山东:滨州市,百万人民币,349543.8057,77815144774,278953.6606,0.284620946,-1.587036806,0.798050648,21499.07,746819.171,295220.725,18,,,,,,,,,,,,,,,,,,,,,,,21499.07,26734.25,33365.19,48029.51,76037.31,119991.75,166891.59,224167.30,278022.13,312419.32,368389.64,470095.65,572342.77,651273.20,718651.70,718856.27,738202.68,746819.17,
工业总产值:山东:菏泽市,百万人民币,285157.6511,86057011657,293354.7539,0.748132939,-0.999547025,1.028745863,8165.7,810431.22,165865.87,18,,,,,,,,,,,,,,,,,,,,,,,8165.70,9635.40,13543.55,18484.93,30229.16,46724.20,64204.48,96594.77,139432.26,192299.48,253203.25,342055.53,433599.57,527545.13,634361.56,718912.00,793415.53,810431.22,
工业总产值:河南:郑州市,百万人民币,478064.542,2.37407E+11,487244.6401,0.906883879,-0.630246273,1.019202633,41472.07,1446563.12,267932.44,20,,,,,,,,,,,,,,,,,,,41472.07,43851.17,,52876.01,56803.49,64005.03,71905.88,92704.94,123678.54,178915.75,236450.73,299414.15,406147.45,475297.61,591376.24,742262.83,941297.52,1093465.43,1237470.17,1365332.71,1446563.12,,
工业总产值:河南:开封市,百万人民币,86854.8965,8784056136,93723.29559,1.161082707,0.167356232,1.079079008,11078.84,301327.31,42476.13,20,,,,,,,,,,,,,,,,,,,11929.16,12495.14,,11078.84,12373.28,13421.22,13441.93,14170.69,17978.20,26747.85,37475.68,47476.58,67109.35,76772.08,97992.95,133404.82,163555.58,201410.89,204605.54,272330.84,301327.31,,
工业总产值:河南:洛阳市,百万人民币,277484.3855,66982589483,258809.9486,0.615454911,-1.274712594,0.932700945,28835.66,744733.23,186909.3,20,,,,,,,,,,,,,,,,,,,28835.66,30662.68,,30599.73,35887.24,36812.76,41974.83,56262.39,80287.42,112130.27,164998.49,208820.11,268237.87,281167.46,413230.63,496663.27,590280.41,615723.30,637376.94,675003.02,744733.23,,
工业总产值:河南:平顶山市,百万人民币,128116.9095,10696341940,103423.1209,0.194861958,-1.830401406,0.80725582,16308.76,266592.61,104946.78,21,,,,,,,,,,,,,,,,,,,17975.34,17297.68,,16308.76,17572.27,19145.73,21843.85,26768.95,38508.51,55921.31,79485.64,104946.78,149842.79,160417.13,200315.93,255356.47,227588.45,243759.43,254614.50,252732.97,266592.61,263460.00,
工业总产值:河南:安阳市,百万人民币,158952.492,19189683902,138526.8346,0.463923473,-1.468625439,0.871498351,17409.92,399102.72,112861.925,20,,,,,,,,,,,,,,,,,,,17409.92,17645.68,,19584.58,22826.54,24548.81,29141.78,38235.69,52412.06,75027.34,94863.33,130860.52,175674.07,185121.68,260486.74,312127.86,290975.57,319872.81,352465.00,360667.14,399102.72,,
工业总产值:河南:鹤壁市,百万人民币,69350.385,4766623120,69040.73522,0.802494203,-0.869564318,0.995534996,6682,200420.63,40911.135,20,,,,,,,,,,,,,,,,,,,6682.00,7151.02,,6811.25,7886.66,8887.29,10217.14,12561.26,17260.47,26312.90,34822.88,46999.39,60589.68,67322.16,98909.70,117254.11,132148.69,156029.01,177263.54,191477.92,200420.63,,
工业总产值:河南:新乡市,百万人民币,160637.1775,23588488129,153585.4424,0.752062112,-1.022464726,0.956101476,20521.99,453510.98,94927.85,20,,,,,,,,,,,,,,,,,,,22304.64,20547.78,,20521.99,22819.77,25369.64,28340.34,34466.30,43378.72,62094.55,80868.37,108987.33,146082.49,155057.88,217332.34,292421.19,323031.25,346139.76,400517.84,408950.39,453510.98,,
工业总产值:河南:焦作市,百万人民币,198712.587,36055385594,189882.5574,0.797153968,-0.705446088,0.955563813,21435,589323.53,133937.415,20,,,,,,,,,,,,,,,,,,,24030.31,24947.60,,21435.00,23480.50,26396.04,29874.95,38271.77,55245.70,85315.22,116363.41,151511.42,186543.38,207019.07,288587.79,329415.34,351902.10,422063.92,474440.97,528083.72,589323.53,,
工业总产值:河南:濮阳市,百万人民币,121325.335,14666542472,121105.5014,0.978222752,-0.309093236,0.998188065,10684.85,381816.7,76422.99,20,,,,,,,,,,,,,,,,,,,10684.85,12792.46,,13421.22,17055.04,17506.78,19100.37,26603.86,36119.21,52755.49,69694.80,83151.18,112300.88,111560.95,138526.96,201292.26,211553.38,260754.20,306932.56,342883.55,381816.70,,
工业总产值:河南:许昌市,百万人民币,195061.5045,42653267331,206526.6746,0.988220907,-0.362579599,1.058777205,11807.46,641308.32,104264.55,20,,,,,,,,,,,,,,,,,,,11807.46,15385.85,,18696.31,21736.70,25107.62,28745.81,34787.41,45633.13,63345.67,91927.75,116601.35,156870.06,179312.69,249665.45,314298.50,373724.71,432942.32,521748.08,557584.90,641308.32,,
工业总产值:河南:漯河市,百万人民币,107146.778,9290569395,96387.5998,0.758428157,-0.75981796,0.899584678,11171.04,301352.49,73967.78,20,,,,,,,,,,,,,,,,,,,11171.04,13714.36,,15588.14,18749.77,21099.07,24156.43,28487.59,35304.90,48723.80,65484.04,82451.52,103337.39,114875.03,162572.47,176845.67,188273.82,203373.00,249322.54,278052.49,301352.49,,
工业总产值:河南:三门峡市,百万人民币,139614.4295,18376693613,135560.664,0.579862485,-1.429578391,0.970964566,9642.29,360752.67,84150.44,20,,,,,,,,,,,,,,,,,,,9642.29,11770.71,,13265.87,14783.53,16635.41,18684.16,22631.77,30814.81,46643.73,69438.36,98862.52,137295.07,151729.97,203984.77,272845.39,309609.22,320032.63,344247.79,338617.92,360752.67,,
工业总产值:河南:南阳市,百万人民币,165768.575,23531893929,153401.0884,0.853269154,-0.583706216,0.925393057,25505.15,481893.06,106204.485,20,,,,,,,,,,,,,,,,,,,26582.45,29272.68,,25505.15,27589.44,30196.86,32406.13,38625.14,50206.32,71018.85,94540.24,117868.73,154810.57,163758.31,249521.30,282902.02,292973.56,299489.14,400707.82,445503.73,481893.06,,
工业总产值:河南:商丘市,百万人民币,108199.17,12591611374,112212.3495,0.982796588,-0.226553331,1.037090668,8934.59,356550.24,64551.57,19,,,,,,,,,,,,,,,,,,,,9961.07,,8934.59,10140.11,10702.23,11691.66,13900.54,20212.96,33440.13,47515.09,64551.57,87626.26,90582.48,135943.61,167567.88,190227.39,224235.13,266333.97,305667.32,356550.24,,
工业总产值:河南:信阳市,百万人民币,92192.11111,8303429276,91123.15444,0.933658681,-0.383772762,0.988405118,8066.05,282648.47,57060.025,18,,,,,,,,,,,,,,,,,,,,,,8066.05,8890.35,9842.98,11908.38,14538.39,18528.61,26728.32,38939.77,50412.74,63707.31,74360.12,111756.24,136924.66,147268.92,177189.79,222808.26,254938.64,282648.47,,
工业总产值:河南:周口市,百万人民币,147012.3141,22731315826,150769.0811,1.018259937,-0.282114915,1.025554098,15868.44,466160.35,75414.57,17,,,,,,,,,,,,,,,,,,,,,,,15868.44,17167.07,17919.15,20509.95,24678.23,33765.56,47650.69,61707.08,75414.57,93270.57,150071.29,185314.86,229458.62,299697.94,350675.21,409879.76,466160.35,,
工业总产值:河南:驻马店市,百万人民币,106432.8865,10806892811,103956.2062,0.886250047,-0.586596649,0.976730122,10916.22,316112.61,64096.27,17,,,,,,,,,,,,,,,,,,,,,,,10916.22,11931.66,12839.12,14459.25,18337.29,26300.08,36853.76,48747.65,64096.27,74843.07,113776.76,144920.72,172473.34,208707.16,249756.25,284287.86,316112.61,,
工业总产值:湖北:武汉市,百万人民币,516126.386,2.12E+11,460434.7059,0.657413059,-1.177333617,0.892096817,68368.57,1324092,317211.085,20,,,,,,,,,,,,,,,,,,,68368.57,76657.15,,75060.85,90800.45,102083.52,113898.25,133449.38,167834.19,228541.27,281858.69,352563.48,577375.51,579888.00,642459.00,877811.41,1006306.00,1142398.00,1194787.00,1286295.00,1324092.00,,
工业总产值:湖北:黄石市,百万人民币,96112.0219,6932715608,83262.93058,0.521617105,-1.456326608,0.866311299,12501.76,235950,70954,21,,,,,,,,,,,,,,,,,,,12501.76,14153.86,,13871.20,15585.65,16578.34,18270.89,21428.19,31827.76,38784.24,52805.57,70954.00,87174.00,86462.00,119757.00,160312.00,182260.00,210117.00,219061.00,200591.00,209907.00,235950.00,
工业总产值:湖北:十堰市,百万人民币,90802.29762,4670148709,68338.48629,0.64562064,-1.203050337,0.752607457,22360.31,219140,60115.87,21,,,,,,,,,,,,,,,,,,,22360.31,24292.63,,23617.40,23053.43,30005.80,40005.10,36097.78,60115.87,41130.87,41143.33,56295.62,63391.11,83240.00,128040.19,136227.39,139381.33,170963.00,187107.09,182254.00,198986.00,219140.00,
工业总产值:湖北:宜昌市,百万人民币,188403.247,44018263854,209805.2999,1.046897765,-0.37295354,1.113597049,19786.24,637877,80106.285,20,,,,,,,,,,,,,,,,,,,20711.55,23094.62,,21450.66,19786.24,20812.33,22204.81,27484.94,41271.67,55586.83,69173.59,91038.98,118771.95,153111.50,211873.59,319573.85,389726.00,456037.00,497040.83,571437.00,637877.00,,
工业总产值:湖北:襄阳市,百万人民币,192903.678,44554788494,211080.0523,1.079429479,-0.300895245,1.094225131,26647.32,645698,72262.35,20,,,,,,,,,,,,,,,,,,,36928.50,43802.37,,27832.95,26703.73,26647.32,31329.87,32526.63,36418.73,53963.82,65492.23,79032.47,111015.08,152361.00,229880.86,327697.00,377589.00,453208.00,512040.00,587906.00,645698.00,,
工业总产值:湖北:鄂州市,百万人民币,51416.606,2462952756,49628.14479,0.86319207,-0.968234057,0.965216273,7533.61,142430,25459.235,20,,,,,,,,,,,,,,,,,,,7533.61,9112.08,,9324.47,10310.54,11220.64,12784.43,15258.09,14740.31,18302.30,22010.53,28907.94,37244.42,42302.65,63309.96,90118.38,106389.82,122153.00,136237.95,128641.00,142430.00,,
工业总产值:湖北:荆门市,百万人民币,107864.033,12716187558,112766.0745,0.999873692,-0.595532687,1.045446488,13682.22,331948,49830.21,20,,,,,,,,,,,,,,,,,,,20467.53,22334.16,,13682.22,17530.77,17025.69,17115.05,20129.90,26476.50,35391.69,43806.59,55853.83,71825.74,88323.40,120010.85,173284.00,220058.23,260544.00,292512.51,308960.00,331948.00,,
工业总产值:湖北:孝感市,百万人民币,90742.8271,9194401265,95887.4406,1.056649272,-0.474489193,1.056694437,15959.9,286515,35727.965,20,,,,,,,,,,,,,,,,,,,15959.90,19763.33,,16647.79,17087.02,18394.89,19278.90,22956.84,19277.18,25221.28,30610.14,40845.79,54525.65,68814.38,100321.52,143784.51,187853.45,215988.00,243870.97,267140.00,286515.00,,
工业总产值:湖北:荆州市,百万人民币,86000.06789,6700466856,81856.37944,1.030894631,-0.489546229,0.951817614,20541.69,247476,42427.42,19,,,,,,,,,,,,,,,,,,,,28172.17,,20629.92,22097.60,20541.69,21279.14,22668.72,21698.23,24888.41,31927.40,42427.42,57959.76,66992.00,89757.00,118235.63,151988.00,190057.00,218350.20,236855.00,247476.00,,
工业总产值:湖北:黄冈市,百万人民币,65167.8465,4254215149,65224.34476,1.026092238,-0.521962772,1.000866965,11255.78,192987,25097.34,20,,,,,,,,,,,,,,,,,,,18284.38,22554.25,,14566.35,15720.08,15619.89,17116.83,17770.85,11255.78,15173.29,18565.80,27640.43,44168.00,57090.00,81307.00,96838.00,122255.00,153337.00,175746.00,185361.00,192987.00,,
工业总产值:湖北:咸宁市,百万人民币,63283.14556,4413583585,66434.80703,0.855342551,-0.974277918,1.049802541,6198.93,181591,29823.525,18,,,,,,,,,,,,,,,,,,,,,,6198.93,6930.39,7613.50,8221.45,8937.30,10906.83,13553.85,17321.49,25227.53,34419.52,44314.21,63339.53,95022.09,121472.00,150407.00,170134.00,173486.00,181591.00,,
工业总产值:湖北:随州市,百万人民币,48917.20944,2170601417,46589.71364,0.872400458,-0.895179595,0.952419694,6414.68,134622,26004.435,18,,,,,,,,,,,,,,,,,,,6414.68,,,,8502.22,8860.59,10618.69,13231.87,12306.49,14906.77,19022.41,23167.70,28841.17,32845.00,50976.29,69396.54,90389.00,105772.00,123747.35,126889.00,134622.00,,
工业总产值:湖南:长沙市,百万人民币,347240.772,1.45159E+11,380997.2675,1.024493741,-0.326104117,1.097213514,30981.79,1155828.3,150221.56,20,,,,,,,,,,,,,,,,,,,32325.09,36205.68,,30981.79,33016.41,37002.81,44417.69,53393.04,70605.78,97337.13,127175.84,173267.28,268773.60,337285.55,416542.94,597566.09,646258.00,777764.03,954476.16,1054592.23,1155828.30,,
工业总产值:湖南:株洲市,百万人民币,122891.127,13678907106,116956.86,0.779230232,-0.994823257,0.951711184,17200.45,337500,67977.165,20,,,,,,,,,,,,,,,,,,,19827.50,20028.25,,17200.45,20033.44,22249.89,24179.83,26209.80,35644.43,44165.70,56587.08,79367.25,102638.65,123169.26,171494.42,221662.93,232464.43,271859.98,300963.84,330575.41,337500.00,,
工业总产值:湖南:湘潭市,百万人民币,112365.6735,12993868820,113990.6523,0.791980638,-0.99537661,1.014461524,9659.36,329071.64,56347.575,20,,,,,,,,,,,,,,,,,,,13669.46,14350.60,,9659.36,11189.59,13151.60,15804.56,20255.08,29274.60,37970.12,47084.80,65610.35,93035.34,108626.56,149625.25,210632.28,233355.87,256267.82,283313.65,305364.94,329071.64,,
工业总产值:湖南:衡阳市,百万人民币,112504.767,11428519596,106904.2543,0.623740312,-1.264904193,0.950219775,10889.7,304290.05,65868.855,20,,,,,,,,,,,,,,,,,,,15344.93,16212.83,,10889.70,12056.65,13849.04,16170.27,21120.36,29037.13,39851.39,54291.17,77446.54,104819.63,127644.94,188324.69,282361.72,277822.75,304290.05,234396.42,205097.46,219067.67,,
工业总产值:湖南:邵阳市,百万人民币,61658.701,4905249756,70037.48822,1.082891375,-0.236471101,1.135889778,4913.11,212116.41,25580.13,20,,,,,,,,,,,,,,,,,,,7426.94,7711.46,,4913.11,5283.95,6048.29,6853.30,8450.98,11221.58,15890.10,21073.81,30086.45,40917.05,50840.29,71270.07,102225.06,122147.00,144403.17,170379.00,193916.00,212116.41,,
工业总产值:湖南:岳阳市,百万人民币,198544.07,35492442996,188394.3815,0.65403061,-1.364049553,0.948879418,21192.57,502118.83,109780.955,20,,,,,,,,,,,,,,,,,,,23712.08,25979.87,,21192.57,31558.91,31352.18,35631.17,43591.14,58711.82,76237.06,92727.53,126834.38,168972.83,199741.48,278432.53,382572.03,434127.06,465652.05,479521.96,492213.92,502118.83,,
工业总产值:湖南:常德市,百万人民币,94857.359,8236566968,90755.53409,0.783733809,-1.036799826,0.956757968,12082.37,259872.82,50732.59,20,,,,,,,,,,,,,,,,,,,16328.11,16687.30,,12082.37,14610.46,14914.50,18271.54,22045.55,29929.50,35153.69,44139.58,57325.60,77609.73,90687.00,126266.65,173295.42,187618.75,215966.08,231026.78,253315.75,259872.82,,
工业总产值:湖南:张家界市,百万人民币,6405.0855,31059184.96,5573.076795,0.508184711,-1.417666325,0.870101858,768.66,16531.41,4422.15,20,,,,,,,,,,,,,,,,,,,1094.36,1254.29,,768.66,777.54,793.00,1165.19,1577.87,2309.33,2909.44,3805.99,5038.31,6209.46,7505.04,10894.44,16531.41,11430.28,13730.59,13364.28,12788.89,14153.34,,
工业总产值:湖南:益阳市,百万人民币,65823.5005,5613295582,74921.92991,1.024048722,-0.417098731,1.138224636,4637.73,222816.19,26314.725,20,,,,,,,,,,,,,,,,,,,7360.42,7639.69,,4637.73,5075.14,5394.91,6827.11,8234.95,10667.45,15295.06,21085.75,31543.70,43339.91,56712.18,80809.03,113406.60,131586.98,156597.69,183944.60,203494.92,222816.19,,
工业总产值:湖南:郴州市,百万人民币,113188.928,14625804125,120937.1908,0.819500976,-1.048605606,1.068454247,7374.42,323519.39,58733.76,20,,,,,,,,,,,,,,,,,,,8857.48,9966.52,,7374.42,8297.01,9128.99,11432.75,16758.98,27499.94,40059.97,50312.88,67154.64,74363.12,91330.76,144008.25,220455.93,244109.64,278719.58,309846.15,323519.39,320582.16,,
工业总产值:湖南:永州市,百万人民币,41043.893,1540693431,39251.66787,0.914610112,-0.461440486,0.956333939,5289.58,126392.45,22484.735,20,,,,,,,,,,,,,,,,,,,7862.99,8793.02,,5289.58,6342.14,7294.54,8439.04,9876.90,12004.41,15303.89,19087.78,25881.69,31931.24,42151.11,59373.23,86000.96,69562.94,82955.00,83396.00,112938.95,126392.45,,
工业总产值:湖南:怀化市,百万人民币,43679.39947,1442914416,37985.71332,0.450204288,-1.619597724,0.86964825,5501.32,102832.62,28658.05,19,,,,,,,,,,,,,,,,,,,,9611.53,,5501.32,5846.04,6273.22,6888.10,8705.82,11294.87,15531.16,20155.64,28658.05,38775.06,48383.49,69989.21,102832.62,82715.16,90037.65,85641.35,90685.00,102383.30,,
工业总产值:湖南:娄底市,百万人民币,80901.03722,4505509317,67123.09079,0.392346496,-1.492951193,0.829693822,8217.82,194552.81,67206.485,18,,,,,,,,,,,,,,,,,,,,,,8217.82,8772.31,9519.82,10370.22,13905.58,24232.07,32293.22,41328.88,59139.96,84853.75,75273.01,103824.60,140010.17,147218.04,165091.69,171250.73,166363.99,194552.81,,
工业总产值:广东:广州市,百万人民币,962847.8537,4.14983E+11,644191.62,0.173298195,-1.66509293,0.669048197,163037.79,1890655,890317.136,21,,,,,,,,,,,,,,,,,,,163037.79,181424.03,,233481.39,256856.94,282915.17,317642.94,401783.24,504333.23,603205.00,728205.64,890317.14,1051491.10,1137676.45,1383124.77,1571271.51,1485708.58,1719288.00,1799797.00,1842473.00,1890655.00,1775117.00,
工业总产值:广东:韶关市,百万人民币,59460.37345,1774295102,42122.38243,0.423211388,-1.399916264,0.708410997,13688.4,128670,51839.888,22,,,,,,,,,,,,,,,,,,,14287.50,15734.34,13688.40,14530.98,15995.89,17327.09,19669.81,25155.14,34351.01,39336.04,45124.18,58555.60,67042.70,59922.75,77336.78,89519.13,100017.88,116059.00,128670.00,122178.00,123754.00,109872.00,
工业总产值:广东:深圳市,百万人民币,760737.5612,9.5305E+11,976243.0031,1.087020087,-0.189055026,1.283284871,60.61,3211915,205194.85,39,,60.61,84.44,242.82,362.12,720.41,1668.03,2412.13,3304.54,5477.22,9937.75,14405.33,21046.96,30777.49,41989.20,65500.51,99391.13,111069.74,129922.40,151758.61,205194.85,230063.55,295027.86,361418.61,431808.16,635143.55,802059.11,986754.51,1192860.01,1395800.64,1586010.76,1541624.29,1852682.00,2043212.31,2136305.23,2309521.00,2477759.00,2554244.00,2729229.00,3211915.00,
工业总产值:广东:珠海市,百万人民币,215090.4961,18419884213,135719.8741,0.082428335,-1.489517077,0.630989637,34507.09,435338,235737.122,21,,,,,,,,,,,,,,,,,,,34507.09,39831.78,,46944.68,63016.15,66229.88,75881.06,100898.40,126266.96,156956.00,195251.27,235737.12,249668.32,240504.48,297618.20,337724.89,307256.14,346086.00,370226.00,396602.00,435338.00,394356.00,
工业总产值:广东:汕头市,百万人民币,140313.4881,12023649879,109652.4048,0.626903611,-0.970028622,0.781481569,24324.77,351794,106784.605,21,,,,,,,,,,,,,,,,,,,24324.77,28868.81,,29783.34,34434.47,32488.34,36114.42,46117.17,62171.16,76137.00,88660.11,106784.61,133050.53,153109.65,189756.66,189226.03,211154.19,248180.00,277168.00,296880.00,330380.00,351794.00,
工业总产值:广东:佛山市,百万人民币,941027.2845,5.54155E+11,744415.6516,0.293813493,-1.525824135,0.791067022,91044.18,2118732,841706.113,21,,,,,,,,,,,,,,,,,,,91044.18,98584.81,,129303.06,156055.00,178234.76,204066.40,258195.60,333131.03,478088.28,628908.91,841706.11,1065847.42,1171128.00,1452746.94,1442503.08,1465396.39,1712188.00,1879665.00,1954495.00,2118732.00,2101553.00,
工业总产值:广东:江门市,百万人民币,231947.2222,18803616718,137126.2802,0.30449361,-1.451846776,0.591196044,63781.26,467120.042,223132.253,21,,,,,,,,,,,,,,,,,,,63781.26,71586.81,,80511.52,87114.60,94435.08,102777.41,111695.42,132284.74,145324.98,175249.04,223132.25,270954.81,293326.00,382890.57,467120.04,251947.13,310786.00,362549.00,399876.00,427438.00,416111.00,
工业总产值:广东:湛江市,百万人民币,113217.3071,7206943521,84893.71897,0.537712695,-1.178966524,0.749829872,22052.11,266604,96303.96,21,,,,,,,,,,,,,,,,,,,24013.81,25037.35,,22052.11,26910.27,28201.13,33233.89,40437.18,49872.29,64427.00,82511.40,96303.96,113984.92,102879.49,140495.07,175266.39,171767.19,204137.00,225733.00,227240.00,256456.00,266604.00,
工业总产值:广东:茂名市,百万人民币,118623.726,6926841499,83227.64864,0.526228549,-1.18017519,0.701610474,23194.21,267924,104238.643,21,,,,,,,,,,,,,,,,,,,23194.21,26110.77,,25886.84,37321.89,40543.38,42020.33,52143.53,61821.21,70204.00,89998.42,104238.64,119977.55,109812.62,136014.93,170391.25,177551.68,214612.00,240185.00,232805.00,248341.00,267924.00,
工业总产值:广东:肇庆市,百万人民币,151811.3033,20289019088,142439.5278,0.790892296,-1.075460173,0.938266946,25451.03,403437,67503.801,21,,,,,,,,,,,,,,,,,,,27900.85,33758.37,,36089.91,39204.11,43043.44,48465.10,44665.33,25451.03,32119.65,45422.72,67503.80,96405.39,117901.33,174418.89,246895.57,281643.89,341029.00,386350.00,403437.00,402212.00,294120.00,
工业总产值:广东:惠州市,百万人民币,321168.7389,73903540768,271852.0568,0.644531975,-1.18735393,0.846446194,43047.36,816693,221796.12,21,,,,,,,,,,,,,,,,,,,43047.36,53007.31,,54721.35,65782.84,70811.92,86238.84,102044.38,111977.62,142866.40,183396.70,221796.12,260026.46,300513.67,390517.31,476503.31,547727.92,660529.00,690135.00,704473.00,761734.00,816693.00,
工业总产值:广东:梅州市,百万人民币,33349.48057,557396674.2,23609.24976,0.401709284,-1.379193849,0.707934557,7892.77,74563,29316.057,21,,,,,,,,,,,,,,,,,,,8614.13,8703.14,,7892.77,8181.10,8347.84,9108.95,11396.20,15655.00,20698.00,24017.77,29316.06,33356.14,35111.08,45597.04,54677.57,50291.30,56799.00,65103.00,70476.00,74563.00,62434.00,
工业总产值:广东:汕尾市,百万人民币,41264.7351,1993145132,44644.65401,0.834945757,-0.978371983,1.081908169,2473.87,123347,19905.011,21,,,,,,,,,,,,,,,,,,,2473.87,2861.19,,2748.89,3008.43,3345.69,3813.64,4891.61,7307.56,11345.00,14624.84,19905.01,25781.02,31960.30,43242.30,57941.42,76062.67,96872.00,109515.00,116608.00,123347.00,108904.00,
工业总产值:广东:河源市,百万人民币,58301.40295,3140589907,56040.96633,0.534979448,-1.279044459,0.961228435,2519.92,159918,47234.539,21,,,,,,,,,,,,,,,,,,,2519.92,2791.03,,3128.13,3581.30,4216.96,4917.16,6782.23,11664.23,18210.00,31022.59,47234.54,51956.23,60468.28,83273.17,104139.39,95366.30,114014.00,140230.00,144302.00,159918.00,134594.00,
工业总产值:广东:阳江市,百万人民币,69075.94619,5328905041,72999.34959,0.885148118,-0.849247885,1.056798403,5688.15,205058,33651.345,21,,,,,,,,,,,,,,,,,,,6100.61,5963.90,,5688.15,6616.62,7698.73,9761.17,12098.87,15423.19,21381.60,25325.92,33651.35,44805.17,50456.20,69345.70,96452.43,119742.26,156409.00,186194.00,199004.00,205058.00,173418.00,
