"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
工业总产值:山西:吕梁市,百万人民币,105847.4757,4035785368,63527.83144,0.134502112,-1.383100323,0.600182773,14381.29,200447.15,93754.13,14,,,,,,,,,,,,,,,,,,,,,,,,,,14381.29,25907.18,36565.94,53414.79,71185.42,102720.98,84787.28,78701.57,181655.17,191361.22,200447.15,168153.86,132852.19,139730.62,,
工业总产值:内蒙古:呼和浩特市,百万人民币,78305.5596,3799906923,61643.38507,0.217960493,-1.601759169,0.787215945,7906.98,173085.777,73297.47,20,,,,,,,,,,,,,,,,,,,7906.98,8699.99,,8164.52,9980.38,12458.26,16919.76,24077.94,34481.28,48316.42,64317.16,82277.78,92764.25,115348.65,118851.98,136590.98,130487.47,150359.95,164263.73,166757.93,173085.78,,
工业总产值:内蒙古:包头市,百万人民币,158167.1801,16246913773,127463.3821,0.291005079,-1.715209507,0.805877566,20596.89,344090.575,120253.82,20,,,,,,,,,,,,,,,,,,,20596.89,21965.38,,23555.66,25724.43,27839.16,31537.00,43178.13,62137.64,86700.99,111866.76,128640.88,193255.39,222222.78,241224.22,299901.31,323598.84,325285.95,332051.86,297969.76,344090.58,,
工业总产值:内蒙古:乌海市,百万人民币,34328.90015,1146570782,33861.05111,0.663900352,-1.135509196,0.986371569,2415.04,98401,19663.07,20,,,,,,,,,,,,,,,,,,,2570.65,3281.71,,2415.04,2806.57,3110.58,3620.69,5905.24,9542.33,13364.36,16696.70,22629.44,28398.00,40289.00,54531.50,73990.02,67070.55,71700.64,73514.84,92739.14,98401.00,,
工业总产值:内蒙古:赤峰市,百万人民币,82823.34055,6978491110,83537.36356,0.580160166,-1.458384397,1.008621036,6313.98,211100.396,44480.07,20,,,,,,,,,,,,,,,,,,,7362.19,7772.11,,6313.98,6616.49,6962.68,7834.13,9796.90,13911.88,21896.40,32373.73,56586.41,79167.00,96927.35,126584.07,157732.67,186838.48,207431.85,205694.13,207563.97,211100.40,,
工业总产值:内蒙古:通辽市,百万人民币,115435.4259,13216136809,114961.4579,0.426521534,-1.738595561,0.995894086,3797.47,296501.84,61104.28,18,,,,,,,,,,,,,,,,,,,,,,3797.47,4449.75,5286.38,6575.87,8798.63,12220.97,19070.75,31438.41,58661.81,63546.75,123631.17,180974.85,241618.94,256050.96,296501.84,247906.93,248300.33,269005.85,,
工业总产值:内蒙古:鄂尔多斯市,百万人民币,216489.7769,33635243154,183399.1362,0.222493796,-1.796489225,0.847149176,9978.85,487521.623,182302.995,16,,,,,,,,,,,,,,,,,,,,,,,,9978.85,13055.89,18640.25,26309.12,44929.00,63498.61,95956.05,161357.99,203248.00,268106.85,374373.10,398366.06,426793.52,437572.72,434128.80,487521.62,,
工业总产值:内蒙古:呼伦贝尔市,百万人民币,61865.52519,2791476850,52834.42864,0.310740529,-1.7791886,0.854020531,5432.52,134693.37,46337.925,16,,,,,,,,,,,,,,,,,,,,,,,,5432.52,6073.24,6096.20,8580.44,12981.20,19311.60,25812.48,38998.85,53677.00,74068.32,103555.82,109471.06,134693.37,129565.37,130599.48,130931.46,,
工业总产值:内蒙古:巴彦淖尔市,百万人民币,58721.53714,1194648775,34563.69157,-0.378517165,-1.530431868,0.588603317,5449.92,101699.678,68952.215,14,,,,,,,,,,,,,,,,,,,,,,,,,,5449.92,9331.54,15573.85,25823.68,35741.00,49501.64,60158.00,77746.43,101699.68,79954.57,86335.49,94821.71,87342.44,92621.57,,
工业总产值:内蒙古:乌兰察布市,百万人民币,60257.31107,1466117874,38289.9187,-0.156393581,-1.658640351,0.635440215,5457.42,108067.18,62836.1955,14,,,,,,,,,,,,,,,,,,,,,,,,,,5457.42,8998.30,14803.51,23146.82,32501.11,46478.78,57930.11,67742.28,78682.53,95177.22,108067.18,101124.68,99927.52,103564.89,,
